Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,24519670.43499998,1,37,4963,blue,true,right,44,37,right,blue,2163,0
2,24524356.990000002,0,0,4963,blue,true,left,66,12,right,orange,1306,0
3,24528178.064999986,0,0,4963,blue,true,right,98,9,left,orange,932,0
4,24531637.539999966,0,0,4963,blue,false,left,20,91,left,blue,1215,0
5,24535374.59999998,0,0,4963,blue,true,left,28,8,right,orange,1068,0
6,24538961.124999974,1,33,4930,blue,true,left,30,33,left,blue,966,0
7,24542461.684999987,1,24,4906,blue,true,left,27,24,left,blue,611,0
8,24545594.86000001,1,58,4848,blue,false,right,58,43,left,orange,1137,0
9,24549262.219999976,0,0,4848,blue,true,right,72,47,left,orange,1061,0
10,24552850.11499998,1,44,4804,blue,false,left,44,44,right,orange,2879,0
11,24558251.324999962,0,0,4804,blue,true,right,69,26,left,orange,949,0
12,24561720.889999997,1,41,4763,blue,true,left,6,41,left,blue,959,0
13,24565208.459999993,0,0,4763,blue,true,left,88,34,right,orange,901,0
14,24568629.64,1,73,4690,blue,false,right,73,18,left,orange,1044,0
15,24572200.81499999,1,25,4665,blue,true,right,60,25,right,blue,1629,0
16,24576352.61999996,0,0,4665,blue,true,right,68,6,left,orange,863,0
17,24579735.869999975,1,48,4617,blue,false,right,48,39,left,orange,1144,0
18,24583404.775000002,1,76,4541,blue,true,right,35,76,right,blue,808,0
19,24586735.43,0,0,4541,blue,true,left,23,85,right,orange,943,0
20,24590201.989999972,1,22,4519,blue,true,right,54,22,right,blue,1051,0
21,24593770.14500002,1,66,4453,blue,false,left,66,58,right,orange,1194,0
22,24597494.535000004,0,0,4453,blue,true,left,98,41,right,orange,1000,0
23,24601015.944999993,1,80,4373,blue,true,left,58,80,left,blue,384,0
24,24603921.120000012,1,85,4288,blue,true,right,32,85,right,blue,865,0
25,24607311.585000016,1,83,4205,blue,false,right,83,15,left,orange,832,0
26,24610666.90999997,0,0,4205,blue,true,left,18,16,right,orange,757,0
27,24613941.49,1,99,4106,blue,true,left,56,99,left,blue,1319,0
28,24617779.054999992,0,0,4106,blue,true,left,23,75,right,orange,464,0
29,24620766.62499999,1,18,4088,blue,true,right,68,18,right,blue,416,0
30,24623708.994999994,0,0,4088,blue,true,left,30,16,right,orange,1004,0
31,24627232.93,0,0,4088,blue,true,right,86,37,left,orange,1186,0
32,24630934.200000018,0,0,4088,blue,true,left,47,44,right,orange,1215,0
33,24634665.869999968,1,91,3997,blue,true,left,3,91,left,blue,989,0
34,24638173.115000013,0,0,3997,blue,false,right,60,14,right,blue,951,0
35,24641643.909999985,0,0,3997,blue,true,right,54,84,left,orange,1705,0
36,24645863.769999996,1,23,3974,blue,true,left,34,23,left,blue,2259,0
37,24650639.614999995,0,0,3974,blue,true,left,96,28,right,orange,899,0
38,24654053.870000005,0,0,3974,blue,false,left,83,94,left,blue,1302,0
39,24657869.88999997,0,0,3974,blue,true,right,63,86,left,orange,2380,0
40,24662770.090000004,0,0,3974,blue,true,right,99,53,left,orange,1039,0
41,24666337.880000006,0,0,3974,blue,true,right,29,91,left,orange,1769,0
42,24670625.739999987,0,0,3974,blue,true,left,88,64,right,orange,1863,0
43,24675012.999999978,0,0,3974,blue,true,right,84,70,left,orange,2510,0
44,24680045.319999974,0,0,3974,blue,false,right,61,88,right,blue,2573,0
45,24685134.15499998,1,43,3931,blue,true,right,61,43,right,blue,1204,0
46,24688859.28500001,0,0,3931,blue,true,right,87,54,left,orange,1038,0
47,24692417.58000001,0,0,3931,blue,false,left,5,90,left,blue,977,0
48,24699935.364999983,1,44,3887,blue,true,left,71,44,left,blue,1331,0
49,24703790.860000007,1,52,3835,blue,true,left,42,52,left,blue,906,0
50,24707212.690000016,1,93,3742,blue,true,right,39,93,right,blue,644,0
51,24710379.394999996,0,0,3742,blue,true,right,39,24,left,orange,1261,0
52,24714158.605000004,1,20,3722,blue,false,left,20,10,right,orange,1134,0
53,24717815.015,1,85,3637,blue,false,right,85,43,left,orange,669,0
54,24721013.50999996,1,77,3560,blue,false,left,77,7,right,orange,763,0
55,24724299.224999964,0,0,3560,blue,true,left,95,90,right,orange,1035,0
56,24727848.754999984,1,7,3553,blue,true,right,56,7,right,blue,1083,0
57,24731452.379999973,0,0,3553,blue,true,right,50,69,left,orange,543,0
58,24734516.249999985,1,83,3470,blue,true,right,4,83,right,blue,930,0
59,24737965.994999975,1,40,3430,blue,false,right,40,8,left,orange,499,0
60,24740984.999999985,1,86,3344,blue,true,left,47,86,left,blue,1328,0
61,24744833.929999962,0,0,3344,blue,true,right,15,49,left,orange,2078,0
62,24749431.025,1,39,3305,blue,true,right,17,39,right,blue,769,0
63,24752724.849999998,0,0,3305,blue,false,left,76,97,left,blue,1030,0
64,24756270.504999965,0,0,3305,blue,true,left,73,14,right,orange,1294,0
65,24760082.530000016,0,0,3305,blue,true,right,67,29,left,orange,1065,0
66,24763661.859999992,0,0,3305,blue,true,left,48,39,right,orange,861,0
67,24767040.99499999,1,99,3206,blue,true,right,30,99,right,blue,945,0
68,24770508.634999976,0,0,3206,blue,false,right,13,20,right,blue,704,0
69,24773730.08499999,1,59,3147,blue,true,right,66,59,right,blue,1155,0
70,24777407.149999984,1,60,3087,blue,true,left,20,60,left,blue,1985,0
71,24781912.74,1,25,3062,blue,true,right,41,25,right,blue,1295,0
72,24785726.689999983,1,76,2986,blue,false,right,76,70,left,orange,1317,0
73,24789567.754999965,1,73,2913,blue,false,right,73,18,left,orange,820,0
74,24792907.795000006,1,41,2872,blue,false,left,41,80,right,orange,760,0
75,24796188.789999984,0,0,2872,blue,true,right,25,76,left,orange,703,0
76,24799415.050000012,1,34,2838,blue,false,right,34,52,left,orange,1609,0
77,24803547.499999985,0,0,2838,blue,false,left,30,60,left,blue,669,0
78,24806733.999999996,1,91,2747,blue,false,right,91,36,left,orange,588,0
79,24809843.965000007,1,70,2677,blue,false,left,70,59,right,orange,702,0
80,24813067.784999963,0,0,2677,blue,true,left,64,47,right,orange,580,0
81,24816169.55499997,1,28,2649,blue,false,right,28,44,left,orange,307,0
82,24818997.87999998,0,0,2649,blue,false,left,2,80,left,blue,657,0
83,24822175.85,0,0,2649,blue,false,right,20,39,right,blue,867,0
84,24864184.609999996,1,32,2617,blue,false,right,32,61,left,orange,1294,7
85,24873526.249999996,0,0,2617,blue,false,right,90,61,right,blue,445,1
86,24876491.875000007,0,0,2617,blue,true,left,62,70,right,orange,960,0
87,24879972.435000002,1,17,2600,blue,false,left,17,33,right,orange,475,0
88,24882969.60499999,1,74,2526,blue,false,left,74,17,right,orange,907,0
89,24886396.869999997,1,2,2524,blue,false,right,2,85,left,orange,611,0
90,24889532.03,0,0,2524,blue,false,right,39,76,right,blue,404,0
91,24892450.659999974,1,70,2454,blue,false,right,70,20,left,orange,669,0
92,24895645.519999962,1,69,2385,blue,true,right,24,69,right,blue,387,0
93,24898551.624999963,0,0,2385,blue,true,right,59,52,left,orange,1349,0
94,24978165.05999997,1,15,2370,blue,false,right,15,43,left,orange,1305,13
95,24981997.440000005,0,0,2370,blue,true,left,50,34,right,orange,899,0
96,24985414.479999978,0,0,2370,blue,false,right,43,48,right,blue,742,0
97,24988678.17999999,1,35,2335,blue,true,left,14,35,left,blue,1085,0
98,24992288.854999993,1,42,2293,blue,true,right,12,42,right,blue,589,0
99,24995400.879999973,1,44,2249,blue,true,right,40,44,right,blue,743,0
100,24998666.12499999,0,0,2249,blue,true,right,88,50,left,orange,704,0
101,25001887.91499997,0,0,2249,blue,true,right,51,19,left,orange,1125,0
102,25005534.364999972,0,0,2249,blue,true,left,44,59,right,orange,689,0
103,25008739.07999997,1,9,2240,blue,true,right,23,9,right,blue,1417,0
104,25012675.77999999,1,76,2164,blue,true,left,23,76,left,blue,1412,0
105,25016604.844999965,1,47,2117,blue,true,right,94,47,right,blue,593,0
106,25019715.069999978,1,67,2050,blue,false,right,67,56,left,orange,396,0
107,25022628.96,1,16,2034,blue,true,left,50,16,left,blue,539,0
108,25025689.755,1,7,2027,blue,true,right,83,7,right,blue,470,0
109,25028684.84999996,0,0,2027,blue,true,left,86,41,right,orange,1125,0
110,25032324.48999997,0,0,2027,blue,true,right,61,37,left,orange,1048,0
111,25035884.689999975,0,0,2027,blue,false,right,82,57,right,blue,706,0
112,25039112.789999984,1,68,1959,blue,false,left,68,28,right,orange,331,0
113,25041964.56499997,0,0,1959,blue,false,left,65,76,left,blue,1128,0
114,25045612.054999977,0,0,1959,blue,false,right,25,19,right,blue,1456,0
115,25049581.30999998,0,0,1959,blue,false,right,67,68,right,blue,1620,0
116,25053719.19500001,1,82,1877,blue,false,left,82,68,right,orange,1184,0
117,25057427.23999999,1,88,1789,blue,false,right,88,19,left,orange,655,0
118,25060602.104999997,0,0,1789,blue,true,left,55,11,right,orange,316,0
119,25063441.439999968,1,36,1753,blue,true,right,74,36,right,blue,445,0
120,25066407.910000008,0,0,1753,blue,false,right,18,64,right,blue,627,0
121,25069552.079999994,1,15,1738,blue,false,left,15,3,right,orange,747,0
122,25072815.95999998,1,91,1647,blue,false,right,91,76,left,orange,1006,0
123,25076344.240000006,0,0,1647,blue,false,left,66,92,left,blue,1018,0
124,25079879.525,0,0,1647,blue,false,left,67,14,left,blue,1552,0
125,25083944.744999986,1,77,1570,blue,true,right,11,77,right,blue,948,0
126,25087418.345000014,0,0,1570,blue,false,left,36,20,left,blue,395,0
127,25090334.585000005,1,44,1526,blue,false,right,44,61,left,orange,1440,0
128,25094294.82999997,0,0,1526,blue,false,right,4,34,right,blue,561,0
129,25097373.429999977,1,86,1440,blue,false,left,86,63,right,orange,906,0
130,25100797.06999997,1,99,1341,blue,false,right,99,43,left,orange,862,0
131,25104180.669999972,1,56,1285,blue,true,right,95,56,right,blue,783,0
132,25107486.280000012,1,89,1196,blue,false,right,89,63,left,orange,952,0
133,25110962.814999975,1,80,1116,blue,true,right,88,80,right,blue,510,0
134,25113994.130000006,0,0,1116,blue,false,right,5,10,right,blue,571,0
135,25117079.335000016,1,80,1036,blue,true,right,35,80,right,blue,733,0
136,25120330.83499997,1,57,979,blue,true,left,8,57,left,blue,662,0
137,25123513.884999964,1,47,932,blue,true,left,78,47,left,blue,471,0
138,25126506.264999975,1,99,833,blue,true,right,5,99,right,blue,512,0
139,25129538.684999976,1,67,766,blue,true,right,62,67,right,blue,905,0
140,25132964.349999964,0,0,766,blue,false,right,95,27,right,blue,1228,0
