Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,237710.85999999195,1,37,4963,blue,true,left,44,37,left,blue,1495,0
2,241739.8899999971,1,12,4951,blue,true,left,66,12,left,blue,1018,0
3,245294.2949999997,1,9,4942,blue,true,left,98,9,left,blue,1063,0
4,248890.12999998522,1,20,4922,blue,false,right,20,91,left,orange,2042,0
5,253464.99499998754,1,8,4914,blue,true,right,28,8,right,blue,1124,0
6,257122.34999999055,0,0,4914,blue,true,right,30,33,left,orange,998,0
7,260645.88999998523,0,0,4914,blue,true,left,27,24,right,orange,1493,0
8,264664.52500000014,1,58,4856,blue,false,left,58,43,right,orange,1989,0
9,269187.6800000027,0,0,4856,blue,true,left,72,47,right,orange,1183,0
10,272896.97499998147,1,44,4812,blue,false,right,44,44,left,orange,1083,0
11,276516.45999998436,1,26,4786,blue,true,right,69,26,right,blue,2048,0
12,281094.6100000001,0,0,4786,blue,true,right,6,41,left,orange,776,0
13,284397.18999998877,0,0,4786,blue,true,right,88,34,left,orange,2146,0
14,289073.34000000264,0,0,4786,blue,false,right,73,18,right,blue,1214,0
15,292822.0549999969,1,25,4761,blue,true,left,60,25,left,blue,1648,0
16,297001.9849999808,1,6,4755,blue,true,left,68,6,left,blue,1007,0
17,300542.3099999898,1,48,4707,blue,false,right,48,39,left,orange,1868,0
18,304938.4849999915,0,0,4707,blue,true,right,35,76,left,orange,1165,0
19,308630.27999998303,0,0,4707,blue,true,right,23,85,left,orange,916,0
20,312071.0700000054,0,0,4707,blue,true,right,54,22,left,orange,2463,0
21,317063.5599999805,1,66,4641,blue,false,right,66,58,left,orange,1243,0
22,320841.92999999505,0,0,4641,blue,true,left,98,41,right,orange,1749,0
23,325118.9500000037,0,0,4641,blue,true,right,58,80,left,orange,1001,0
24,328646.3749999821,0,0,4641,blue,true,left,32,85,right,orange,951,0
25,332124.17999998434,0,0,4641,blue,false,right,83,15,right,blue,1727,0
26,336377.04999998095,0,0,4641,blue,true,right,18,16,left,orange,1546,0
27,340451.8349999853,0,0,4641,blue,true,left,56,99,right,orange,1438,0
28,344416.15000000456,0,0,4641,blue,true,left,23,75,right,orange,1152,0
29,348098.18499998073,1,18,4623,blue,true,left,68,18,left,blue,1557,0
30,357730.5150000029,0,0,4623,blue,true,left,30,16,right,orange,1755,1
31,362009.5100000035,0,0,4623,blue,true,left,86,37,right,orange,1713,0
32,366249.19499998214,1,44,4579,blue,true,left,47,44,left,blue,1887,0
33,370672.03499999596,0,0,4579,blue,true,right,3,91,left,orange,1118,0
34,374316.86999998055,1,60,4519,blue,false,left,60,14,right,orange,1008,0
35,377865.3349999804,0,0,4519,blue,true,left,54,84,right,orange,1081,0
36,381471.7599999858,0,0,4519,blue,true,right,34,23,left,orange,972,0
37,384972.2799999872,1,28,4491,blue,true,left,96,28,left,blue,1194,0
38,388701.33499999065,1,83,4408,blue,false,right,83,94,left,orange,1233,0
39,392470.47499998007,0,0,4408,blue,true,right,63,86,left,orange,857,0
40,395854.1549999791,0,0,4408,blue,true,left,99,53,right,orange,1280,0
41,399657.83999999985,0,0,4408,blue,true,left,29,91,right,orange,896,0
42,403076.9849999924,0,0,4408,blue,true,right,88,64,left,orange,1750,0
43,407352.35999998986,0,0,4408,blue,true,left,84,70,right,orange,1801,0
44,411681.8649999914,1,61,4347,blue,false,right,61,88,left,orange,1513,0
45,415728.9250000031,0,0,4347,blue,true,left,61,43,right,orange,1380,0
46,419641.84500000556,0,0,4347,blue,true,right,87,54,left,orange,1665,0
47,423827.90499998373,1,5,4342,blue,false,left,5,90,right,orange,751,0
48,431132.8799999901,0,0,4342,blue,true,left,71,44,right,orange,3512,0
49,437171.2149999803,0,0,4342,blue,true,right,42,52,left,orange,1320,0
50,441020.25999999023,0,0,4342,blue,true,left,39,93,right,orange,933,0
51,444480.0099999993,0,0,4342,blue,true,right,39,24,left,orange,1140,0
52,448145.4950000043,1,20,4322,blue,false,left,20,10,right,orange,1471,0
53,452146.37999999104,1,85,4237,blue,false,left,85,43,right,orange,1094,0
54,455770.13499999885,1,77,4160,blue,false,right,77,7,left,orange,930,0
55,459233.6950000026,1,90,4070,blue,true,left,95,90,left,blue,536,0
56,462302.9749999987,1,7,4063,blue,true,left,56,7,left,blue,515,0
57,470870.2549999871,0,0,4063,blue,true,right,50,69,left,orange,300,1
58,473698.390000005,0,0,4063,blue,true,left,4,83,right,orange,795,0
59,477021.2949999841,0,0,4063,blue,false,left,40,8,left,blue,1515,0
60,481063.05999998585,0,0,4063,blue,true,right,47,86,left,orange,994,0
61,484581.8699999945,0,0,4063,blue,true,right,15,49,left,orange,1137,0
62,488246.92000000505,0,0,4063,blue,true,right,17,39,left,orange,579,0
63,491352.46999998344,1,76,3987,blue,false,right,76,97,left,orange,698,0
64,494582.40499999374,1,14,3973,blue,true,left,73,14,left,blue,766,0
65,497885.8499999915,1,29,3944,blue,true,right,67,29,right,blue,1252,0
66,501673.35499997716,0,0,3944,blue,true,left,48,39,right,orange,1055,0
67,505254.87499998417,0,0,3944,blue,true,left,30,99,right,orange,1188,0
68,508970.4700000002,1,13,3931,blue,false,left,13,20,right,orange,771,0
69,512273.749999993,0,0,3931,blue,true,left,66,59,right,orange,942,0
70,515734.7249999875,0,0,3931,blue,true,left,20,60,right,orange,914,0
71,519170.5049999873,0,0,3931,blue,true,left,41,25,right,orange,1322,0
72,523022.48499999405,1,76,3855,blue,false,left,76,70,right,orange,1364,0
73,526919.2949999997,1,73,3782,blue,false,right,73,18,left,orange,1482,0
74,530933.3000000042,1,41,3741,blue,false,left,41,80,right,orange,902,0
75,534367.5499999954,0,0,3741,blue,true,right,25,76,left,orange,611,0
76,537505.2600000054,1,34,3707,blue,false,right,34,52,left,orange,863,0
77,540900.8199999807,1,30,3677,blue,false,left,30,60,right,orange,418,0
78,543852.9699999781,0,0,3677,blue,false,right,91,36,right,blue,504,0
79,546886.3600000041,0,0,3677,blue,false,right,70,59,right,blue,716,0
