Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,3886501,1,37,4963,blue,true,right,44,37,right,blue,1485,0
2,3890532,1,12,4951,blue,true,left,66,12,left,blue,648,0
3,3893728,1,9,4942,blue,true,left,98,9,left,blue,844,0
4,3897109,1,20,4922,blue,false,right,20,91,left,orange,765,0
5,3900415,1,8,4914,blue,true,right,28,8,right,blue,708,0
6,3903656,0,0,4914,blue,true,right,30,33,left,orange,1644,0
7,3907827,0,0,4914,blue,true,right,27,24,left,orange,763,0
8,3911121,1,58,4856,blue,false,left,58,43,right,orange,1506,0
9,3915166,1,47,4809,blue,true,right,72,47,right,blue,1416,0
10,3919113,1,44,4765,blue,false,right,44,44,left,orange,1437,0
11,3923082,1,26,4739,blue,true,left,69,26,left,blue,929,0
12,3926544,0,0,4739,blue,true,left,6,41,right,orange,863,0
13,3929936,1,34,4705,blue,true,right,88,34,right,blue,975,0
14,3933444,0,0,4705,blue,false,right,73,18,right,blue,1101,0
15,3937065,1,25,4680,blue,true,right,60,25,right,blue,779,0
16,3940373,1,6,4674,blue,true,left,68,6,left,blue,1126,0
17,3944022,1,48,4626,blue,false,left,48,39,right,orange,1179,0
18,3947735,0,0,4626,blue,true,left,35,76,right,orange,934,0
19,3951199,0,0,4626,blue,true,left,23,85,right,orange,760,0
20,3954488,1,22,4604,blue,true,right,54,22,right,blue,882,0
21,3957903,1,66,4538,blue,false,left,66,58,right,orange,1646,0
22,3962086,1,41,4497,blue,true,left,98,41,left,blue,1085,0
23,3965702,0,0,4497,blue,true,right,58,80,left,orange,1713,0
24,3969940,0,0,4497,blue,true,left,32,85,right,orange,1084,0
25,3973552,0,0,4497,blue,false,right,83,15,right,blue,1026,0
26,3977105,0,0,4497,blue,true,left,18,16,right,orange,1689,0
27,3981328,0,0,4497,blue,true,right,56,99,left,orange,1071,0
28,3984927,0,0,4497,blue,true,left,23,75,right,orange,518,0
29,3987978,1,18,4479,blue,true,right,68,18,right,blue,1158,0
30,3991668,0,0,4479,blue,true,right,30,16,left,orange,1289,0
31,3995485,1,37,4442,blue,true,right,86,37,right,blue,859,0
32,3998874,0,0,4442,blue,true,left,47,44,right,orange,1293,0
33,4002694,0,0,4442,blue,true,left,3,91,right,orange,587,0
34,4005809,0,0,4442,blue,false,right,60,14,right,blue,1040,0
35,4009380,0,0,4442,blue,true,right,54,84,left,orange,1190,0
36,4013096,0,0,4442,blue,true,left,34,23,right,orange,1475,0
37,4017098,1,28,4414,blue,true,left,96,28,left,blue,943,0
38,4020574,1,83,4331,blue,false,right,83,94,left,orange,1036,0
39,4024146,0,0,4331,blue,true,left,63,86,right,orange,993,0
40,4027662,1,53,4278,blue,true,right,99,53,right,blue,1132,0
41,4031326,0,0,4278,blue,true,right,29,91,left,orange,655,0
42,4034506,1,64,4214,blue,true,left,88,64,left,blue,1462,0
43,4038500,0,0,4214,blue,true,right,84,70,left,orange,1601,0
44,4042628,1,61,4153,blue,false,left,61,88,right,orange,653,0
45,4045816,1,43,4110,blue,true,left,61,43,left,blue,843,0
46,4049197,1,54,4056,blue,true,left,87,54,left,blue,1008,0
47,4052746,1,5,4051,blue,false,left,5,90,right,orange,563,0
48,4059850,1,44,4007,blue,true,left,71,44,left,blue,878,0
49,4063261,0,0,4007,blue,true,right,42,52,left,orange,914,0
50,4066697,0,0,4007,blue,true,right,39,93,left,orange,621,0
51,4069850,0,0,4007,blue,true,left,39,24,right,orange,944,0
52,4073322,0,0,4007,blue,false,right,20,10,right,blue,1099,0
53,4076946,0,0,4007,blue,false,left,85,43,left,blue,1193,0
54,4080668,0,0,4007,blue,false,right,77,7,right,blue,530,0
55,4083727,0,0,4007,blue,true,right,95,90,left,orange,1971,0
56,4088231,1,7,4000,blue,true,right,56,7,right,blue,687,0
57,4091452,0,0,4000,blue,true,right,50,69,left,orange,1016,0
