Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,249748.00000000003,0,0,5000,blue,true,left,23,10,right,orange,1843,0
2,254103,0,0,5000,blue,true,right,45,97,left,orange,622,0
3,257237.00000000003,0,0,5000,blue,true,right,54,62,left,orange,484,0
4,260231,1,99,4901,blue,false,left,99,16,right,orange,631,0
5,263376.00000000006,0,0,4901,blue,true,left,72,40,right,orange,635,0
6,266524,0,0,4901,blue,true,right,98,88,left,orange,563,0
7,269597,0,0,4901,blue,true,right,6,54,left,orange,927,0
8,273036,0,0,4901,blue,true,right,64,55,left,orange,926,0
9,276473,1,96,4805,blue,false,left,96,45,right,orange,729,0
10,279716,0,0,4805,blue,true,left,28,19,right,orange,568,0
11,282795,0,0,4805,blue,true,right,95,26,left,orange,533,0
12,285840.00000000006,0,0,4805,blue,true,right,90,29,left,orange,432,0
13,288783,0,0,4805,blue,true,right,20,53,left,orange,865,0
14,292160,0,0,4805,blue,true,right,74,56,left,orange,464,0
15,295134,0,0,4805,blue,true,right,18,42,left,orange,1082,0
16,298727.00000000006,0,0,4805,blue,true,left,11,91,right,orange,1310,0
17,302549,1,32,4773,blue,false,left,32,31,right,orange,1038,0
18,306103,1,65,4708,blue,true,left,36,65,left,blue,2780,0
19,311397,1,40,4668,blue,false,right,40,30,left,orange,782,0
20,314693,1,26,4642,blue,true,left,29,26,left,blue,466,0
21,317670,1,32,4610,blue,false,right,32,36,left,orange,812,0
22,320996,1,81,4529,blue,true,right,72,81,right,blue,910,0
23,324419,0,0,4529,blue,false,left,95,54,left,blue,539,0
24,327469,0,0,4529,blue,false,right,40,59,right,blue,444,0
25,330424.00000000006,0,0,4529,blue,false,right,29,24,right,blue,572,0
26,333509,0,0,4529,blue,false,right,60,51,right,blue,720,0
27,336742,0,0,4529,blue,false,left,83,65,left,blue,760,0
28,340012,1,98,4431,blue,true,right,78,98,right,blue,459,0
29,342987,0,0,4431,blue,false,right,56,51,right,blue,561,0
30,346059,0,0,4431,blue,false,right,5,20,right,blue,443,0
31,349012,0,0,4431,blue,false,left,67,2,left,blue,961,0
32,352484,0,0,4431,blue,false,left,85,84,left,blue,1349,0
33,356343,0,0,4431,blue,true,right,7,49,left,orange,783,0
34,359636,0,0,4431,blue,false,left,37,47,left,blue,1077,0
35,363223,1,27,4404,blue,false,right,27,91,left,orange,957,0
36,366697,0,0,4404,blue,false,right,44,42,right,blue,947,0
37,370156,1,55,4349,blue,true,left,31,55,left,blue,745,0
38,373415,1,97,4252,blue,false,left,97,70,right,orange,994,0
39,376922,1,14,4238,blue,false,left,14,9,right,orange,572,0
40,380007,1,51,4187,blue,true,left,23,51,left,blue,350,0
41,382871,1,79,4108,blue,true,right,89,79,right,blue,441,0
42,385826,1,86,4022,blue,true,right,83,86,right,blue,447,0
43,388788,1,62,3960,blue,true,left,40,62,left,blue,482,0
44,391784,0,0,3960,blue,true,left,36,23,right,orange,421,0
45,394715.00000000006,0,0,3960,blue,true,left,65,61,right,orange,523,0
46,397748,0,0,3960,blue,true,left,74,67,right,orange,380,0
47,400638.00000000006,0,0,3960,blue,true,left,73,41,right,orange,435,0
48,407586,1,96,3864,blue,false,right,96,54,left,orange,887,0
49,410986,0,0,3864,blue,true,left,86,88,right,orange,397,0
50,413894,0,0,3864,blue,true,right,43,66,left,orange,464,0
51,416869,0,0,3864,blue,true,left,72,79,right,orange,433,0
52,419811.00000000006,1,71,3793,blue,false,right,71,13,left,orange,454,0
53,422777,0,0,3793,blue,true,left,78,53,right,orange,453,0
