Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,122247.8000000001,1,37,4963,blue,true,right,44,37,right,blue,2331,0
2,127157.0099999999,1,12,4951,blue,true,right,66,12,right,blue,858,0
3,130583.88999999988,0,0,4951,blue,true,right,98,9,left,orange,390,0
4,133523.31500000035,1,20,4931,blue,false,right,20,91,left,orange,457,0
5,136551.59000000003,0,0,4931,blue,true,right,28,8,left,orange,415,0
6,139530.5099999996,0,0,4931,blue,true,right,30,33,left,orange,326,0
7,142417.73000000013,0,0,4931,blue,true,left,27,24,right,orange,1124,0
8,146094.19499999966,1,58,4873,blue,false,right,58,43,left,orange,404,0
9,149075.21499999985,0,0,4873,blue,true,left,72,47,right,orange,518,0
10,152142.02999999997,1,44,4829,blue,false,left,44,44,right,orange,495,0
11,155207.73499999996,0,0,4829,blue,true,right,69,26,left,orange,402,0
12,158178.34500000026,0,0,4829,blue,true,left,6,41,right,orange,546,0
13,161278.4700000002,0,0,4829,blue,true,right,88,34,left,orange,464,0
14,164305.60499999957,1,73,4756,blue,false,right,73,18,left,orange,489,0
15,167382.16000000012,0,0,4756,blue,true,right,60,25,left,orange,512,0
16,170464.64500000002,0,0,4756,blue,true,right,68,6,left,orange,438,0
17,173464.62499999962,1,48,4708,blue,false,left,48,39,right,orange,653,0
18,176679.62999999963,0,0,4708,blue,true,right,35,76,left,orange,302,0
19,179538.7700000001,0,0,4708,blue,true,right,23,85,left,orange,332,0
20,182431.9999999998,1,22,4686,blue,true,left,54,22,left,blue,388,0
21,185384.67500000025,0,0,4686,blue,false,left,66,58,left,blue,300,0
22,188235.31999999977,0,0,4686,blue,true,right,98,41,left,orange,417,0
23,191207.445,1,80,4606,blue,true,left,58,80,left,blue,723,0
24,194495.80499999956,1,85,4521,blue,true,left,32,85,left,blue,302,0
25,197365.62500000035,1,83,4438,blue,false,right,83,15,left,orange,377,0
26,200310.34,0,0,4438,blue,true,left,18,16,right,orange,538,0
27,203410.89999999985,0,0,4438,blue,true,right,56,99,left,orange,512,0
28,206478.70500000045,0,0,4438,blue,true,right,23,75,left,orange,486,0
29,209523.8900000004,0,0,4438,blue,true,left,68,18,right,orange,451,0
30,212531.32499999992,0,0,4438,blue,true,left,30,16,right,orange,432,0
31,215513.32,0,0,4438,blue,true,right,86,37,left,orange,428,0
32,218502.46499999956,0,0,4438,blue,true,left,47,44,right,orange,500,0
33,221567.5799999999,0,0,4438,blue,true,right,3,91,left,orange,365,0
34,224498.2799999998,1,60,4378,blue,false,left,60,14,right,orange,437,0
35,227510.35500000033,0,0,4378,blue,true,right,54,84,left,orange,348,0
36,230420.21500000008,0,0,4378,blue,true,right,34,23,left,orange,426,0
37,233406.9300000001,0,0,4378,blue,true,left,96,28,right,orange,511,0
38,236471.96499999973,1,83,4295,blue,false,left,83,94,right,orange,735,0
39,239774.9299999996,0,0,4295,blue,true,left,63,86,right,orange,489,0
40,242818.00999999995,0,0,4295,blue,true,right,99,53,left,orange,458,0
