Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,203578.16499983892,1,37,4963,blue,true,right,44,37,right,blue,2634,0
2,208749.37999993563,1,12,4951,blue,true,left,66,12,left,blue,1829,0
3,213120.02999987453,1,9,4942,blue,true,right,98,9,right,blue,1024,0
4,216678.0299996026,1,20,4922,blue,false,right,20,91,left,orange,743,0
5,219955.25999972597,0,0,4922,blue,true,right,28,8,left,orange,503,0
6,222994.75499987602,0,0,4922,blue,true,right,30,33,left,orange,740,0
7,226257.3849996552,0,0,4922,blue,true,right,27,24,left,orange,866,0
8,229642.65499962494,1,58,4864,blue,false,left,58,43,right,orange,1206,0
9,233393.63499963656,0,0,4864,blue,true,right,72,47,left,orange,2802,0
10,238732.93999955058,1,44,4820,blue,false,right,44,44,left,orange,1128,0
11,242392.8849999793,0,0,4820,blue,true,right,69,26,left,orange,2037,0
12,246966.63499996066,0,0,4820,blue,true,left,6,41,right,orange,1459,0
13,250952.1049996838,1,34,4786,blue,true,right,88,34,right,blue,2945,0
14,256447.78999965638,1,73,4713,blue,false,left,73,18,right,orange,3394,0
15,262385.7399998233,0,0,4713,blue,true,left,60,25,right,orange,1849,0
16,266774.0049995482,1,6,4707,blue,true,left,68,6,left,blue,1332,0
17,270648.0949996039,1,48,4659,blue,false,left,48,39,right,orange,999,0
18,274201.9849997014,0,0,4659,blue,true,left,35,76,right,orange,859,0
19,277588.5599995963,0,0,4659,blue,true,right,23,85,left,orange,888,0
20,281009.0049998835,0,0,4659,blue,true,right,54,22,left,orange,1668,0
21,285222.2549999133,1,66,4593,blue,false,left,66,58,right,orange,1026,0
22,288803.6749996245,1,41,4552,blue,true,right,98,41,right,blue,1182,0
23,292533.33000000566,0,0,4552,blue,true,left,58,80,right,orange,723,0
24,295794.2949999124,0,0,4552,blue,true,right,32,85,left,orange,864,0
25,299196.07499986887,0,0,4552,blue,false,right,83,15,right,blue,2999,0
26,304719.76999985054,0,0,4552,blue,true,right,18,16,left,orange,886,0
27,308134.34999994934,0,0,4552,blue,true,left,56,99,right,orange,943,0
28,311599.0549996495,0,0,4552,blue,true,right,23,75,left,orange,788,0
29,314910.7349999249,0,0,4552,blue,true,right,68,18,left,orange,2984,0
30,320421.8099997379,0,0,4552,blue,true,right,30,16,left,orange,822,0
31,323784.25999963656,1,37,4515,blue,true,right,86,37,right,blue,3810,0
