Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,348706.89999985695,1,37,4963,blue,true,right,44,37,right,blue,2943,0
2,354192,1,12,4951,blue,true,left,66,12,left,blue,1290,0
3,358048.5,1,9,4942,blue,true,right,98,9,right,blue,1006,0
4,361599.5,1,20,4922,blue,false,right,20,91,left,orange,3175,0
5,372879.69999980927,1,8,4914,blue,true,right,28,8,right,blue,1876,1
6,377356.7999999523,1,33,4881,blue,true,left,30,33,left,blue,2238,0
7,382142.09999990463,0,0,4881,blue,true,left,27,24,right,orange,536,0
8,385242.5,0,0,4881,blue,false,right,58,43,right,blue,1616,0
9,389442.7999999523,1,47,4834,blue,true,left,72,47,left,blue,1560,0
10,393567.39999985695,0,0,4834,blue,false,right,44,44,right,blue,1744,0
11,397863.39999985695,0,0,4834,blue,true,left,69,26,right,orange,952,0
12,401366.2999999523,0,0,4834,blue,true,left,6,41,right,orange,629,0
13,404581.89999985695,1,34,4800,blue,true,left,88,34,left,blue,2605,0
14,409735.7999999523,1,73,4727,blue,false,left,73,18,right,orange,2031,0
15,414315.69999980927,0,0,4727,blue,true,right,60,25,left,orange,415,0
16,417272.69999980927,1,6,4721,blue,true,left,68,6,left,blue,437,0
17,420256.2999999523,0,0,4721,blue,false,right,48,39,right,blue,348,0
18,423175.19999980927,1,76,4645,blue,true,right,35,76,right,blue,351,0
19,426076.59999990463,1,85,4560,blue,true,left,23,85,left,blue,306,0
20,428944.5,1,22,4538,blue,true,right,54,22,right,blue,434,0
21,431971.19999980927,1,66,4472,blue,false,right,66,58,left,orange,1524,0
22,436055.69999980927,0,0,4472,blue,true,right,98,41,left,orange,661,0
23,439299.89999985695,0,0,4472,blue,true,right,58,80,left,orange,314,0
24,442183,0,0,4472,blue,true,right,32,85,left,orange,542,0
25,445301.59999990463,1,83,4389,blue,false,right,83,15,left,orange,617,0
26,448467.89999985695,1,16,4373,blue,true,right,18,16,right,blue,554,0
27,451571.59999990463,1,99,4274,blue,true,left,56,99,left,blue,1976,0
28,456126,0,0,4274,blue,true,right,23,75,left,orange,1894,0
