Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,226582.0300001651,1,37,4963,blue,true,left,44,37,left,blue,2572,0
2,231721.66000003926,1,12,4951,blue,true,right,66,12,right,blue,446,0
3,234730.385000119,1,9,4942,blue,true,left,98,9,left,blue,394,0
4,237679.21000020579,1,20,4922,blue,false,right,20,91,left,orange,390,0
5,240644.59999999963,1,8,4914,blue,true,right,28,8,right,blue,433,0
6,243639.07000003383,0,0,4914,blue,true,left,30,33,right,orange,1137,0
7,247324.05000017025,0,0,4914,blue,true,left,27,24,right,orange,824,0
8,250694.30500012822,0,0,4914,blue,false,right,58,43,right,blue,698,0
9,253963.9900000766,0,0,4914,blue,true,left,72,47,right,orange,524,0
10,257046.2450000923,0,0,4914,blue,false,right,44,44,right,blue,518,0
11,260124.5900001377,1,26,4888,blue,true,right,69,26,right,blue,393,0
12,263084.2100000009,1,41,4847,blue,true,left,6,41,left,blue,356,0
13,266006.3500001561,0,0,4847,blue,true,left,88,34,right,orange,359,0
14,268917.84000000916,1,73,4774,blue,false,left,73,18,right,orange,369,0
15,271866.9550002087,0,0,4774,blue,true,right,60,25,left,orange,277,0
16,274729.4800002128,0,0,4774,blue,true,left,68,6,right,orange,523,0
17,277800.5450000055,0,0,4774,blue,false,left,48,39,left,blue,788,0
18,281157.46000013314,1,76,4698,blue,true,left,35,76,left,blue,652,0
19,284373.92000015825,1,85,4613,blue,true,left,23,85,left,blue,409,0
20,287344.93000013754,1,22,4591,blue,true,right,54,22,right,blue,616,0
21,290521.17000008,1,66,4525,blue,false,right,66,58,left,orange,301,0
22,293373.90500004403,1,41,4484,blue,true,left,98,41,left,blue,933,0
23,296883.8550001383,0,0,4484,blue,true,left,58,80,right,orange,338,0
24,299776.8550000619,1,85,4399,blue,true,right,32,85,right,blue,376,0
25,302725.43000010774,0,0,4399,blue,false,left,83,15,left,blue,528,0
26,305801.78500013426,0,0,4399,blue,true,right,18,16,left,orange,674,0
27,309043.90500020236,1,99,4300,blue,true,right,56,99,right,blue,1358,0
28,312955.2600001916,0,0,4300,blue,true,right,23,75,left,orange,18,0
29,315500.88499998674,1,18,4282,blue,true,left,68,18,left,blue,1110,0
30,319183.5700001102,0,0,4282,blue,true,left,30,16,right,orange,383,0
31,322126.1600002181,1,37,4245,blue,true,right,86,37,right,blue,566,0
32,325263.91500001773,1,44,4201,blue,true,left,47,44,left,blue,401,0
33,328203.7349999882,1,91,4110,blue,true,right,3,91,right,blue,305,0
34,331067.69000017084,1,60,4050,blue,false,right,60,14,left,orange,286,0
35,333907.00000012293,1,84,3966,blue,true,right,54,84,right,blue,341,0
36,336814.100000076,1,23,3943,blue,true,right,34,23,right,blue,205,0
37,339567.82500003465,1,28,3915,blue,true,left,96,28,left,blue,184,0
38,342299.39000005834,1,83,3832,blue,false,right,83,94,left,orange,175,0
39,345047.8450001683,1,86,3746,blue,true,right,63,86,right,blue,100,0
40,347719.7700000834,1,53,3693,blue,true,left,99,53,left,blue,161,0
41,350435.9800000675,1,91,3602,blue,true,right,29,91,right,blue,291,0
42,353291.5500001982,0,0,3602,blue,true,right,88,64,left,orange,57,0
43,355896.90500008874,0,0,3602,blue,true,right,84,70,left,orange,244,0
44,358684.5850001555,0,0,3602,blue,false,right,61,88,right,blue,432,0
45,361658.4900000598,1,43,3559,blue,true,right,61,43,right,blue,377,0
46,364586.24500012957,0,0,3559,blue,true,right,87,54,left,orange,164,0
47,367313.4550000541,0,0,3559,blue,false,left,5,90,left,blue,300,0
48,374189.2850000877,0,0,3559,blue,true,right,71,44,left,orange,2023,0
49,378767.11000013165,1,52,3507,blue,true,left,42,52,left,blue,554,0
50,381874.79500006884,0,0,3507,blue,true,left,39,93,right,orange,39,0
51,384455.11500001885,0,0,3507,blue,true,left,39,24,right,orange,267,0
52,387273.8750001881,0,0,3507,blue,false,left,20,10,left,blue,327,0
53,390154.5650002081,0,0,3507,blue,false,left,85,43,left,blue,294,0
54,393004.5650000684,1,77,3430,blue,false,left,77,7,right,orange,236,0
55,395794.4800001569,1,90,3340,blue,true,left,95,90,left,blue,176,0
56,398511.64500019513,1,7,3333,blue,true,right,56,7,right,blue,107,0
57,401173.67000016384,0,0,3333,blue,true,right,50,69,left,orange,403,0
58,404128.2250001095,1,83,3250,blue,true,left,4,83,left,blue,397,0
59,407086.72500005923,0,0,3250,blue,false,right,40,8,right,blue,62,0
60,409702.8500000015,1,86,3164,blue,true,right,47,86,right,blue,100,0
61,412383.1300002057,0,0,3164,blue,true,right,15,49,left,orange,250,0
62,415179.865000071,0,0,3164,blue,true,right,17,39,left,orange,181,0
63,417915.15500005335,1,76,3088,blue,false,right,76,97,left,orange,372,0
64,420853.97500009276,0,0,3088,blue,true,left,73,14,right,orange,147,0
65,423548.74500003643,0,0,3088,blue,true,left,67,29,right,orange,329,0
66,426423.73999999836,1,39,3049,blue,true,right,48,39,right,blue,272,0
67,429244.02000010014,1,99,2950,blue,true,left,30,99,left,blue,209,0
68,432003.8250000216,1,13,2937,blue,false,left,13,20,right,orange,400,0
