Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,215253,1,10,4990,blue,true,left,23,10,left,blue,3188,0
2,220965,0,0,4990,blue,true,left,45,97,right,orange,2408,0
3,225891,0,0,4990,blue,true,right,54,62,left,orange,765,0
4,229173,1,99,4891,blue,false,left,99,16,right,orange,1581,0
5,233273,0,0,4891,blue,true,right,72,40,left,orange,1178,0
6,236968.00000000003,0,0,4891,blue,true,right,98,88,left,orange,1445,0
7,240930,1,54,4837,blue,true,right,6,54,right,blue,1365,0
8,244816,0,0,4837,blue,true,left,64,55,right,orange,1954,0
9,249287,1,96,4741,blue,false,left,96,45,right,orange,1199,0
10,253004.00000000003,0,0,4741,blue,true,right,28,19,left,orange,1017,0
11,256538,0,0,4741,blue,true,left,95,26,right,orange,3656,0
12,262708,0,0,4741,blue,true,left,90,29,right,orange,1769,0
13,266993,0,0,4741,blue,true,right,20,53,left,orange,2253,0
14,271762,0,0,4741,blue,true,left,74,56,right,orange,1228,0
15,275505,0,0,4741,blue,true,left,18,42,right,orange,2430,0
16,280450,0,0,4741,blue,true,right,11,91,left,orange,2536,0
17,285502,1,32,4709,blue,false,right,32,31,left,orange,983,0
18,289004,0,0,4709,blue,true,left,36,65,right,orange,2321,0
19,293840.00000000006,1,40,4669,blue,false,right,40,30,left,orange,1824,0
20,298184,0,0,4669,blue,true,right,29,26,left,orange,2822,0
21,303524,1,32,4637,blue,false,right,32,36,left,orange,960,0
22,307002,0,0,4637,blue,true,left,72,81,right,orange,684,0
23,310201,1,95,4542,blue,false,left,95,54,right,orange,2489,0
24,315208,1,40,4502,blue,false,right,40,59,left,orange,1118,0
25,318844,1,29,4473,blue,false,left,29,24,right,orange,503,0
26,321867,1,60,4413,blue,false,right,60,51,left,orange,1012,0
27,325399,1,83,4330,blue,false,left,83,65,right,orange,970,0
28,328888.00000000006,0,0,4330,blue,true,right,78,98,left,orange,1898,0
29,333301,1,56,4274,blue,false,right,56,51,left,orange,712,0
30,336532,0,0,4274,blue,false,left,5,20,left,blue,1813,0
31,340862,0,0,4274,blue,false,right,67,2,right,blue,1302,0
32,344678,0,0,4274,blue,false,left,85,84,left,blue,889,0
33,348084,1,49,4225,blue,true,right,7,49,right,blue,573,0
34,351177,1,37,4188,blue,false,right,37,47,left,orange,2457,0
35,356152,0,0,4188,blue,false,right,27,91,right,blue,699,0
36,359367,0,0,4188,blue,false,left,44,42,left,blue,722,0
37,362606,1,55,4133,blue,true,left,31,55,left,blue,664,0
38,365789,1,97,4036,blue,false,left,97,70,right,orange,937,0
39,369245,1,14,4022,blue,false,left,14,9,right,orange,1181,0
40,372946,0,0,4022,blue,true,left,23,51,right,orange,1431,0
41,376892,0,0,4022,blue,true,right,89,79,left,orange,939,0
42,380347,0,0,4022,blue,true,left,83,86,right,orange,826,0
43,383689,0,0,4022,blue,true,left,40,62,right,orange,483,0
44,386688,0,0,4022,blue,true,left,36,23,right,orange,525,0
45,389729,1,61,3961,blue,true,right,65,61,right,blue,930,0
46,393175,0,0,3961,blue,true,right,74,67,left,orange,998,0
47,396688,1,41,3920,blue,true,left,73,41,left,blue,2796,0
48,406001.00000000006,1,96,3824,blue,false,left,96,54,right,orange,1630,0
49,410149,0,0,3824,blue,true,left,86,88,right,orange,838,0
50,413501.00000000006,0,0,3824,blue,true,right,43,66,left,orange,787,0
51,416802,0,0,3824,blue,true,left,72,79,right,orange,964,0
52,420282,1,71,3753,blue,false,right,71,13,left,orange,524,0
53,423325,0,0,3753,blue,true,left,78,53,right,orange,1177,0
54,427016,0,0,3753,blue,true,right,57,90,left,orange,1856,0
55,431387,1,3,3750,blue,false,right,3,12,left,orange,1428,0
56,435333,0,0,3750,blue,true,right,2,64,left,orange,1028,0
57,438878,1,9,3741,blue,true,right,99,9,right,blue,1366,0
58,442765,0,0,3741,blue,true,right,21,42,left,orange,1101,0
59,446381,0,0,3741,blue,true,left,83,72,right,orange,1091,0
60,449986,0,0,3741,blue,true,left,37,11,right,orange,1259,0
61,453761,1,67,3674,blue,false,left,67,81,right,orange,976,0
62,457255,0,0,3674,blue,true,right,12,14,left,orange,834,0
63,460608,1,78,3596,blue,false,right,78,90,left,orange,1065,0
64,464191.00000000006,1,46,3550,blue,false,right,46,53,left,orange,822,0
65,467531,1,30,3520,blue,false,right,30,42,left,orange,1024,0
66,471073.00000000006,1,36,3484,blue,false,left,36,65,right,orange,900,0
67,474494,1,49,3435,blue,false,right,49,49,left,orange,1140,0
68,478153,0,0,3435,blue,false,left,44,10,left,blue,1900,0
69,482569,0,0,3435,blue,false,right,70,64,right,blue,2099,0
70,487184,1,68,3367,blue,false,left,68,95,right,orange,2008,0
71,491710.00000000006,1,38,3329,blue,false,right,38,46,left,orange,1054,0
72,495283,0,0,3329,blue,false,left,18,24,left,blue,1882,0
73,499679.00000000006,0,0,3329,blue,false,left,82,78,left,blue,860,0
74,503053,0,0,3329,blue,false,right,59,54,right,blue,815,0
75,506383.00000000006,0,0,3329,blue,false,right,36,33,right,blue,574,0
76,509473,1,56,3273,blue,true,left,49,56,left,blue,408,0
77,512401.00000000006,0,0,3273,blue,false,left,26,83,left,blue,587,0
78,515503.00000000006,0,0,3273,blue,false,left,38,81,left,blue,514,0
