Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1257126.1749999993,0,0,5000,blue,true,right,23,10,left,orange,2179,0
2,1261832.1400000004,0,0,5000,blue,true,right,45,97,left,orange,582,0
3,1264940.2499999995,1,62,4938,blue,true,right,54,62,right,blue,474,0
4,1267945.1050000007,0,0,4938,blue,false,left,99,16,left,blue,405,0
5,1270878.7549999997,0,0,4938,blue,true,left,72,40,right,orange,584,0
6,1273994.924999999,0,0,4938,blue,true,left,98,88,right,orange,611,0
7,1277130.7199999993,1,54,4884,blue,true,right,6,54,right,blue,564,0
8,1280227.9249999993,1,55,4829,blue,true,left,64,55,left,blue,538,0
9,1283293.4549999991,1,96,4733,blue,false,left,96,45,right,orange,354,0
10,1286175.33,0,0,4733,blue,true,right,28,19,left,orange,398,0
11,1289100.7200000004,1,26,4707,blue,true,right,95,26,right,blue,465,0
12,1292091.7549999994,1,29,4678,blue,true,left,90,29,left,blue,458,0
13,1295085.7699999998,1,53,4625,blue,true,left,20,53,left,blue,449,0
14,1298066.859999999,1,56,4569,blue,true,right,74,56,right,blue,466,0
15,1301066.675,0,0,4569,blue,true,right,18,42,left,orange,547,0
16,1304137.2150000005,0,0,4569,blue,true,right,11,91,left,orange,517,0
17,1307181.1350000007,1,32,4537,blue,false,right,32,31,left,orange,530,0
18,1310245.5950000002,0,0,4537,blue,true,right,36,65,left,orange,752,0
19,1313522.3299999998,0,0,4537,blue,false,left,40,30,left,blue,820,0
20,1316868.7499999995,0,0,4537,blue,true,right,29,26,left,orange,625,0
21,1320018.2650000006,0,0,4537,blue,false,right,32,36,right,blue,621,0
22,1323164.2300000002,0,0,4537,blue,true,right,72,81,left,orange,466,0
23,1326149.41,0,0,4537,blue,false,left,95,54,left,blue,929,0
24,1329603.1650000005,1,40,4497,blue,false,left,40,59,right,orange,595,0
25,1332725.5299999998,1,29,4468,blue,false,right,29,24,left,orange,369,0
26,1335621.4099999997,0,0,4468,blue,false,right,60,51,right,blue,321,0
27,1338462.669999999,1,83,4385,blue,false,left,83,65,right,orange,663,0
28,1341659.814999999,0,0,4385,blue,true,right,78,98,left,orange,747,0
29,1344937.79,0,0,4385,blue,false,left,56,51,left,blue,773,0
30,1348237.294999999,0,0,4385,blue,false,left,5,20,left,blue,737,0
31,1351495.9799999997,0,0,4385,blue,false,left,67,2,left,blue,526,0
