Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,363201,1,10,4990,blue,true,right,23,10,right,blue,2165,0
2,367946,0,0,4990,blue,true,right,45,97,left,orange,1146,0
3,371645,0,0,4990,blue,true,left,54,62,right,orange,1620,0
4,375819,0,0,4990,blue,false,left,99,16,left,blue,1500,0
5,379871,1,40,4950,blue,true,right,72,40,right,blue,1171,0
6,383604,0,0,4950,blue,true,right,98,88,left,orange,1214,0
7,387369,0,0,4950,blue,true,right,6,54,left,orange,935,0
8,390854,0,0,4950,blue,true,left,64,55,right,orange,1130,0
9,394541,1,96,4854,blue,false,left,96,45,right,orange,1752,0
10,398854,0,0,4854,blue,true,right,28,19,left,orange,1070,0
11,402478,1,26,4828,blue,true,left,95,26,left,blue,1342,0
12,406385,1,29,4799,blue,true,right,90,29,right,blue,1527,0
13,410474,0,0,4799,blue,true,left,20,53,right,orange,1793,0
14,414816.00000000006,0,0,4799,blue,true,right,74,56,left,orange,1389,0
15,418756,0,0,4799,blue,true,left,18,42,right,orange,902,0
16,422210.00000000006,0,0,4799,blue,true,right,11,91,left,orange,911,0
17,425672,1,32,4767,blue,false,right,32,31,left,orange,831,0
18,429064,0,0,4767,blue,true,left,36,65,right,orange,728,0
19,432345,1,40,4727,blue,false,right,40,30,left,orange,722,0
20,435632,0,0,4727,blue,true,left,29,26,right,orange,714,0
21,438898,1,32,4695,blue,false,left,32,36,right,orange,485,0
22,441945,0,0,4695,blue,true,right,72,81,left,orange,636,0
23,445135,1,95,4600,blue,false,left,95,54,right,orange,1613,0
24,449309,1,40,4560,blue,false,left,40,59,right,orange,696,0
25,452571,0,0,4560,blue,false,left,29,24,left,blue,607,0
26,455733,0,0,4560,blue,false,left,60,51,left,blue,695,0
27,458986,0,0,4560,blue,false,left,83,65,left,blue,810,0
28,462345,1,98,4462,blue,true,left,78,98,left,blue,1015,0
29,465921,0,0,4462,blue,false,right,56,51,right,blue,878,0
30,469352.00000000006,0,0,4462,blue,false,right,5,20,right,blue,517,0
31,472421,0,0,4462,blue,false,right,67,2,right,blue,762,0
32,475733,0,0,4462,blue,false,right,85,84,right,blue,750,0
33,479035,1,49,4413,blue,true,right,7,49,right,blue,1158,0
34,482752,0,0,4413,blue,false,left,37,47,left,blue,1543,0
35,486850,1,27,4386,blue,false,right,27,91,left,orange,1413,0
36,490827,0,0,4386,blue,false,right,44,42,right,blue,782,0
37,494162.00000000006,1,55,4331,blue,true,left,31,55,left,blue,1746,0
38,498469,0,0,4331,blue,false,left,97,70,left,blue,1467,0
39,502492,0,0,4331,blue,false,left,14,9,left,blue,833,0
40,505875,1,51,4280,blue,true,right,23,51,right,blue,940,0
41,509376.00000000006,1,79,4201,blue,true,right,89,79,right,blue,1268,0
42,513207.99999999994,1,86,4115,blue,true,right,83,86,right,blue,1071,0
43,516839.00000000006,0,0,4115,blue,true,left,40,62,right,orange,741,0
44,520129,0,0,4115,blue,true,right,36,23,left,orange,713,0
45,523395,0,0,4115,blue,true,right,65,61,left,orange,694,0
46,526640,0,0,4115,blue,true,right,74,67,left,orange,698,0
47,529897,1,41,4074,blue,true,right,73,41,right,blue,1593,0
48,538054,1,96,3978,blue,false,right,96,54,left,orange,1555,0
49,542169,1,88,3890,blue,true,right,86,88,right,blue,1189,0
50,545920,0,0,3890,blue,true,left,43,66,right,orange,753,0
51,549228.0000000001,0,0,3890,blue,true,right,72,79,left,orange,1201,0
52,552980,1,71,3819,blue,false,right,71,13,left,orange,733,0
53,556272,0,0,3819,blue,true,left,78,53,right,orange,1611,0
54,560435.0000000001,0,0,3819,blue,true,left,57,90,right,orange,1023,0
55,564010,1,3,3816,blue,false,left,3,12,right,orange,680,0
56,567252.0000000001,0,0,3816,blue,true,left,2,64,right,orange,1326,0
57,571131,1,9,3807,blue,true,right,99,9,right,blue,1714,0
58,575405,0,0,3807,blue,true,left,21,42,right,orange,2459,0
59,580415,0,0,3807,blue,true,right,83,72,left,orange,1257,0
60,584221,0,0,3807,blue,true,right,37,11,left,orange,1248,0
61,588019,1,67,3740,blue,false,right,67,81,left,orange,804,0
62,591381,0,0,3740,blue,true,right,12,14,left,orange,577,0
63,594509,1,78,3662,blue,false,right,78,90,left,orange,1093,0
64,598168,1,46,3616,blue,false,right,46,53,left,orange,1241,0
65,601971,0,0,3616,blue,false,right,30,42,right,blue,752,0
66,605277,1,36,3580,blue,false,left,36,65,right,orange,675,0
67,608514,0,0,3580,blue,false,right,49,49,right,blue,1125,0
68,612192,0,0,3580,blue,false,right,44,10,right,blue,693,0
69,615434,0,0,3580,blue,false,right,70,64,right,blue,1126,0
70,619116,0,0,3580,blue,false,right,68,95,right,blue,1290,0
71,622957,0,0,3580,blue,false,left,38,46,left,blue,1038,0
72,626552,0,0,3580,blue,false,right,18,24,right,blue,849,0
73,629951,0,0,3580,blue,false,left,82,78,left,blue,1240,0
74,633746,0,0,3580,blue,false,left,59,54,left,blue,962,0
75,637259,0,0,3580,blue,false,right,36,33,right,blue,1019,0
76,640832,1,56,3524,blue,true,right,49,56,right,blue,888,0
77,644285,1,26,3498,blue,false,left,26,83,right,orange,1441,0
78,648286,1,38,3460,blue,false,left,38,81,right,orange,1680,0
79,652530,0,0,3460,blue,false,left,12,3,left,blue,951,0
80,656031.0000000001,0,0,3460,blue,false,right,62,38,right,blue,1104,0
81,659690,0,0,3460,blue,false,right,43,50,right,blue,1017,0
82,663258,0,0,3460,blue,false,left,50,47,left,blue,1070,0
83,666880,1,35,3425,blue,true,left,41,35,left,blue,856,0
84,670300.0000000001,0,0,3425,blue,false,right,9,62,right,blue,1512,0
85,674364,0,0,3425,blue,false,right,60,58,right,blue,935,0
86,677849,0,0,3425,blue,false,left,88,31,left,blue,743,0
87,681142,0,0,3425,blue,false,right,56,44,right,blue,782,0
88,684478.0000000001,1,15,3410,blue,true,right,31,15,right,blue,550,0
89,687589,0,0,3410,blue,false,left,90,31,left,blue,1251,0
90,691396,0,0,3410,blue,false,right,80,76,right,blue,796,0
91,694746,0,0,3410,blue,false,right,78,4,right,blue,756,0
92,698052,0,0,3410,blue,false,right,60,28,right,blue,757,0
93,701361,1,99,3311,blue,true,right,56,99,right,blue,1409,0
94,714868,1,31,3280,blue,false,left,31,45,right,orange,1202,1
95,718639,0,0,3280,blue,false,right,55,16,right,blue,854,0
96,722044,0,0,3280,blue,true,right,12,89,left,orange,1343,0
97,725937,0,0,3280,blue,false,left,49,4,left,blue,1103,0
98,729597,0,0,3280,blue,false,left,69,12,left,blue,607,0
99,732756,1,26,3254,blue,true,right,49,26,right,blue,841,0
