Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,115169.35000004014,0,0,5000,blue,true,left,44,37,right,orange,1867,0
2,119563.24000004679,0,0,5000,blue,true,right,66,12,left,orange,830,0
3,122919.24000001745,1,9,4991,blue,true,left,98,9,left,blue,1630,0
4,127079.20500001637,0,0,4991,blue,false,right,20,91,right,blue,2370,0
5,131971.04999999283,1,8,4983,blue,true,left,28,8,left,blue,950,0
6,135456.92500000587,1,33,4950,blue,true,left,30,33,left,blue,647,0
7,138634.99500002945,0,0,4950,blue,true,right,27,24,left,orange,623,0
8,141781.3600000227,1,58,4892,blue,false,right,58,43,left,orange,815,0
9,145132.7600000077,1,47,4845,blue,true,left,72,47,left,blue,1345,0
10,149012.44000002043,0,0,4845,blue,false,right,44,44,right,blue,674,0
11,152214.56500003114,1,26,4819,blue,true,right,69,26,right,blue,593,0
12,155343.45000004396,0,0,4819,blue,true,left,6,41,right,orange,2274,0
13,160140.94499999192,0,0,4819,blue,true,right,88,34,left,orange,733,0
14,163400.4249999998,1,73,4746,blue,false,right,73,18,left,orange,1682,0
15,167611.5750000463,1,25,4721,blue,true,right,60,25,right,blue,1732,0
16,171874.7100000037,0,0,4721,blue,true,left,68,6,right,orange,1510,0
17,175907.2950000409,1,48,4673,blue,false,right,48,39,left,orange,1424,0
18,179858.36499999277,0,0,4673,blue,true,left,35,76,right,orange,981,0
19,183362.3550000484,0,0,4673,blue,true,left,23,85,right,orange,1781,0
20,193190.31500001438,1,22,4651,blue,true,left,54,22,left,blue,329,1
21,196050.30500004068,1,66,4585,blue,false,left,66,58,right,orange,1729,0
22,200310.23000000278,0,0,4585,blue,true,right,98,41,left,orange,1127,0
23,203964.41499999491,0,0,4585,blue,true,right,58,80,left,orange,1482,0
24,207974.73499999614,0,0,4585,blue,true,right,32,85,left,orange,1358,0
25,211853.94000000088,0,0,4585,blue,false,right,83,15,right,blue,972,0
26,215353.94000000088,0,0,4585,blue,true,right,18,16,left,orange,1467,0
27,219346.57500003232,0,0,4585,blue,true,left,56,99,right,orange,1534,0
28,223405.82500002347,0,0,4585,blue,true,right,23,75,left,orange,1795,0
29,227728.94000000088,0,0,4585,blue,true,right,68,18,left,orange,3217,0
30,233471.47500002757,0,0,4585,blue,true,left,30,16,right,orange,2105,0
31,238100.63000000082,1,37,4548,blue,true,right,86,37,right,blue,1566,0
32,242196.47000002442,0,0,4548,blue,true,left,47,44,right,orange,807,0
33,245528.3449999988,0,0,4548,blue,true,right,3,91,left,orange,1247,0
34,249298.7800000119,1,60,4488,blue,false,right,60,14,left,orange,1570,0
35,253394.56500002416,0,0,4488,blue,true,left,54,84,right,orange,584,0
36,256501.6000000178,0,0,4488,blue,true,right,34,23,left,orange,1019,0
37,260044.35000004014,1,28,4460,blue,true,right,96,28,right,blue,3520,0
38,266099.22999999253,1,83,4377,blue,false,right,83,94,left,orange,996,0
39,269632.7150000143,0,0,4377,blue,true,left,63,86,right,orange,828,0
40,272984.37000002014,0,0,4377,blue,true,left,99,53,right,orange,1039,0
41,276542.36500000115,0,0,4377,blue,true,right,29,91,left,orange,1049,0
42,280112.84000001615,0,0,4377,blue,true,left,88,64,right,orange,846,0
43,283484.3100000289,0,0,4377,blue,true,left,84,70,right,orange,1185,0
44,287192.2650000197,1,61,4316,blue,false,right,61,88,left,orange,1165,0
45,290885.9250000096,0,0,4316,blue,true,left,61,43,right,orange,749,0
46,294157.5400000438,0,0,4316,blue,true,right,87,54,left,orange,2631,0
47,299318.11500003096,1,5,4311,blue,false,left,5,90,right,orange,995,0
48,306851.6650000238,0,0,4311,blue,true,right,71,44,left,orange,1367,0
49,310747.00999999186,0,0,4311,blue,true,left,42,52,right,orange,939,0
50,314210.0400000345,0,0,4311,blue,true,right,39,93,left,orange,688,0
51,317422.68000001786,0,0,4311,blue,true,right,39,24,left,orange,899,0
52,320846.15500003565,1,20,4291,blue,false,left,20,10,right,orange,1696,0
53,325069.07000002684,1,85,4206,blue,false,left,85,43,right,orange,443,0
54,328047.8299999959,0,0,4206,blue,false,left,77,7,left,blue,501,0
55,331076.59500004956,1,90,4116,blue,true,left,95,90,left,blue,834,0
56,334443.5100000119,1,7,4109,blue,true,left,56,7,left,blue,743,0
57,337716.5200000163,0,0,4109,blue,true,left,50,69,right,orange,639,0
58,340881.98000000557,0,0,4109,blue,true,right,4,83,left,orange,591,0
59,343998.9100000239,1,40,4069,blue,false,left,40,8,right,orange,917,0
60,347445.9800000186,0,0,4069,blue,true,right,47,86,left,orange,1897,0
61,351869.3499999936,0,0,4069,blue,true,right,15,49,left,orange,959,0
62,355354.1200000327,0,0,4069,blue,true,right,17,39,left,orange,1496,0
63,359378.0900000129,1,76,3993,blue,false,left,76,97,right,orange,1356,0
64,363264.80000000447,1,14,3979,blue,true,right,73,14,right,blue,1890,0
65,367685.9600000316,1,29,3950,blue,true,right,67,29,right,blue,1443,0
66,371660.16000002855,0,0,3950,blue,true,left,48,39,right,orange,538,0
67,374722.73999999743,0,0,3950,blue,true,right,30,99,left,orange,499,0
68,377743.2100000442,1,13,3937,blue,false,left,13,20,right,orange,773,0
69,381041.9550000224,0,0,3937,blue,true,right,66,59,left,orange,481,0
70,384051.42999999225,0,0,3937,blue,true,right,20,60,left,orange,606,0
71,387179.7850000439,0,0,3937,blue,true,left,41,25,right,orange,648,0
72,390354.7400000389,1,76,3861,blue,false,right,76,70,left,orange,610,0
73,393489.19500003103,1,73,3788,blue,false,left,73,18,right,orange,1492,0
74,397511.4750000066,0,0,3788,blue,false,left,41,80,left,blue,568,0
75,400607.15500003425,1,76,3712,blue,true,left,25,76,left,blue,2120,0
76,405253.62000003224,1,34,3678,blue,false,left,34,52,right,orange,1262,0
77,409049.1200000397,1,30,3648,blue,false,right,30,60,left,orange,1514,0
78,413090.354999993,0,0,3648,blue,false,right,91,36,right,blue,569,0
79,416187.2549999971,0,0,3648,blue,false,right,70,59,right,blue,571,0
80,419279.68999999575,1,47,3601,blue,true,left,64,47,left,blue,655,0
81,422467.68000000156,0,0,3601,blue,false,left,28,44,left,blue,1701,0
82,426694.0600000089,1,2,3599,blue,false,left,2,80,right,orange,1836,0
83,431060.91000000015,0,0,3599,blue,false,left,20,39,left,blue,1316,0
84,434899.37500003725,0,0,3599,blue,false,right,32,61,right,blue,1147,0
85,438572.8050000034,0,0,3599,blue,false,left,90,61,left,blue,1319,0
86,442414.52500002924,1,70,3529,blue,true,left,62,70,left,blue,1312,0
87,446256.11000001663,1,17,3512,blue,false,left,17,33,right,orange,1037,0
88,449821.72500004526,0,0,3512,blue,false,left,74,17,left,blue,1541,0
89,453888.4100000141,0,0,3512,blue,false,left,2,85,left,blue,1904,0
90,458315.2000000118,0,0,3512,blue,false,right,39,76,right,blue,743,0
91,461582.2000000044,0,0,3512,blue,false,left,70,20,left,blue,756,0
92,464860.8200000017,1,69,3443,blue,true,left,24,69,left,blue,1142,0
93,468537.7150000422,1,52,3391,blue,true,left,59,52,left,blue,771,0
94,475838.7400000356,0,0,3391,blue,false,left,15,43,left,blue,1405,0
95,479773.62500003073,1,34,3357,blue,true,left,50,34,left,blue,813,0
96,483117.0250000432,0,0,3357,blue,false,right,43,48,right,blue,579,0
97,486220.2300000354,1,35,3322,blue,true,right,14,35,right,blue,1183,0
98,489931.8800000474,0,0,3322,blue,true,left,12,42,right,orange,1415,0
99,493871.8700000318,1,44,3278,blue,true,right,40,44,right,blue,865,0
