Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,237405.74000001652,1,10,4990,blue,true,right,23,10,right,blue,1608,0
2,241563.7449999922,0,0,4990,blue,true,left,45,97,right,orange,1714,0
3,245822.81500002136,0,0,4990,blue,true,right,54,62,left,orange,1202,0
4,249567.09999998566,1,99,4891,blue,false,left,99,16,right,orange,2458,0
5,254572.64500000747,0,0,4891,blue,true,right,72,40,left,orange,2204,0
6,259313.41000000248,1,88,4803,blue,true,left,98,88,left,blue,1003,0
7,262855.2899999777,0,0,4803,blue,true,right,6,54,left,orange,1462,0
8,266853.9800000144,1,55,4748,blue,true,left,64,55,left,blue,1839,0
9,271244.6699999855,1,96,4652,blue,false,left,96,45,right,orange,1331,0
10,275120.5600000103,0,0,4652,blue,true,right,28,19,left,orange,2232,0
11,279889.95500002056,0,0,4652,blue,true,left,95,26,right,orange,640,0
12,283070.50000003073,1,29,4623,blue,true,right,90,29,right,blue,1704,0
13,287319.19000000926,0,0,4623,blue,true,right,20,53,left,orange,2848,0
14,292695.60500001535,0,0,4623,blue,true,left,74,56,right,orange,685,0
15,295920.24000000674,0,0,4623,blue,true,left,18,42,right,orange,895,0
16,299351.0349999997,1,91,4532,blue,true,left,11,91,left,blue,1441,0
17,303340.2950000018,1,32,4500,blue,false,left,32,31,right,orange,450,0
18,306325.6500000134,0,0,4500,blue,true,right,36,65,left,orange,1012,0
19,309869.73999999464,1,40,4460,blue,false,left,40,30,right,orange,743,0
20,313159.1550000012,0,0,4460,blue,true,left,29,26,right,orange,1010,0
21,316700.78499999363,1,32,4428,blue,false,right,32,36,left,orange,821,0
22,320069.4450000301,0,0,4428,blue,true,right,72,81,left,orange,846,0
23,323443.9949999796,1,95,4333,blue,false,left,95,54,right,orange,1057,0
24,327049.58500002977,0,0,4333,blue,false,left,40,59,left,blue,548,0
25,330136.679999996,1,29,4304,blue,false,left,29,24,right,orange,1168,0
26,333851.82500001974,1,60,4244,blue,false,left,60,51,right,orange,954,0
27,337350.29999999097,0,0,4244,blue,false,right,83,65,right,blue,649,0
28,340527.06499997294,1,98,4146,blue,true,left,78,98,left,blue,685,0
29,343746.53499998385,1,56,4090,blue,false,right,56,51,left,orange,1168,0
30,347451.01499999873,0,0,4090,blue,false,left,5,20,left,blue,1512,0
31,351501.8549999804,1,67,4023,blue,false,left,67,2,right,orange,1393,0
32,355450.26000001235,0,0,4023,blue,false,left,85,84,left,blue,1574,0
33,359556.0750000295,1,49,3974,blue,true,left,7,49,left,blue,1219,0
34,363332.2250000201,1,37,3937,blue,false,right,37,47,left,orange,1375,0
35,367254.1649999912,0,0,3937,blue,false,left,27,91,left,blue,1110,0
36,370899.55999999074,1,44,3893,blue,false,left,44,42,right,orange,610,0
37,374065.66999998176,1,55,3838,blue,true,right,31,55,right,blue,1007,0
38,377615.2400000137,1,97,3741,blue,false,left,97,70,right,orange,1084,0
39,381243.9449999947,0,0,3741,blue,false,right,14,9,right,blue,786,0
40,384565.79500000225,1,51,3690,blue,true,left,23,51,left,blue,1603,0
41,388716.98999998625,0,0,3690,blue,true,right,89,79,left,orange,819,0
42,392078.6649999791,0,0,3690,blue,true,left,83,86,right,orange,428,0
43,395039.2349999747,0,0,3690,blue,true,right,40,62,left,orange,633,0
44,398204.41000000574,0,0,3690,blue,true,left,36,23,right,orange,1051,0
45,401787.54500002833,0,0,3690,blue,true,left,65,61,right,orange,965,0
46,405286.7950000218,0,0,3690,blue,true,left,74,67,right,orange,348,0
47,408180.5900000036,0,0,3690,blue,true,left,73,41,right,orange,479,0
48,415199.895000027,1,96,3594,blue,false,right,96,54,left,orange,2576,0
49,420325.60999999987,0,0,3594,blue,true,right,86,88,left,orange,615,0
50,423481.1300000292,0,0,3594,blue,true,right,43,66,left,orange,873,0
51,426879.2600000161,1,79,3515,blue,true,left,72,79,left,blue,1907,0
52,431324.87499999115,1,71,3444,blue,false,right,71,13,left,orange,628,0
53,434495.2799999737,0,0,3444,blue,true,left,78,53,right,orange,423,0
54,437451.2799999793,0,0,3444,blue,true,right,57,90,left,orange,915,0
55,440904.5749999932,1,3,3441,blue,false,left,3,12,right,orange,619,0
56,444064.29000000935,1,64,3377,blue,true,right,2,64,right,blue,844,0
57,447447.0549999969,1,9,3368,blue,true,left,99,9,left,blue,391,0
58,450379.40500001423,0,0,3368,blue,true,left,21,42,right,orange,397,0
59,453312.6100000227,0,0,3368,blue,true,left,83,72,right,orange,482,0
60,456330.97499998985,0,0,3368,blue,true,right,37,11,left,orange,879,0
61,459749.74499997916,1,67,3301,blue,false,right,67,81,left,orange,1023,0
62,463311.52500002645,0,0,3301,blue,true,right,12,14,left,orange,307,0
63,466143.6700000195,1,78,3223,blue,false,right,78,90,left,orange,276,0
64,468967.82000001986,1,46,3177,blue,false,left,46,53,right,orange,391,0
65,471899.1950000054,0,0,3177,blue,false,right,30,42,right,blue,686,0
66,475127.2899999749,0,0,3177,blue,false,right,36,65,right,blue,1547,0
67,479211.3399999798,0,0,3177,blue,false,left,49,49,left,blue,3372,0
68,485117.20500001684,0,0,3177,blue,false,right,44,10,right,blue,735,0
69,488395.35000000615,1,70,3107,blue,false,right,70,64,left,orange,1193,0
70,492142.509999976,0,0,3107,blue,false,right,68,95,right,blue,1110,0
71,495792.61000000406,0,0,3107,blue,false,right,38,46,right,blue,1374,0
72,499699.6200000285,0,0,3107,blue,false,right,18,24,right,blue,2206,0
73,504448.3050000272,0,0,3107,blue,false,left,82,78,left,blue,1232,0
74,508214.38000001945,1,59,3048,blue,false,right,59,54,left,orange,1009,0
75,511756.6499999957,1,36,3012,blue,false,left,36,33,right,orange,502,0
76,514792.7849999978,1,56,2956,blue,true,left,49,56,left,blue,637,0
77,517965.77499998966,1,26,2930,blue,false,left,26,83,right,orange,304,0
78,520817.85500003025,0,0,2930,blue,false,right,38,81,right,blue,790,0
79,524141.6050000116,0,0,2930,blue,false,right,12,3,right,blue,1120,0
80,527796.0650000023,0,0,2930,blue,false,left,62,38,left,blue,1006,0
81,531330.6200000225,0,0,2930,blue,false,left,43,50,left,blue,1471,0
82,535340.3449999751,0,0,2930,blue,false,left,50,47,left,blue,716,0
83,538587.92000002,1,35,2895,blue,true,left,41,35,left,blue,910,0
84,542048.695000005,0,0,2895,blue,false,right,9,62,right,blue,483,0
85,545075.6350000156,0,0,2895,blue,false,right,60,58,right,blue,558,0
86,548173.8849999965,0,0,2895,blue,false,left,88,31,left,blue,716,0
87,551428.7699999986,1,56,2839,blue,false,right,56,44,left,orange,750,0
88,554717.3049999983,0,0,2839,blue,true,left,31,15,right,orange,358,0
89,557607.5050000218,1,90,2749,blue,false,left,90,31,right,orange,395,0
90,560536.0750000109,0,0,2749,blue,false,left,80,76,left,blue,428,0
