Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,647716.9400001876,0,0,5000,blue,true,left,44,37,right,orange,2234,0
2,652496.4250000194,1,12,4988,blue,true,right,66,12,right,blue,862,0
3,655931.6850001924,0,0,4988,blue,true,right,98,9,left,orange,508,0
4,658996.5750002302,1,20,4968,blue,false,left,20,91,right,orange,874,0
5,662467.9200001992,1,8,4960,blue,true,left,28,8,left,blue,940,0
6,665968.6850002035,0,0,4960,blue,true,right,30,33,left,orange,775,0
7,669294.3549999036,0,0,4960,blue,true,left,27,24,right,orange,982,0
8,672820.5949999392,1,58,4902,blue,false,right,58,43,left,orange,1580,0
9,676960.9349998645,1,47,4855,blue,true,left,72,47,left,blue,972,0
10,680495.6849999726,1,44,4811,blue,false,left,44,44,right,orange,2429,0
11,685520.8250000142,1,26,4785,blue,true,right,69,26,right,blue,1112,0
12,689200.4499998875,0,0,4785,blue,true,right,6,41,left,orange,920,0
13,692682.3550001718,1,34,4751,blue,true,right,88,34,right,blue,1118,0
14,696369.0300001763,1,73,4678,blue,false,left,73,18,right,orange,745,0
15,699717.9149999283,1,25,4653,blue,true,right,60,25,right,blue,1349,0
16,703637.8399999812,1,6,4647,blue,true,left,68,6,left,blue,854,0
17,707060.4650001042,1,48,4599,blue,false,right,48,39,left,orange,651,0
18,710273.9900001325,0,0,4599,blue,true,left,35,76,right,orange,640,0
19,713455.630000215,0,0,4599,blue,true,right,23,85,left,orange,831,0
20,716831.1499999836,0,0,4599,blue,true,left,54,22,right,orange,1131,0
21,720504.7499998473,0,0,4599,blue,false,left,66,58,left,blue,1636,0
22,724685.9450000338,0,0,4599,blue,true,left,98,41,right,orange,890,0
23,728121.9299999066,0,0,4599,blue,true,left,58,80,right,orange,894,0
24,731559.1150000691,1,85,4514,blue,true,right,32,85,right,blue,825,0
25,734955.1550000906,0,0,4514,blue,false,left,83,15,left,blue,1041,0
26,738569.1249999218,0,0,4514,blue,true,right,18,16,left,orange,2136,0
27,743263.0500001833,0,0,4514,blue,true,left,56,99,right,orange,2613,0
28,748428.7000000477,0,0,4514,blue,true,left,23,75,right,orange,2665,0
29,753648.4750001691,1,18,4496,blue,true,left,68,18,left,blue,1065,0
30,757275.2200001851,0,0,4496,blue,true,left,30,16,right,orange,1433,0
31,761263.224999886,1,37,4459,blue,true,left,86,37,left,blue,1161,0
32,764990.7800001092,0,0,4459,blue,true,left,47,44,right,orange,996,0
33,768534.8700000905,0,0,4459,blue,true,right,3,91,left,orange,1221,0
34,772305.1450001076,0,0,4459,blue,false,right,60,14,right,blue,1085,0
35,775939.9299998768,1,84,4375,blue,true,left,54,84,left,blue,1065,0
36,779566.2350002676,0,0,4375,blue,true,left,34,23,right,orange,1033,0
37,783148.00499985,1,28,4347,blue,true,right,96,28,right,blue,960,0
38,786679.5500000007,0,0,4347,blue,false,left,83,94,left,blue,1807,0
39,791040.4949998483,0,0,4347,blue,true,right,63,86,left,orange,1238,0
40,794834.8600002937,0,0,4347,blue,true,right,99,53,left,orange,706,0
41,798086.8000001647,1,91,4256,blue,true,left,29,91,left,blue,1113,0
42,801769.125000108,1,64,4192,blue,true,left,88,64,left,blue,2629,0
43,806988.0599998869,0,0,4192,blue,true,right,84,70,left,orange,825,0
44,810366.5450001135,1,61,4131,blue,false,right,61,88,left,orange,2155,0
45,815076.1250001378,1,43,4088,blue,true,right,61,43,right,blue,1339,0
46,818978.0150000006,0,0,4088,blue,true,right,87,54,left,orange,577,0
47,822111.525000073,1,5,4083,blue,false,right,5,90,left,orange,1492,0
48,835781.6300000995,0,0,4083,blue,true,left,71,44,right,orange,2046,1
49,840387.5199998729,0,0,4083,blue,true,left,42,52,right,orange,1520,0
50,844458.4650001489,0,0,4083,blue,true,left,39,93,right,orange,1066,0
51,848086.0749999993,1,24,4059,blue,true,left,39,24,left,blue,664,0
52,851339.7949999198,1,20,4039,blue,false,right,20,10,left,orange,1913,0
53,855814.7599999793,0,0,4039,blue,false,left,85,43,left,blue,2415,0
54,860785.905000288,0,0,4039,blue,false,left,77,7,left,blue,910,0
55,864241.0249998793,1,90,3949,blue,true,right,95,90,right,blue,1344,0
56,868155.6799998507,1,7,3942,blue,true,right,56,7,right,blue,854,0
57,871568.8100000843,0,0,3942,blue,true,right,50,69,left,orange,947,0
58,875060.8649998903,0,0,3942,blue,true,right,4,83,left,orange,816,0
59,878435.7799999416,0,0,3942,blue,false,left,40,8,left,blue,1894,0
60,882886.6550000384,0,0,3942,blue,true,left,47,86,right,orange,1075,0
61,886509.7949998453,0,0,3942,blue,true,left,15,49,right,orange,996,0
62,890063.8200002722,0,0,3942,blue,true,left,17,39,right,orange,840,0
63,893458.3649998531,1,76,3866,blue,false,right,76,97,left,orange,929,0
