Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,240999.7850000509,1,37,4963,blue,true,right,44,37,right,blue,1799,0
2,245323.62000003923,1,12,4951,blue,true,right,66,12,right,blue,862,0
3,248713.83000002243,1,9,4942,blue,true,left,98,9,left,blue,1516,0
4,252757.45999999344,1,20,4922,blue,false,right,20,91,left,orange,1105,0
5,256385.36000001477,1,8,4914,blue,true,left,28,8,left,blue,2215,0
6,261123.2949999976,0,0,4914,blue,true,left,30,33,right,orange,1193,0
7,264837.01499999734,0,0,4914,blue,true,left,27,24,right,orange,933,0
8,268292.9900000454,1,58,4856,blue,false,right,58,43,left,orange,1182,0
9,272001.93000002764,0,0,4856,blue,true,right,72,47,left,orange,1708,0
10,276233.0550000188,1,44,4812,blue,false,left,44,44,right,orange,890,0
11,279648.6950000399,1,26,4786,blue,true,left,69,26,left,blue,2065,0
12,284236.12000001594,0,0,4786,blue,true,right,6,41,left,orange,759,0
13,287516.09500002814,0,0,4786,blue,true,right,88,34,left,orange,1071,0
14,291105.8000000194,1,73,4713,blue,false,right,73,18,left,orange,2014,0
15,295647.64000003925,1,25,4688,blue,true,right,60,25,right,blue,1389,0
16,299561.41500000376,1,6,4682,blue,true,right,68,6,right,blue,1383,0
17,303466.89999999944,1,48,4634,blue,false,right,48,39,left,orange,1351,0
18,307342.2150000115,0,0,4634,blue,true,left,35,76,right,orange,1027,0
19,310888.655000017,0,0,4634,blue,true,right,23,85,left,orange,726,0
20,314136.4950000425,0,0,4634,blue,true,left,54,22,right,orange,1939,0
21,318596.2700000382,1,66,4568,blue,false,right,66,58,left,orange,1113,0
22,322231.88000003574,1,41,4527,blue,true,left,98,41,left,blue,3336,0
23,328085.0550000323,0,0,4527,blue,true,left,58,80,right,orange,1274,0
24,331875.37500000326,0,0,4527,blue,true,right,32,85,left,orange,699,0
25,335093.2599999942,0,0,4527,blue,false,right,83,15,right,blue,1278,0
26,338892.450000043,0,0,4527,blue,true,left,18,16,right,orange,1210,0
27,342617.61499999557,0,0,4527,blue,true,right,56,99,left,orange,1166,0
28,346303.9100000169,0,0,4527,blue,true,left,23,75,right,orange,680,0
29,349504.0750000044,1,18,4509,blue,true,left,68,18,left,blue,1385,0
30,353411.6900000372,0,0,4509,blue,true,right,30,16,left,orange,873,0
31,356802.2050000145,0,0,4509,blue,true,left,86,37,right,orange,1929,0
32,361249.76500001503,0,0,4509,blue,true,left,47,44,right,orange,1055,0
33,364824.5450000395,0,0,4509,blue,true,right,3,91,left,orange,917,0
34,368267.29000004707,0,0,4509,blue,false,right,60,14,right,blue,2920,0
35,373707.06500002416,0,0,4509,blue,true,right,54,84,left,orange,1118,0
36,377349.67500000494,0,0,4509,blue,true,right,34,23,left,orange,853,0
37,380724.9250000459,1,28,4481,blue,true,left,96,28,left,blue,2181,0
38,385435.5199999991,1,83,4398,blue,false,left,83,94,right,orange,1738,0
39,389698.71000002604,0,0,4398,blue,true,left,63,86,right,orange,825,0
40,393045.0750000309,0,0,4398,blue,true,right,99,53,left,orange,1862,0
41,397425.6250000326,0,0,4398,blue,true,left,29,91,right,orange,1529,0
42,401469.81500001857,0,0,4398,blue,true,left,88,64,right,orange,1658,0
43,405646.3100000401,0,0,4398,blue,true,right,84,70,left,orange,1146,0
44,409313.76500002807,1,61,4337,blue,false,left,61,88,right,orange,1133,0
45,412969.4550000131,0,0,4337,blue,true,right,61,43,left,orange,1156,0
46,416651.5300000319,0,0,4337,blue,true,left,87,54,right,orange,1565,0
47,420741.2450000411,1,5,4332,blue,false,right,5,90,left,orange,2394,0
48,440696.54500001343,0,0,4332,blue,true,left,71,44,right,orange,1399,2
49,444618.81499999436,0,0,4332,blue,true,left,42,52,right,orange,1043,0
50,448184.37500001164,0,0,4332,blue,true,left,39,93,right,orange,1301,0
51,452005.47500001267,0,0,4332,blue,true,left,39,24,right,orange,1468,0
52,455993.1650000508,1,20,4312,blue,false,left,20,10,right,orange,922,0
53,459441.7400000384,1,85,4227,blue,false,right,85,43,left,orange,1579,0
54,463545.39500002284,0,0,4227,blue,false,left,77,7,left,blue,1851,0
55,467914.92000001017,0,0,4227,blue,true,right,95,90,left,orange,2592,0
56,473025.3400000511,1,7,4220,blue,true,left,56,7,left,blue,1141,0
57,476690.41000003926,0,0,4220,blue,true,left,50,69,right,orange,998,0
58,480207.6450000168,0,0,4220,blue,true,right,4,83,left,orange,671,0
59,483399.88000004087,1,40,4180,blue,false,left,40,8,right,orange,911,0
60,486836.2550000311,0,0,4180,blue,true,left,47,86,right,orange,1214,0
61,490567.5700000138,0,0,4180,blue,true,left,15,49,right,orange,828,0
62,493916.57000000123,0,0,4180,blue,true,left,17,39,right,orange,806,0
63,497245.1149999979,1,76,4104,blue,false,left,76,97,right,orange,1553,0
64,501325.9750000434,1,14,4090,blue,true,right,73,14,right,blue,1194,0
65,505043.1100000278,0,0,4090,blue,true,left,67,29,right,orange,1802,0
66,509363.5099999956,0,0,4090,blue,true,left,48,39,right,orange,1120,0
67,513007.3300000513,0,0,4090,blue,true,left,30,99,right,orange,917,0
68,516448.1200000155,1,13,4077,blue,false,right,13,20,left,orange,726,0
69,519698.6200000392,0,0,4077,blue,true,left,66,59,right,orange,933,0
70,523150.34500003094,0,0,4077,blue,true,left,20,60,right,orange,929,0
71,526598.5450000153,0,0,4077,blue,true,right,41,25,left,orange,829,0
72,529947.9649999994,1,76,4001,blue,false,right,76,70,left,orange,1225,0
73,533695.0200000429,1,73,3928,blue,false,right,73,18,left,orange,710,0
74,536930.1400000113,1,41,3887,blue,false,left,41,80,right,orange,1263,0
75,540718.4899999993,0,0,3887,blue,true,left,25,76,right,orange,1003,0
