Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,319887.5250000019,1,10,4990,blue,true,right,23,10,right,blue,2351,0
2,324799.9950000012,1,97,4893,blue,true,left,45,97,left,blue,830,0
3,328177.459999999,0,0,4893,blue,true,left,54,62,right,orange,559,0
4,331281.4900000012,1,99,4794,blue,false,right,99,16,left,orange,805,0
5,334657.6999999997,0,0,4794,blue,true,left,72,40,right,orange,2166,0
6,339377.76500000106,1,88,4706,blue,true,right,98,88,right,blue,1048,0
7,342971.085000001,0,0,4706,blue,true,right,6,54,left,orange,1589,0
8,347097.08999999927,0,0,4706,blue,true,left,64,55,right,orange,1571,0
9,351214.80000000156,0,0,4706,blue,false,left,96,45,left,blue,1608,0
10,355374.77500000026,1,19,4687,blue,true,left,28,19,left,blue,1780,0
11,359725.51999999996,0,0,4687,blue,true,right,95,26,left,orange,1051,0
12,363329.94500000135,0,0,4687,blue,true,right,90,29,left,orange,1308,0
13,367174.82999999996,1,53,4634,blue,true,right,20,53,right,blue,1406,0
14,371138.75000000186,0,0,4634,blue,true,right,74,56,left,orange,1195,0
15,374891.4850000001,0,0,4634,blue,true,right,18,42,left,orange,597,0
16,378025.2849999997,0,0,4634,blue,true,right,11,91,left,orange,643,0
17,381218.07999999874,1,32,4602,blue,false,right,32,31,left,orange,539,0
18,384314.39500000124,1,65,4537,blue,true,right,36,65,right,blue,593,0
19,387466.1750000014,1,40,4497,blue,false,left,40,30,right,orange,1248,0
20,391272.4049999997,0,0,4497,blue,true,right,29,26,left,orange,1653,0
21,395453.29499999934,1,32,4465,blue,false,left,32,36,right,orange,932,0
22,398926.7450000007,1,81,4384,blue,true,left,72,81,left,blue,511,0
23,401985.0299999998,0,0,4384,blue,false,right,95,54,right,blue,1206,0
24,405751.5000000021,1,40,4344,blue,false,right,40,59,left,orange,1051,0
25,409364.5800000013,1,29,4315,blue,false,right,29,24,left,orange,1756,0
26,413684.3399999998,1,60,4255,blue,false,left,60,51,right,orange,638,0
27,416884.6049999993,0,0,4255,blue,false,right,83,65,right,blue,1558,0
