Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,481067.73500004783,1,37,4963,blue,true,right,44,37,right,blue,2238,0
2,485865.7349999994,1,12,4951,blue,true,right,66,12,right,blue,951,0
3,489359.85499992967,1,9,4942,blue,true,left,98,9,left,blue,1180,0
4,493092.53000002354,1,20,4922,blue,false,left,20,91,right,orange,1549,0
5,497182.50000011176,1,8,4914,blue,true,right,28,8,right,blue,2571,0
6,502297.4999998696,1,33,4881,blue,true,right,30,33,right,blue,2141,0
7,506980.2999999374,0,0,4881,blue,true,left,27,24,right,orange,1967,0
8,511476.55000025406,1,58,4823,blue,false,left,58,43,right,orange,2756,0
9,516775.6099998951,0,0,4823,blue,true,right,72,47,left,orange,1716,0
10,526543.835000135,1,44,4779,blue,false,left,44,44,right,orange,828,1
11,529923.8450000994,1,26,4753,blue,true,left,69,26,left,blue,1015,0
12,533490.0150001049,0,0,4753,blue,true,right,6,41,left,orange,578,0
13,536607.3449999094,0,0,4753,blue,true,left,88,34,right,orange,719,0
14,539872.0450000837,0,0,4753,blue,false,left,73,18,left,blue,1499,0
15,543912.7600002103,1,25,4728,blue,true,left,60,25,left,blue,1259,0
16,547712.0500002056,1,6,4722,blue,true,right,68,6,right,blue,723,0
17,550983.8600000367,0,0,4722,blue,false,right,48,39,right,blue,1543,0
18,555064.8099998944,1,76,4646,blue,true,right,35,76,right,blue,2290,0
19,559907.2050000541,0,0,4646,blue,true,right,23,85,left,orange,1594,0
20,564041.8350002728,1,22,4624,blue,true,right,54,22,right,blue,785,0
21,567379.2050001211,1,66,4558,blue,false,left,66,58,right,orange,549,0
22,570475.240000058,1,41,4517,blue,true,right,98,41,right,blue,1457,0
23,574475.8600001223,1,80,4437,blue,true,left,58,80,left,blue,661,0
24,577684.5800001174,0,0,4437,blue,true,right,32,85,left,orange,1348,0
25,581562.305000145,0,0,4437,blue,false,right,83,15,right,blue,2549,0
26,592178.0799999833,1,16,4421,blue,true,left,18,16,left,blue,528,1
27,595258.0300001428,0,0,4421,blue,true,right,56,99,left,orange,868,0
28,598658.9999999851,0,0,4421,blue,true,left,23,75,right,orange,3331,0
29,604526.7900000326,0,0,4421,blue,true,right,68,18,left,orange,1114,0
30,608172.3150000907,1,16,4405,blue,true,right,30,16,right,blue,545,0
31,611260.8900000341,0,0,4405,blue,true,right,86,37,left,orange,646,0
32,614437.5350000337,0,0,4405,blue,true,left,47,44,right,orange,1031,0
33,618013.9899998903,0,0,4405,blue,true,left,3,91,right,orange,3916,0
34,629992.76500009,1,60,4345,blue,false,left,60,14,right,orange,298,1
35,632830.6249999441,1,84,4261,blue,true,right,54,84,right,blue,3101,0
36,638474.0900001489,1,23,4238,blue,true,left,34,23,left,blue,580,0
37,641604.3100003153,1,28,4210,blue,true,left,96,28,left,blue,857,0
38,645005.5849999189,1,83,4127,blue,false,right,83,94,left,orange,460,0
39,648010.1100001484,0,0,4127,blue,true,left,63,86,right,orange,1018,0
40,651563.8350001536,0,0,4127,blue,true,right,99,53,left,orange,953,0
41,655079.7350001521,0,0,4127,blue,true,right,29,91,left,orange,1319,0
42,658935.6300001964,0,0,4127,blue,true,left,88,64,right,orange,1841,0
43,663315.4950002208,1,70,4057,blue,true,right,84,70,right,blue,1484,0
44,667349.5800001547,1,61,3996,blue,false,left,61,88,right,orange,612,0
45,670511.9350003079,1,43,3953,blue,true,right,61,43,right,blue,1181,0
46,674241.115000099,1,54,3899,blue,true,right,87,54,right,blue,918,0
47,677702.0999998786,1,5,3894,blue,false,left,5,90,right,orange,892,0
48,685160.300000105,1,44,3850,blue,true,left,71,44,left,blue,1414,0
49,689116.4000001736,0,0,3850,blue,true,left,42,52,right,orange,985,0
50,692640.1499998756,0,0,3850,blue,true,left,39,93,right,orange,566,0
51,695738.625000231,0,0,3850,blue,true,right,39,24,left,orange,837,0
52,699114.4699999131,0,0,3850,blue,false,left,20,10,left,blue,951,0
53,702599.0300001577,1,85,3765,blue,false,right,85,43,left,orange,1784,0
54,706930.1300002262,0,0,3765,blue,false,right,77,7,right,blue,986,0
55,710452.3849999532,1,90,3675,blue,true,right,95,90,right,blue,1298,0
56,714295.8400002681,1,7,3668,blue,true,right,56,7,right,blue,1244,0
