Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,279317.3420012306,0,0,5000,blue,true,right,44,37,left,orange,1720,0
2,283643.94227070955,1,12,4988,blue,true,left,66,12,left,blue,1853,0
3,288082.04201897105,0,0,4988,blue,true,right,98,9,left,orange,3765,0
4,294400.8423538404,1,20,4968,blue,false,left,20,91,right,orange,3338,0
5,300299.9421846952,1,8,4960,blue,true,right,28,8,right,blue,1783,0
6,304654.3421835223,0,0,4960,blue,true,left,30,33,right,orange,1759,0
7,308983.64212961675,0,0,4960,blue,true,right,27,24,left,orange,1191,0
8,312737.7423490021,1,58,4902,blue,false,right,58,43,left,orange,1207,0
9,316524.6423685997,0,0,4902,blue,true,right,72,47,left,orange,1234,0
10,320343.0421993079,1,44,4858,blue,false,right,44,44,left,orange,1580,0
11,324512.14243579836,0,0,4858,blue,true,left,69,26,right,orange,2123,0
12,329206.14210640266,1,41,4817,blue,true,right,6,41,right,blue,1966,0
13,333760.14223640156,0,0,4817,blue,true,left,88,34,right,orange,1733,0
14,338053.14218606363,1,73,4744,blue,false,right,73,18,left,orange,2614,0
15,343222.84207918105,0,0,4744,blue,true,left,60,25,right,orange,1971,0
16,347735.2420692112,0,0,4744,blue,true,left,68,6,right,orange,1531,0
17,351842.34211119206,1,48,4696,blue,false,left,48,39,right,orange,1911,0
18,356390.54213943996,0,0,4696,blue,true,right,35,76,left,orange,1614,0
19,360577.6423378105,0,0,4696,blue,true,right,23,85,left,orange,1006,0
20,364158.84205181285,1,22,4674,blue,true,left,54,22,left,blue,1392,0
21,368115.3422661156,1,66,4608,blue,false,left,66,58,right,orange,1787,0
22,372491.9422667998,0,0,4608,blue,true,left,98,41,right,orange,1030,0
23,376097.64237690786,1,80,4528,blue,true,right,58,80,right,blue,2014,0
24,380692.2422417286,0,0,4528,blue,true,left,32,85,right,orange,2230,0
25,385489.3422885966,1,83,4445,blue,false,left,83,15,right,orange,983,0
26,389077.54239503934,0,0,4445,blue,true,left,18,16,right,orange,742,0
27,392376.84240466705,0,0,4445,blue,true,left,56,99,right,orange,866,0
28,395802.3420329972,1,75,4370,blue,true,left,23,75,left,blue,1096,0
29,399479.14226132613,0,0,4370,blue,true,left,68,18,right,orange,1318,0
30,403363.3420667188,0,0,4370,blue,true,right,30,16,left,orange,1149,0
31,407098.8421788795,0,0,4370,blue,true,left,86,37,right,orange,1105,0
32,410759.0421328423,0,0,4370,blue,true,right,47,44,left,orange,1016,0
33,414351.14220658975,0,0,4370,blue,true,right,3,91,left,orange,1513,0
34,418428.44219764624,1,60,4310,blue,false,right,60,14,left,orange,1638,0
35,422655.14221440925,1,84,4226,blue,true,right,54,84,right,blue,1042,0
