Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,169501.20999998762,1,10,4990,blue,true,left,23,10,left,blue,1605,0
2,173620.70999998832,0,0,4990,blue,true,right,45,97,left,orange,1147,0
3,177287.58499998366,0,0,4990,blue,true,right,54,62,left,orange,1088,0
4,180911.91500000423,0,0,4990,blue,false,right,99,16,right,blue,1247,0
5,184680.3399999917,1,40,4950,blue,true,right,72,40,right,blue,709,0
6,187926.24499998055,0,0,4950,blue,true,right,98,88,left,orange,1219,0
7,191675.70500000147,0,0,4950,blue,true,left,6,54,right,orange,1212,0
8,195424.39000000013,0,0,4950,blue,true,right,64,55,left,orange,1245,0
9,199192.60499998927,1,96,4854,blue,false,left,96,45,right,orange,1422,0
10,203139.1350000049,1,19,4835,blue,true,left,28,19,left,blue,844,0
11,206518.14000000013,1,26,4809,blue,true,right,95,26,right,blue,826,0
12,209869.00499998592,1,29,4780,blue,true,right,90,29,right,blue,861,0
13,213251.91500000074,0,0,4780,blue,true,left,20,53,right,orange,1121,0
14,216897.50500000082,0,0,4780,blue,true,right,74,56,left,orange,928,0
15,220354.00500000105,0,0,4780,blue,true,right,18,42,left,orange,921,0
16,223803.24499998824,0,0,4780,blue,true,right,11,91,left,orange,749,0
17,227065.44499998563,1,32,4748,blue,false,left,32,31,right,orange,1516,0
18,231105.504999985,0,0,4748,blue,true,right,36,65,left,orange,1291,0
19,234925.50499999197,0,0,4748,blue,false,left,40,30,left,blue,118,0
20,237578.4949999943,0,0,4748,blue,true,right,29,26,left,orange,833,0
21,240941.9099999941,1,32,4716,blue,false,left,32,36,right,orange,1405,0
22,244870.80000000424,0,0,4716,blue,true,left,72,81,right,orange,816,0
23,248201.59499999136,0,0,4716,blue,false,left,95,54,left,blue,1196,0
24,251925.30999999144,1,40,4676,blue,false,left,40,59,right,orange,847,0
25,255297.43499998585,1,29,4647,blue,false,left,29,24,right,orange,1469,0
26,259288.54999999749,0,0,4647,blue,false,right,60,51,right,blue,918,0
27,262737.71499999566,0,0,4647,blue,false,left,83,65,left,blue,648,0
28,265913.0249999871,1,98,4549,blue,true,left,78,98,left,blue,933,0
29,269380.32500000554,0,0,4549,blue,false,right,56,51,right,blue,1267,0
30,273172.83500000485,0,0,4549,blue,false,right,5,20,right,blue,1466,0
31,277169.4949999801,0,0,4549,blue,false,right,67,2,right,blue,617,0
32,280313.7249999854,0,0,4549,blue,false,right,85,84,right,blue,1794,0
33,284635.970000003,1,49,4500,blue,true,left,7,49,left,blue,1109,0
34,288280.2699999884,0,0,4500,blue,false,right,37,47,right,blue,886,0
35,291690.47000000137,1,27,4473,blue,false,left,27,91,right,orange,1089,0
36,295305.12999999337,0,0,4473,blue,false,right,44,42,right,blue,897,0
37,298725.849999988,1,55,4418,blue,true,left,31,55,left,blue,909,0
38,302152.70999999484,0,0,4418,blue,false,left,97,70,left,blue,864,0
39,305528.6550000019,0,0,4418,blue,false,right,14,9,right,blue,596,0
40,308659.2349999992,1,51,4367,blue,true,left,23,51,left,blue,671,0
41,311859.90499999025,1,79,4288,blue,true,left,89,79,left,blue,441,0
42,314829.9499999848,0,0,4288,blue,true,right,83,86,left,orange,408,0
43,317773.9850000071,0,0,4288,blue,true,right,40,62,left,orange,535,0
44,320836.2349999952,0,0,4288,blue,true,right,36,23,left,orange,587,0
45,323941.56499998644,0,0,4288,blue,true,right,65,61,left,orange,844,0
46,327320.7149999798,0,0,4288,blue,true,right,74,67,left,orange,733,0
47,330587.04499999294,0,0,4288,blue,true,right,73,41,left,orange,546,0
48,337671.4299999876,1,96,4192,blue,false,left,96,54,right,orange,1098,0
49,341294.99500000384,0,0,4192,blue,true,left,86,88,right,orange,907,0
50,344725.6749999942,0,0,4192,blue,true,left,43,66,right,orange,790,0
51,348042.04000000027,0,0,4192,blue,true,right,72,79,left,orange,1140,0
52,351694.48000000557,0,0,4192,blue,false,left,71,13,left,blue,1001,0
53,355217.0399999886,1,53,4139,blue,true,right,78,53,right,blue,863,0
54,358601.62499998114,0,0,4139,blue,true,right,57,90,left,orange,683,0
55,361806.50000000605,1,3,4136,blue,false,left,3,12,right,orange,767,0
56,365105.974999984,1,64,4072,blue,true,right,2,64,right,blue,1216,0
57,368840.1850000082,1,9,4063,blue,true,left,99,9,left,blue,825,0
58,372181.5699999861,0,0,4063,blue,true,left,21,42,right,orange,1088,0
59,375807.21999998786,0,0,4063,blue,true,right,83,72,left,orange,962,0
60,379300.17000000225,0,0,4063,blue,true,left,37,11,right,orange,843,0
61,382677.2549999878,1,67,3996,blue,false,left,67,81,right,orange,890,0
62,386081.4399999799,0,0,3996,blue,true,left,12,14,right,orange,1128,0
63,389743.89499999234,0,0,3996,blue,false,left,78,90,left,blue,537,0
64,392813.9249999949,0,0,3996,blue,false,left,46,53,left,blue,618,0
65,395944.28500000504,0,0,3996,blue,false,right,30,42,right,blue,913,0
66,399375.3250000009,0,0,3996,blue,false,right,36,65,right,blue,1075,0
