Quiz_round,1,RESULT:,Steal1Goodness,Incorrect
Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,189224.09999999945,0,0,5000,blue,true,right,23,10,left,orange,2845,0
2,194595.80000000278,1,97,4903,blue,true,left,45,97,left,blue,1158,0
3,198292.30000000098,1,62,4841,blue,true,right,54,62,right,blue,670,0
4,201493.69999999908,1,99,4742,blue,false,left,99,16,right,orange,853,0
5,204875.80000000162,0,0,4742,blue,true,right,72,40,left,orange,759,0
6,208155.89999999793,0,0,4742,blue,true,left,98,88,right,orange,631,0
7,211309.9000000002,0,0,4742,blue,true,left,6,54,right,orange,1013,0
8,214843.39999999793,0,0,4742,blue,true,left,64,55,right,orange,455,0
9,217821.00000000355,0,0,4742,blue,false,right,96,45,right,blue,797,0
10,221142.40000000427,1,19,4723,blue,true,right,28,19,right,blue,515,0
11,224186.99999999808,0,0,4723,blue,true,left,95,26,right,orange,568,0
12,227274.49999999953,1,29,4694,blue,true,right,90,29,right,blue,1000,0
13,230804.1000000012,1,53,4641,blue,true,right,20,53,right,blue,670,0
14,234003.7999999986,0,0,4641,blue,true,left,74,56,right,orange,477,0
15,237002.39999999758,1,42,4599,blue,true,right,18,42,right,blue,465,0
16,239994.40000000322,0,0,4599,blue,true,left,11,91,right,orange,745,0
17,243256.50000000314,1,32,4567,blue,false,right,32,31,left,orange,410,0
18,246192.50000000466,0,0,4567,blue,true,left,36,65,right,orange,424,0
19,249139.00000000285,1,40,4527,blue,false,left,40,30,right,orange,416,0
20,252081.70000000246,0,0,4527,blue,true,left,29,26,right,orange,481,0
21,255081.5999999977,1,32,4495,blue,false,left,32,36,right,orange,450,0
22,258059.39999999828,0,0,4495,blue,true,left,72,81,right,orange,910,0
23,261490.7000000021,1,95,4400,blue,false,left,95,54,right,orange,888,0
24,270425.4000000001,1,40,4360,blue,false,left,40,59,right,orange,1579,1
25,274532.100000004,1,29,4331,blue,false,right,29,24,left,orange,676,0
26,277733.09999999765,0,0,4331,blue,false,right,60,51,right,blue,609,0
27,280864.2000000036,0,0,4331,blue,false,left,83,65,left,blue,745,0
28,284131.9999999978,1,98,4233,blue,true,right,78,98,right,blue,739,0
29,287400.2000000037,0,0,4233,blue,false,right,56,51,right,blue,2616,0
30,292541.6000000041,0,0,4233,blue,false,right,5,20,right,blue,2059,0
31,297122.3000000027,1,67,4166,blue,false,left,67,2,right,orange,1876,0
32,301527.60000000126,0,0,4166,blue,false,right,85,84,right,blue,804,0
33,304858.2999999999,0,0,4166,blue,true,left,7,49,right,orange,3230,0
34,310608.4000000046,1,37,4129,blue,false,left,37,47,right,orange,582,0
35,313717.6000000036,0,0,4129,blue,false,left,27,91,left,blue,538,0
