Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,573155.1900000004,1,10,4990,blue,true,right,23,10,right,blue,2252,0
2,578061.3750000002,0,0,4990,blue,true,right,45,97,left,orange,1069,0
3,581742.1599999998,0,0,4990,blue,true,left,54,62,right,orange,1448,0
4,585813.7349999998,0,0,4990,blue,false,right,99,16,right,blue,1160,0
5,589584.0950000002,1,40,4950,blue,true,right,72,40,right,blue,2043,0
6,594226.1449999997,1,88,4862,blue,true,left,98,88,left,blue,2011,0
7,598858.2200000001,0,0,4862,blue,true,right,6,54,left,orange,903,0
8,602367.6100000002,0,0,4862,blue,true,right,64,55,left,orange,658,0
9,605634.3649999999,1,96,4766,blue,false,left,96,45,right,orange,662,0
10,608924.4749999999,1,19,4747,blue,true,right,28,19,right,blue,2988,0
11,614548.9399999997,0,0,4747,blue,true,right,95,26,left,orange,1634,0
12,618763.2650000005,0,0,4747,blue,true,right,90,29,left,orange,506,0
13,621879.1300000002,0,0,4747,blue,true,right,20,53,left,orange,486,0
14,624967.6399999999,0,0,4747,blue,true,left,74,56,right,orange,1881,0
15,629458.3000000003,0,0,4747,blue,true,left,18,42,right,orange,1727,0
16,633805.6550000001,0,0,4747,blue,true,right,11,91,left,orange,809,0
17,637240.8800000002,1,32,4715,blue,false,right,32,31,left,orange,543,0
18,640423.4999999999,0,0,4715,blue,true,right,36,65,left,orange,850,0
19,643902.3800000005,1,40,4675,blue,false,left,40,30,right,orange,1102,0
20,647603.0600000004,0,0,4675,blue,true,left,29,26,right,orange,1186,0
21,651407.1549999999,1,32,4643,blue,false,right,32,36,left,orange,706,0
22,654743.1400000005,0,0,4643,blue,true,right,72,81,left,orange,1014,0
23,658350.7049999998,0,0,4643,blue,false,right,95,54,right,blue,1812,0
24,662767.8649999998,1,40,4603,blue,false,left,40,59,right,orange,1585,0
25,666969.1499999999,0,0,4603,blue,false,right,29,24,right,blue,1097,0
26,670672.9999999998,0,0,4603,blue,false,left,60,51,left,blue,423,0
27,673718.3750000003,0,0,4603,blue,false,left,83,65,left,blue,1198,0
28,677538.4599999997,1,98,4505,blue,true,left,78,98,left,blue,753,0
29,680886.4249999997,1,56,4449,blue,false,right,56,51,left,orange,1040,0
30,684550.1999999997,1,5,4444,blue,false,right,5,20,left,orange,1306,0
31,688467.0050000005,0,0,4444,blue,false,left,67,2,left,blue,744,0
32,691821.2450000001,0,0,4444,blue,false,left,85,84,left,blue,559,0
33,694960.36,1,49,4395,blue,true,left,7,49,left,blue,744,0
34,698319.955,0,0,4395,blue,false,right,37,47,right,blue,1779,0
35,702722.4349999997,1,27,4368,blue,false,right,27,91,left,orange,1551,0
36,706899.0999999996,0,0,4368,blue,false,left,44,42,left,blue,1115,0
37,710620.8349999997,1,55,4313,blue,true,right,31,55,right,blue,798,0
38,714069.2399999998,0,0,4313,blue,false,right,97,70,right,blue,538,0
39,717229.9949999996,0,0,4313,blue,false,right,14,9,right,blue,771,0
40,720620.5049999999,0,0,4313,blue,true,left,23,51,right,orange,1276,0
41,724505.2750000005,0,0,4313,blue,true,left,89,79,right,orange,851,0
42,727945.6149999996,0,0,4313,blue,true,left,83,86,right,orange,999,0
43,731547.6500000004,0,0,4313,blue,true,left,40,62,right,orange,407,0
44,734572.1050000002,0,0,4313,blue,true,left,36,23,right,orange,842,0
45,738017.3949999999,0,0,4313,blue,true,right,65,61,left,orange,1217,0
46,741855.2399999999,0,0,4313,blue,true,left,74,67,right,orange,484,0
47,744944.9599999998,0,0,4313,blue,true,right,73,41,left,orange,591,0
48,757790.6549999998,1,96,4217,blue,false,left,96,54,right,orange,1822,1
49,762226.4199999999,0,0,4217,blue,true,right,86,88,left,orange,932,0
50,765765.1050000004,0,0,4217,blue,true,right,43,66,left,orange,596,0
51,768985.3350000003,0,0,4217,blue,true,right,72,79,left,orange,498,0
52,772060.8600000005,1,71,4146,blue,false,right,71,13,left,orange,498,0
53,775187.7249999997,1,53,4093,blue,true,right,78,53,right,blue,1077,0
54,778902.7249999999,0,0,4093,blue,true,left,57,90,right,orange,798,0
55,782294.6899999997,1,3,4090,blue,false,left,3,12,right,orange,383,0
56,785273.0700000002,0,0,4090,blue,true,right,2,64,left,orange,463,0
57,788331.1300000005,0,0,4090,blue,true,right,99,9,left,orange,455,0
58,791386.9100000001,0,0,4090,blue,true,left,21,42,right,orange,1046,0
59,795023.3950000001,0,0,4090,blue,true,right,83,72,left,orange,356,0
60,797998.4100000001,0,0,4090,blue,true,left,37,11,right,orange,621,0
61,801236.9799999996,1,67,4023,blue,false,right,67,81,left,orange,461,0
62,804309.3399999999,0,0,4023,blue,true,left,12,14,right,orange,427,0
63,807329.6049999999,1,78,3945,blue,false,left,78,90,right,orange,377,0
64,810290.5700000001,1,46,3899,blue,false,left,46,53,right,orange,521,0
65,813425.2450000003,0,0,3899,blue,false,left,30,42,left,blue,374,0
66,816401.8800000004,0,0,3899,blue,false,left,36,65,left,blue,366,0
67,819361.1899999996,0,0,3899,blue,false,left,49,49,left,blue,325,0
68,822292.6100000005,0,0,3899,blue,false,right,44,10,right,blue,564,0
69,825455.2350000003,0,0,3899,blue,false,right,70,64,right,blue,394,0
70,828441.3400000003,0,0,3899,blue,false,left,68,95,left,blue,401,0
71,831453.4300000005,0,0,3899,blue,false,left,38,46,left,blue,546,0
72,834604.5949999997,0,0,3899,blue,false,left,18,24,left,blue,358,0
73,837570.1049999997,0,0,3899,blue,false,left,82,78,left,blue,543,0
74,840684.7550000002,0,0,3899,blue,false,left,59,54,left,blue,377,0
75,843680.4099999999,0,0,3899,blue,false,right,36,33,right,blue,592,0
76,846872.0249999997,1,56,3843,blue,true,right,49,56,right,blue,510,0
77,849996.6999999997,1,26,3817,blue,false,right,26,83,left,orange,743,0
78,853356.4649999999,0,0,3817,blue,false,left,38,81,left,blue,491,0
79,856447.8049999998,0,0,3817,blue,false,right,12,3,right,blue,651,0
80,859695.1699999999,0,0,3817,blue,false,left,62,38,left,blue,1239,0
81,863537.4250000004,0,0,3817,blue,false,right,43,50,right,blue,578,0
82,866735.8800000001,0,0,3817,blue,false,left,50,47,left,blue,398,0
83,869734.9000000004,1,35,3782,blue,true,right,41,35,right,blue,481,0
84,872876.6000000006,1,9,3773,blue,false,right,9,62,left,orange,489,0
85,876000.7949999999,0,0,3773,blue,false,left,60,58,left,blue,952,0
86,879568.0499999998,0,0,3773,blue,false,right,88,31,right,blue,481,0
87,882655.4450000003,0,0,3773,blue,false,right,56,44,right,blue,472,0
88,885732.7999999998,1,15,3758,blue,true,left,31,15,left,blue,412,0
89,888784.4050000004,0,0,3758,blue,false,right,90,31,right,blue,572,0
90,891929.2599999999,0,0,3758,blue,false,right,80,76,right,blue,421,0
