Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,299673,1,37,4963,blue,true,right,44,37,right,blue,2061,0
2,304268,1,12,4951,blue,true,right,66,12,right,blue,1275,0
3,308074,1,9,4942,blue,true,left,98,9,left,blue,653,0
4,311256,1,20,4922,blue,false,right,20,91,left,orange,1755,0
5,315541,1,8,4914,blue,true,left,28,8,left,blue,1406,0
6,319475,1,33,4881,blue,true,left,30,33,left,blue,1065,0
7,323068,0,0,4881,blue,true,left,27,24,right,orange,389,0
8,325981,0,0,4881,blue,false,right,58,43,right,blue,980,0
9,329486,1,47,4834,blue,true,right,72,47,right,blue,1195,0
10,333210,0,0,4834,blue,false,right,44,44,right,blue,446,0
11,336181,0,0,4834,blue,true,right,69,26,left,orange,1109,0
12,339814,1,41,4793,blue,true,right,6,41,right,blue,754,0
13,343096,0,0,4793,blue,true,left,88,34,right,orange,414,0
14,346034,1,73,4720,blue,false,left,73,18,right,orange,525,0
15,349089,0,0,4720,blue,true,right,60,25,left,orange,326,0
16,351938,1,6,4714,blue,true,left,68,6,left,blue,599,0
17,355074,0,0,4714,blue,false,right,48,39,right,blue,1106,0
18,358704,1,76,4638,blue,true,left,35,76,left,blue,1003,0
19,362238,0,0,4638,blue,true,right,23,85,left,orange,411,0
20,365174.00000000006,1,22,4616,blue,true,left,54,22,left,blue,1821,0
21,369524,1,66,4550,blue,false,right,66,58,left,orange,934,0
22,372987,1,41,4509,blue,true,left,98,41,left,blue,867,0
23,376383,1,80,4429,blue,true,left,58,80,left,blue,445,0
24,379356,0,0,4429,blue,true,right,32,85,left,orange,579,0
25,382459,0,0,4429,blue,false,right,83,15,right,blue,610,0
26,385592,1,16,4413,blue,true,right,18,16,right,blue,601,0
27,388724,0,0,4413,blue,true,left,56,99,right,orange,365,0
28,391619,0,0,4413,blue,true,left,23,75,right,orange,1915,0
29,396058,1,18,4395,blue,true,left,68,18,left,blue,1152,0
30,399739.00000000006,1,16,4379,blue,true,left,30,16,left,blue,568,0
31,402834,1,37,4342,blue,true,left,86,37,left,blue,467,0
32,405829,1,44,4298,blue,true,left,47,44,left,blue,338,0
33,408703.00000000006,1,91,4207,blue,true,left,3,91,left,blue,467,0
34,411701,0,0,4207,blue,false,left,60,14,left,blue,403,0
35,414627,0,0,4207,blue,true,left,54,84,right,orange,1279,0
36,418430,0,0,4207,blue,true,left,34,23,right,orange,2050,0
37,423004,0,0,4207,blue,true,left,96,28,right,orange,1981,0
38,427509,1,83,4124,blue,false,left,83,94,right,orange,1791,0
39,431827,1,86,4038,blue,true,left,63,86,left,blue,698,0
40,435053,0,0,4038,blue,true,right,99,53,left,orange,431,0
41,438007,0,0,4038,blue,true,right,29,91,left,orange,2114,0
42,442649,1,64,3974,blue,true,right,88,64,right,blue,1383,0
43,446575,1,70,3904,blue,true,left,84,70,left,blue,2181,0
44,451285,0,0,3904,blue,false,left,61,88,left,blue,1299,0
45,455108,1,43,3861,blue,true,left,61,43,left,blue,1534,0
46,459172,1,54,3807,blue,true,right,87,54,right,blue,510,0
47,462213,0,0,3807,blue,false,right,5,90,right,blue,608,0
48,469350,0,0,3807,blue,true,left,71,44,right,orange,2038,0
