Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,146352,1,37,4963,blue,true,left,44,37,left,blue,2127,0
2,151015.00000000003,0,0,4963,blue,true,left,66,12,right,orange,465,0
3,153997,0,0,4963,blue,true,left,98,9,right,orange,417,0
4,156931,1,20,4943,blue,false,left,20,91,right,orange,565,0
5,160017,0,0,4943,blue,true,left,28,8,right,orange,342,0
6,162877,0,0,4943,blue,true,left,30,33,right,orange,727,0
7,166121,0,0,4943,blue,true,left,27,24,right,orange,407,0
8,169045.00000000003,1,58,4885,blue,false,right,58,43,left,orange,999,0
9,172564,1,47,4838,blue,true,right,72,47,right,blue,2746,0
10,177831.00000000003,1,44,4794,blue,false,right,44,44,left,orange,795,0
11,181146.00000000003,0,0,4794,blue,true,right,69,26,left,orange,428,0
12,184090,0,0,4794,blue,true,left,6,41,right,orange,412,0
13,187019,0,0,4794,blue,true,left,88,34,right,orange,418,0
14,189952,1,73,4721,blue,false,right,73,18,left,orange,995,0
15,193468.00000000003,0,0,4721,blue,true,left,60,25,right,orange,395,0
16,196379,1,6,4715,blue,true,right,68,6,right,blue,943,0
17,199846,1,48,4667,blue,false,left,48,39,right,orange,702,0
18,203069.00000000003,0,0,4667,blue,true,left,35,76,right,orange,558,0
19,206144,0,0,4667,blue,true,right,23,85,left,orange,549,0
20,209211,0,0,4667,blue,true,right,54,22,left,orange,449,0
21,212177,1,66,4601,blue,false,right,66,58,left,orange,391,0
22,215093.00000000003,0,0,4601,blue,true,left,98,41,right,orange,520,0
23,218130,0,0,4601,blue,true,right,58,80,left,orange,516,0
24,221161,0,0,4601,blue,true,right,32,85,left,orange,532,0
25,224209,1,83,4518,blue,false,right,83,15,left,orange,2837,0
26,235094,0,0,4518,blue,true,right,18,16,left,orange,843,1
27,238454,0,0,4518,blue,true,right,56,99,left,orange,431,0
28,241408.00000000003,0,0,4518,blue,true,right,23,75,left,orange,604,0
29,244529,0,0,4518,blue,true,right,68,18,left,orange,427,0
30,247477,0,0,4518,blue,true,left,30,16,right,orange,660,0
31,250653,0,0,4518,blue,true,right,86,37,left,orange,399,0
32,253568,0,0,4518,blue,true,right,47,44,left,orange,443,0
33,256526,0,0,4518,blue,true,right,3,91,left,orange,443,0
34,259485,1,60,4458,blue,false,right,60,14,left,orange,420,0
35,262427,0,0,4458,blue,true,right,54,84,left,orange,398,0
36,265342,0,0,4458,blue,true,right,34,23,left,orange,552,0
37,268410,0,0,4458,blue,true,left,96,28,right,orange,821,0
38,271746,1,83,4375,blue,false,right,83,94,left,orange,334,0
39,274600,0,0,4375,blue,true,left,63,86,right,orange,477,0
