Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,283119.99999999534,1,37,4963,blue,true,left,44,37,left,blue,1668,0
2,287320.9999999963,1,12,4951,blue,true,left,66,12,left,blue,1342,0
3,291201.9999999902,1,9,4942,blue,true,left,98,9,left,blue,1099,0
4,294837.9999999888,1,20,4922,blue,false,right,20,91,left,orange,1264,0
5,298648.99999999034,1,8,4914,blue,true,left,28,8,left,blue,1365,0
6,302543.9999999944,0,0,4914,blue,true,right,30,33,left,orange,1675,0
7,306740.9999999945,0,0,4914,blue,true,left,27,24,right,orange,3683,0
8,312945.9999999963,0,0,4914,blue,false,right,58,43,right,blue,2566,0
9,318034.99999998894,1,47,4867,blue,true,left,72,47,left,blue,2114,0
10,322687.99999999464,1,44,4823,blue,false,right,44,44,left,orange,2263,0
11,327479.9999999959,1,26,4797,blue,true,right,69,26,right,blue,1388,0
12,331417.99999999057,0,0,4797,blue,true,right,6,41,left,orange,1450,0
13,335392.9999999964,1,34,4763,blue,true,right,88,34,right,blue,1264,0
14,339197.9999999894,0,0,4763,blue,false,left,73,18,left,blue,1306,0
15,343028.999999995,1,25,4738,blue,true,left,60,25,left,blue,1148,0
16,346710.9999999957,1,6,4732,blue,true,right,68,6,right,blue,890,0
17,350134.99999999476,1,48,4684,blue,false,left,48,39,right,orange,1404,0
18,354129.9999999901,0,0,4684,blue,true,left,35,76,right,orange,1218,0
19,357871.9999999885,0,0,4684,blue,true,right,23,85,left,orange,1488,0
20,361885.9999999986,1,22,4662,blue,true,right,54,22,right,blue,1128,0
21,365543.9999999944,1,66,4596,blue,false,right,66,58,left,orange,1131,0
22,369206.9999999949,1,41,4555,blue,true,left,98,41,left,blue,1546,0
23,373289.9999999936,0,0,4555,blue,true,left,58,80,right,orange,1908,0
24,377726.99999999895,0,0,4555,blue,true,right,32,85,left,orange,887,0
25,381141.99999999255,0,0,4555,blue,false,left,83,15,left,blue,1125,0
26,384864.0000000014,0,0,4555,blue,true,left,18,16,right,orange,1843,0
27,389227.99999998824,0,0,4555,blue,true,left,56,99,right,orange,1270,0
28,393020.99999999336,0,0,4555,blue,true,right,23,75,left,orange,885,0
29,396426.99999999604,1,18,4537,blue,true,right,68,18,right,blue,859,0
30,399815.0000000023,0,0,4537,blue,true,right,30,16,left,orange,572,0
31,402913.00000000047,0,0,4537,blue,true,right,86,37,left,orange,778,0
32,406212.9999999888,0,0,4537,blue,true,left,47,44,right,orange,1639,0
33,410375.9999999893,0,0,4537,blue,true,right,3,91,left,orange,1612,0
34,414508.9999999909,0,0,4537,blue,false,left,60,14,left,blue,2300,0
35,419332.9999999987,0,0,4537,blue,true,left,54,84,right,orange,1105,0
36,422958.999999988,0,0,4537,blue,true,right,34,23,left,orange,1381,0
37,426860.9999999899,1,28,4509,blue,true,left,96,28,left,blue,1117,0
38,431054.999999993,1,83,4426,blue,false,left,83,94,right,orange,1371,0
39,434955.99999999104,0,0,4426,blue,true,right,63,86,left,orange,1348,0
40,438826.9999999902,0,0,4426,blue,true,left,99,53,right,orange,1855,0
41,443205.99999999104,0,0,4426,blue,true,left,29,91,right,orange,1005,0
42,446732.9999999929,0,0,4426,blue,true,right,88,64,left,orange,1001,0
43,450256.9999999978,0,0,4426,blue,true,right,84,70,left,orange,1281,0
44,454059.9999999977,1,61,4365,blue,false,left,61,88,right,orange,918,0
45,457512.99999999173,0,0,4365,blue,true,left,61,43,right,orange,1032,0
46,461070.9999999963,0,0,4365,blue,true,right,87,54,left,orange,1027,0
47,464619.99999999534,1,5,4360,blue,false,right,5,90,left,orange,666,0
48,471830.00000000175,0,0,4360,blue,true,right,71,44,left,orange,2184,0
49,476538.00000000047,0,0,4360,blue,true,right,42,52,left,orange,1172,0
50,480235.0000000006,0,0,4360,blue,true,right,39,93,left,orange,837,0
51,483591.99999998964,1,24,4336,blue,true,right,39,24,right,blue,1386,0
52,487508.00000000163,0,0,4336,blue,false,right,20,10,right,blue,1769,0
53,492319.99999999243,0,0,4336,blue,false,left,85,43,left,blue,1353,0
54,496194.99999999243,0,0,4336,blue,false,right,77,7,right,blue,817,0
55,499532.9999999958,1,90,4246,blue,true,right,95,90,right,blue,2287,0
56,504345.99999999045,1,7,4239,blue,true,left,56,7,left,blue,1413,0
57,508290.99999999744,0,0,4239,blue,true,left,50,69,right,orange,1872,0
58,512686.0000000015,0,0,4239,blue,true,left,4,83,right,orange,816,0
59,516021.9999999972,0,0,4239,blue,false,left,40,8,left,blue,853,0
60,519395.99999999336,0,0,4239,blue,true,left,47,86,right,orange,1767,0
61,523690.9999999916,0,0,4239,blue,true,right,15,49,left,orange,897,0
62,527110.9999999899,0,0,4239,blue,true,right,17,39,left,orange,1155,0
63,530788.9999999898,0,0,4239,blue,false,left,76,97,left,blue,798,0
64,534769.9999999895,1,14,4225,blue,true,left,73,14,left,blue,950,0
65,538248.9999999962,1,29,4196,blue,true,left,67,29,left,blue,872,0
66,541659.9999999889,1,39,4157,blue,true,left,48,39,left,blue,788,0
67,544993.9999999915,0,0,4157,blue,true,right,30,99,left,orange,1394,0
68,548910.9999999928,1,13,4144,blue,false,left,13,20,right,orange,1934,0
69,553376.9999999931,1,59,4085,blue,true,left,66,59,left,blue,1676,0
70,557591.0000000003,0,0,4085,blue,true,right,20,60,left,orange,1102,0
71,561213.9999999927,1,25,4060,blue,true,right,41,25,right,blue,1610,0
72,565353.9999999921,1,76,3984,blue,false,right,76,70,left,orange,1799,0
73,569682.0000000007,0,0,3984,blue,false,right,73,18,right,blue,1550,0
74,573752.999999997,1,41,3943,blue,false,left,41,80,right,orange,1454,0
75,577735.9999999899,0,0,3943,blue,true,right,25,76,left,orange,1136,0
76,581394.0000000002,1,34,3909,blue,false,left,34,52,right,orange,1465,0
77,585389.9999999994,1,30,3879,blue,false,left,30,60,right,orange,1650,0
78,589570.9999999963,0,0,3879,blue,false,left,91,36,left,blue,1571,0
79,593664.9999999936,0,0,3879,blue,false,left,70,59,left,blue,2313,0
80,598500,0,0,3879,blue,true,right,64,47,left,orange,1802,0
81,602824.9999999971,1,28,3851,blue,false,right,28,44,left,orange,827,0
82,606665.9999999974,1,2,3849,blue,false,left,2,80,right,orange,2393,0
83,611593.9999999973,1,20,3829,blue,false,right,20,39,left,orange,1312,0
84,615447.0000000001,1,32,3797,blue,false,left,32,61,right,orange,2348,0
85,620335.9999999957,0,0,3797,blue,false,right,90,61,right,blue,2896,0
86,625752.999999997,0,0,3797,blue,true,right,62,70,left,orange,3373,0
87,631645.9999999934,0,0,3797,blue,false,left,17,33,left,blue,1722,0
88,635891.9999999925,0,0,3797,blue,false,right,74,17,right,blue,1507,0
89,639921.9999999914,1,2,3795,blue,false,left,2,85,right,orange,1261,0
90,643712.9999999888,0,0,3795,blue,false,right,39,76,right,blue,2275,0
