Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
41523,1,104133.36000000709,1,37,4963,blue,true,left,44,37,left,blue,2519,0
41523,2,109182.75000000722,1,12,4951,blue,true,left,66,12,left,blue,953,0
41523,3,112677.89500000072,1,9,4942,blue,true,left,98,9,left,blue,1306,0
41523,4,116522.51000000979,1,20,4922,blue,false,right,20,91,left,orange,1819,0
41523,5,120873.08499999926,1,8,4914,blue,true,left,28,8,left,blue,682,0
41523,6,124089.82500000275,0,0,4914,blue,true,right,30,33,left,orange,845,0
41523,7,127466.31000001798,0,0,4914,blue,true,right,27,24,left,orange,780,0
41523,8,130789.0400000033,1,58,4856,blue,false,right,58,43,left,orange,1216,0
41523,9,134555.8149999997,1,47,4809,blue,true,right,72,47,right,blue,979,0
41523,10,138071.30999999936,1,44,4765,blue,false,right,44,44,left,orange,1450,0
41523,11,142061.67500000447,1,26,4739,blue,true,right,69,26,right,blue,1413,0
41523,12,146011.26500000828,0,0,4739,blue,true,right,6,41,left,orange,969,0
41523,13,149509.43000000552,1,34,4705,blue,true,left,88,34,left,blue,1258,0
41523,14,153306.88000001828,0,0,4705,blue,false,left,73,18,left,blue,1670,0
41523,15,157509.62500000605,1,25,4680,blue,true,right,60,25,right,blue,807,0
41523,16,160850.8500000171,1,6,4674,blue,true,right,68,6,right,blue,850,0
41523,17,164230.73000001023,1,48,4626,blue,false,left,48,39,right,orange,1353,0
41523,18,168109.68000002322,0,0,4626,blue,true,right,35,76,left,orange,974,0
41523,19,171609.85999999684,0,0,4626,blue,true,left,23,85,right,orange,1343,0
41523,20,175490.3350000095,1,22,4604,blue,true,left,54,22,left,blue,1025,0
41523,21,179061.7000000202,1,66,4538,blue,false,left,66,58,right,orange,1520,0
41523,22,183111.96500001824,1,41,4497,blue,true,left,98,41,left,blue,727,0
41523,23,186366.42000000575,0,0,4497,blue,true,right,58,80,left,orange,1710,0
41523,24,190601.3099999982,0,0,4497,blue,true,right,32,85,left,orange,839,0
41523,25,193973.46999999718,0,0,4497,blue,false,left,83,15,left,blue,1260,0
41523,26,197759.21499999822,0,0,4497,blue,true,left,18,16,right,orange,1024,0
41523,27,201312.29000000167,0,0,4497,blue,true,right,56,99,left,orange,938,0
41523,28,204769.39500001026,0,0,4497,blue,true,left,23,75,right,orange,763,0
41523,29,208063.7300000235,0,0,4497,blue,true,right,68,18,left,orange,1417,0
41523,30,212010.60999999754,1,16,4481,blue,true,right,30,16,right,blue,1337,0
41523,31,215886.4000000176,1,37,4444,blue,true,right,86,37,right,blue,1371,0
41523,32,219795.5250000232,1,44,4400,blue,true,left,47,44,left,blue,1858,0
41523,33,224180.90000000666,0,0,4400,blue,true,left,3,91,right,orange,799,0
41523,34,227507.27500001085,0,0,4400,blue,false,left,60,14,left,blue,1561,0
41523,35,231605.0899999973,0,0,4400,blue,true,left,54,84,right,orange,1287,0
41523,36,235424.09000001498,1,23,4377,blue,true,left,34,23,left,blue,994,0
