Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
41707,1,77339,1,10,4990,blue,true,left,23,10,left,blue,944,0
41707,2,80801,0,0,4990,blue,true,right,45,97,left,orange,668,0
41707,3,83982,0,0,4990,blue,true,right,54,62,left,orange,585,0
41707,4,87079.00000000001,1,99,4891,blue,false,left,99,16,right,orange,622,0
41707,5,90215,1,40,4851,blue,true,right,72,40,right,blue,659,0
41707,6,93388,1,88,4763,blue,true,left,98,88,left,blue,876,0
41707,7,96778,0,0,4763,blue,true,left,6,54,right,orange,595,0
41707,8,99885,0,0,4763,blue,true,right,64,55,left,orange,455,0
41707,9,102852,1,96,4667,blue,false,right,96,45,left,orange,617,0
41707,10,105983,0,0,4667,blue,true,left,28,19,right,orange,844,0
41707,11,109339,0,0,4667,blue,true,left,95,26,right,orange,675,0
41707,12,112526,0,0,4667,blue,true,left,90,29,right,orange,1390,0
41707,13,116428,0,0,4667,blue,true,right,20,53,left,orange,601,0
41707,14,119540,0,0,4667,blue,true,left,74,56,right,orange,572,0
41707,15,122624.00000000001,0,0,4667,blue,true,right,18,42,left,orange,469,0
41707,16,125603.00000000001,0,0,4667,blue,true,right,11,91,left,orange,453,0
41707,17,128567,1,32,4635,blue,false,right,32,31,left,orange,408,0
41707,18,131490,1,65,4570,blue,true,right,36,65,right,blue,240,0
41707,19,134245,1,40,4530,blue,false,left,40,30,right,orange,444,0
41707,20,137203,1,26,4504,blue,true,right,29,26,right,blue,415,0
41707,21,140135,1,32,4472,blue,false,right,32,36,left,orange,962,0
41707,22,143614,1,81,4391,blue,true,right,72,81,right,blue,871,0
41707,23,147000,0,0,4391,blue,false,right,95,54,right,blue,417,0
41707,24,149930,0,0,4391,blue,false,left,40,59,left,blue,577,0
41707,25,153021.00000000003,0,0,4391,blue,false,left,29,24,left,blue,385,0
41707,26,155918,0,0,4391,blue,false,right,60,51,right,blue,418,0
41707,27,158849,0,0,4391,blue,false,right,83,65,right,blue,582,0
41707,28,161942,1,98,4293,blue,true,left,78,98,left,blue,409,0
41707,29,164866,0,0,4293,blue,false,right,56,51,right,blue,395,0
41707,30,167772,0,0,4293,blue,false,right,5,20,right,blue,432,0
41707,31,170714,0,0,4293,blue,false,left,67,2,left,blue,1413,0
41707,32,174640.00000000003,0,0,4293,blue,false,right,85,84,right,blue,1669,0
41707,33,178824,0,0,4293,blue,true,left,7,49,right,orange,715,0
41707,34,182053,1,37,4256,blue,false,left,37,47,right,orange,599,0
41707,35,185167,1,27,4229,blue,false,left,27,91,right,orange,842,0
41707,36,188526,0,0,4229,blue,false,left,44,42,left,blue,401,0
41707,37,191441,1,55,4174,blue,true,left,31,55,left,blue,414,0
41707,38,194367,0,0,4174,blue,false,left,97,70,left,blue,795,0
41707,39,197676.00000000003,0,0,4174,blue,false,right,14,9,right,blue,802,0
41707,40,200991,1,51,4123,blue,true,right,23,51,right,blue,739,0
41707,41,204244,1,79,4044,blue,true,left,89,79,left,blue,623,0
