Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
42463,1,276934.2749999778,1,10,4990,blue,true,left,23,10,left,blue,1117,0
42463,2,280588.2799999963,0,0,4990,blue,true,left,45,97,right,orange,1501,0
42463,3,284613.81999999867,0,0,4990,blue,true,left,54,62,right,orange,659,0
42463,4,287798.14499997883,0,0,4990,blue,false,right,99,16,right,blue,1225,0
42463,5,291543.08999999193,0,0,4990,blue,true,left,72,40,right,orange,1058,0
42463,6,295119.53999998514,0,0,4990,blue,true,right,98,88,left,orange,905,0
42463,7,298547.579999984,0,0,4990,blue,true,left,6,54,right,orange,957,0
42463,8,302027.219999989,0,0,4990,blue,true,right,64,55,left,orange,652,0
42463,9,305209.31000000564,1,96,4894,blue,false,right,96,45,left,orange,936,0
42463,10,308679.6199999808,0,0,4894,blue,true,right,28,19,left,orange,889,0
42463,11,312094.6999999869,0,0,4894,blue,true,right,95,26,left,orange,1536,0
42463,12,316152.57000000565,1,29,4865,blue,true,left,90,29,left,blue,1215,0
42463,13,319899.5799999975,0,0,4865,blue,true,right,20,53,left,orange,1381,0
42463,14,323802.869999985,0,0,4865,blue,true,right,74,56,left,orange,972,0
42463,15,327301.8250000023,0,0,4865,blue,true,right,18,42,left,orange,802,0
42463,16,330636.12999999896,0,0,4865,blue,true,right,11,91,left,orange,605,0
42463,17,333755.8799999824,1,32,4833,blue,false,right,32,31,left,orange,855,0
42463,18,337143.7399999995,0,0,4833,blue,true,left,36,65,right,orange,810,0
42463,19,340476.3849999872,1,40,4793,blue,false,right,40,30,left,orange,735,0
42463,20,343739.78999999235,1,26,4767,blue,true,left,29,26,left,blue,1115,0
42463,21,347380.94000000274,1,32,4735,blue,false,left,32,36,right,orange,612,0
42463,22,350523.4599999967,1,81,4654,blue,true,left,72,81,left,blue,1133,0
42463,23,354177.0649999962,1,95,4559,blue,false,left,95,54,right,orange,482,0
42463,24,357188.5749999783,1,40,4519,blue,false,left,40,59,right,orange,550,0
42463,25,360262.9199999792,0,0,4519,blue,false,left,29,24,left,blue,505,0
42463,26,363293.11999998754,0,0,4519,blue,false,left,60,51,left,blue,445,0
42463,27,366258.57999999425,0,0,4519,blue,false,right,83,65,right,blue,695,0
42463,28,369477.43999998784,1,98,4421,blue,true,right,78,98,right,blue,819,0
42463,29,372816.754999978,0,0,4421,blue,false,left,56,51,left,blue,445,0
42463,30,375780.0850000058,0,0,4421,blue,false,right,5,20,right,blue,735,0
42463,31,379031.36500000255,0,0,4421,blue,false,left,67,2,left,blue,574,0
42463,32,382128.43499999144,0,0,4421,blue,false,right,85,84,right,blue,487,0
42463,33,385141.7499999807,1,49,4372,blue,true,right,7,49,right,blue,987,0
42463,34,388651.78499999456,0,0,4372,blue,false,right,37,47,right,blue,982,0
42463,35,392157.6599999971,0,0,4372,blue,false,left,27,91,left,blue,1377,0
42463,36,396053.37999999756,0,0,4372,blue,false,left,44,42,left,blue,774,0
42463,37,399347.03000000445,1,55,4317,blue,true,left,31,55,left,blue,854,0
42463,38,402732.3150000011,0,0,4317,blue,false,right,97,70,right,blue,876,0
