Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
42579,1,1214645.0550000009,1,37,4963,blue,true,left,44,37,left,blue,3287,0
42579,2,1220470.7349999952,1,12,4951,blue,true,left,66,12,left,blue,2148,0
42579,3,1225149.5049999938,1,9,4942,blue,true,right,98,9,right,blue,1925,0
42579,4,1229614.499999996,1,20,4922,blue,false,right,20,91,left,orange,1692,0
42579,5,1233839.6700000013,1,8,4914,blue,true,right,28,8,right,blue,1363,0
42579,6,1237737.049999996,0,0,4914,blue,true,right,30,33,left,orange,1810,0
42579,7,1242072.9649999994,0,0,4914,blue,true,left,27,24,right,orange,2610,0
42579,8,1247207.6249999953,1,58,4856,blue,false,right,58,43,left,orange,977,0
42579,9,1250722.139999998,1,47,4809,blue,true,left,72,47,left,blue,1760,0
42579,10,1255014.1250000014,1,44,4765,blue,false,left,44,44,right,orange,1916,0
42579,11,1259457.7349999892,1,26,4739,blue,true,left,69,26,left,blue,1105,0
42579,12,1263089.1249999986,0,0,4739,blue,true,right,6,41,left,orange,1258,0
42579,13,1266873.869999996,0,0,4739,blue,true,right,88,34,left,orange,2240,0
42579,14,1271642.670000001,1,73,4666,blue,false,left,73,18,right,orange,2104,0
42579,15,1276278.7099999986,1,25,4641,blue,true,right,60,25,right,blue,2148,0
42579,16,1280954.7649999876,1,6,4635,blue,true,left,68,6,left,blue,1721,0
42579,17,1285207.6850000012,1,48,4587,blue,false,left,48,39,right,orange,1907,0
42579,18,1289644.2749999987,0,0,4587,blue,true,left,35,76,right,orange,1461,0
42579,19,1293630.2949999953,0,0,4587,blue,true,left,23,85,right,orange,1132,0
42579,20,1297287.4549999977,0,0,4587,blue,true,right,54,22,left,orange,1827,0
42579,21,1301640.0999999896,1,66,4521,blue,false,left,66,58,right,orange,1594,0
42579,22,1305765.5749999976,1,41,4480,blue,true,left,98,41,left,blue,1366,0
42579,23,1309663.579999993,1,80,4400,blue,true,right,58,80,right,blue,1226,0
42579,24,1313416.164999988,0,0,4400,blue,true,right,32,85,left,orange,810,0
42579,25,1316757.2549999896,1,83,4317,blue,false,left,83,15,right,orange,1270,0
42579,26,1320554.1200000006,0,0,4317,blue,true,right,18,16,left,orange,705,0
42579,27,1323786.294999998,0,0,4317,blue,true,right,56,99,left,orange,1810,0
42579,28,1328120.0899999966,0,0,4317,blue,true,left,23,75,right,orange,1691,0
42579,29,1332334.759999998,1,18,4299,blue,true,right,68,18,right,blue,1476,0
42579,30,1336340.0099999998,0,0,4299,blue,true,right,30,16,left,orange,1510,0
42579,31,1340373.0450000004,0,0,4299,blue,true,right,86,37,left,orange,1125,0
42579,32,1344019.1249999916,0,0,4299,blue,true,left,47,44,right,orange,1776,0
42579,33,1348321.314999994,0,0,4299,blue,true,right,3,91,left,orange,1130,0
42579,34,1351974.0949999979,0,0,4299,blue,false,left,60,14,left,blue,1597,0
42579,35,1356096.934999994,0,0,4299,blue,true,left,54,84,right,orange,1745,0
42579,36,1360365.4349999996,0,0,4299,blue,true,left,34,23,right,orange,1884,0
42579,37,1364781.2049999922,1,28,4271,blue,true,right,96,28,right,blue,2038,0
42579,38,1369357.2299999942,1,83,4188,blue,false,left,83,94,right,orange,1437,0
42579,39,1373322.9599999904,0,0,4188,blue,true,right,63,86,left,orange,1728,0
42579,40,1377582.1299999952,0,0,4188,blue,true,right,99,53,left,orange,779,0
42579,41,1380891.8699999922,0,0,4188,blue,true,left,29,91,right,orange,1491,0
42579,42,1384907.3749999953,1,64,4124,blue,true,right,88,64,right,blue,1534,0
42579,43,1388966.769999999,0,0,4124,blue,true,left,84,70,right,orange,2236,0
42579,44,1393727.1699999983,0,0,4124,blue,false,left,61,88,left,blue,2843,0
42579,45,1399088.4149999912,1,43,4081,blue,true,right,61,43,right,blue,1498,0
42579,46,1403116.9850000006,1,54,4027,blue,true,left,87,54,left,blue,2021,0
42579,47,1407667.334999991,1,5,4022,blue,false,right,5,90,left,orange,1296,0
42579,48,1415497.5949999935,1,44,3978,blue,true,left,71,44,left,blue,2594,0
42579,49,1420616.1399999983,0,0,3978,blue,true,right,42,52,left,orange,1834,0
42579,50,1424973.6750000012,0,0,3978,blue,true,right,39,93,left,orange,1005,0
42579,51,1428502.410000001,0,0,3978,blue,true,right,39,24,left,orange,1213,0
42579,52,1432247.319999995,1,20,3958,blue,false,right,20,10,left,orange,1948,0
42579,53,1436722.8099999921,0,0,3958,blue,false,left,85,43,left,blue,1007,0
42579,54,1440253.5649999918,0,0,3958,blue,false,right,77,7,right,blue,1079,0
42579,55,1443855.7900000014,1,90,3868,blue,true,right,95,90,right,blue,1322,0
42579,56,1447710.619999998,1,7,3861,blue,true,left,56,7,left,blue,1252,0
42579,57,1451491.6749999975,0,0,3861,blue,true,left,50,69,right,orange,1383,0
42579,58,1455401.9100000006,0,0,3861,blue,true,right,4,83,left,orange,673,0
42579,59,1458601.1949999956,0,0,3861,blue,false,right,40,8,right,blue,970,0
42579,60,1462097.3049999885,1,86,3775,blue,true,right,47,86,right,blue,1248,0
42579,61,1465868.0400000012,0,0,3775,blue,true,left,15,49,right,orange,1415,0
42579,62,1469808.0599999959,0,0,3775,blue,true,left,17,39,right,orange,931,0
