Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
42847,1,193429.83000003733,1,37,4963,blue,true,left,44,37,left,blue,1173,0
42847,2,197135.25499985553,1,12,4951,blue,true,right,66,12,right,blue,666,0
42847,3,200330.92999993823,0,0,4951,blue,true,right,98,9,left,orange,454,0
42847,4,203321.81999995373,1,20,4931,blue,false,right,20,91,left,orange,493,0
42847,5,206344.59999995306,0,0,4931,blue,true,left,28,8,right,orange,466,0
42847,6,209326.94000005722,0,0,4931,blue,true,left,30,33,right,orange,954,0
42847,7,212802.36499989405,0,0,4931,blue,true,left,27,24,right,orange,451,0
42847,8,215790.35499994643,0,0,4931,blue,false,left,58,43,left,blue,987,0
42847,9,219327.5699999649,0,0,4931,blue,true,left,72,47,right,orange,425,0
42847,10,222295.1199999079,1,44,4887,blue,false,right,44,44,left,orange,658,0
42847,11,225489.47999998927,0,0,4887,blue,true,left,69,26,right,orange,578,0
42847,12,228606.2999998685,0,0,4887,blue,true,left,6,41,right,orange,567,0
42847,13,231708.89499993064,1,34,4853,blue,true,right,88,34,right,blue,916,0
42847,14,235158.42500003055,0,0,4853,blue,false,left,73,18,left,blue,749,0
42847,15,238444.7550000623,1,25,4828,blue,true,right,60,25,right,blue,1909,0
42847,16,242885.13499987312,1,6,4822,blue,true,left,68,6,left,blue,416,0
42847,17,245844.30999984033,1,48,4774,blue,false,left,48,39,right,orange,612,0
42847,18,248980.52500002086,0,0,4774,blue,true,left,35,76,right,orange,968,0
42847,19,252472.6700000465,0,0,4774,blue,true,right,23,85,left,orange,488,0
42847,20,255488.2950000465,0,0,4774,blue,true,right,54,22,left,orange,1128,0
42847,21,259145.34000004642,0,0,4774,blue,false,right,66,58,right,blue,1509,0
42847,22,263184.104999993,0,0,4774,blue,true,right,98,41,left,orange,1464,0
42847,23,267197.6999999024,0,0,4774,blue,true,left,58,80,right,orange,897,0
