Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
43181,1,349197.21499993466,1,10,4990,blue,true,right,23,10,right,blue,2338,0
43181,2,354135.06999996025,0,0,4990,blue,true,left,45,97,right,orange,892,0
43181,3,357602.0449999487,0,0,4990,blue,true,left,54,62,right,orange,1221,0
43181,4,361405.6550000096,0,0,4990,blue,false,right,99,16,right,blue,1713,0
43181,5,365729.2700000107,0,0,4990,blue,true,left,72,40,right,orange,1584,0
43181,6,369897.68499997444,0,0,4990,blue,true,right,98,88,left,orange,2490,0
43181,7,374997.20999994315,1,54,4936,blue,true,right,6,54,right,blue,1385,0
43181,8,378972.0999998972,0,0,4936,blue,true,left,64,55,right,orange,1400,0
43181,9,382945.8899999736,0,0,4936,blue,false,right,96,45,right,blue,1509,0
43181,10,387028.2049999805,0,0,4936,blue,true,right,28,19,left,orange,1624,0
43181,11,391211.9899999816,0,0,4936,blue,true,right,95,26,left,orange,1532,0
43181,12,395328.7699999055,1,29,4907,blue,true,right,90,29,right,blue,1245,0
43181,13,399181.20499991346,0,0,4907,blue,true,left,20,53,right,orange,1240,0
43181,14,403018.17999989726,0,0,4907,blue,true,right,74,56,left,orange,874,0
43181,15,406484.0349999722,0,0,4907,blue,true,left,18,42,right,orange,813,0
43181,16,409866.53999995906,1,91,4816,blue,true,left,11,91,left,blue,1128,0
43181,17,413585.7249998953,1,32,4784,blue,false,left,32,31,right,orange,654,0
43181,18,416842.89500000887,0,0,4784,blue,true,right,36,65,left,orange,673,0
43181,19,420102.26999991573,1,40,4744,blue,false,right,40,30,left,orange,904,0
43181,20,423585.68499994,0,0,4744,blue,true,right,29,26,left,orange,752,0
43181,21,426912.1599999489,1,32,4712,blue,false,left,32,36,right,orange,842,0
43181,22,430342.2699999064,0,0,4712,blue,true,left,72,81,right,orange,1797,0
43181,23,434736.09999998007,0,0,4712,blue,false,left,95,54,left,blue,1562,0
43181,24,438863.84999996517,1,40,4672,blue,false,left,40,59,right,orange,987,0
43181,25,442440.31499989796,1,29,4643,blue,false,left,29,24,right,orange,1315,0
43181,26,446360.83999997936,0,0,4643,blue,false,left,60,51,left,blue,1154,0
43181,27,450082.9049999593,0,0,4643,blue,false,left,83,65,left,blue,1032,0
43181,28,453704.1999999201,0,0,4643,blue,true,right,78,98,left,orange,2148,0
43181,29,458444.7799999034,0,0,4643,blue,false,left,56,51,left,blue,1448,0
43181,30,462468.1149999378,0,0,4643,blue,false,right,5,20,right,blue,1625,0
43181,31,466669.1850000061,1,67,4576,blue,false,right,67,2,left,orange,1147,0
43181,32,470418.72999991756,0,0,4576,blue,false,right,85,84,right,blue,1317,0
43181,33,474324.7549999505,1,49,4527,blue,true,left,7,49,left,blue,719,0
43181,34,477631.865000003,0,0,4527,blue,false,right,37,47,right,blue,849,0
43181,35,481045.98999989685,0,0,4527,blue,false,left,27,91,left,blue,1168,0
43181,36,484792.0999999624,0,0,4527,blue,false,left,44,42,left,blue,709,0
43181,37,488073.8399999682,1,55,4472,blue,true,right,31,55,right,blue,833,0
43181,38,491482.72500000894,0,0,4472,blue,false,left,97,70,left,blue,1048,0
43181,39,495109.4949999824,1,14,4458,blue,false,left,14,9,right,orange,1140,0
43181,40,498814.3449999625,1,51,4407,blue,true,right,23,51,right,blue,563,0
43181,41,501964.3749999814,1,79,4328,blue,true,right,89,79,right,blue,714,0
43181,42,505275.73999995366,0,0,4328,blue,true,left,83,86,right,orange,539,0
43181,43,508414.7099999245,0,0,4328,blue,true,left,40,62,right,orange,900,0
43181,44,511905.8199999854,0,0,4328,blue,true,right,36,23,left,orange,804,0
43181,45,515285.43499996886,0,0,4328,blue,true,right,65,61,left,orange,1247,0
43181,46,519100.9549999144,0,0,4328,blue,true,right,74,67,left,orange,864,0
43181,47,522552.139999927,0,0,4328,blue,true,left,73,41,right,orange,1499,0
43181,48,530666.3449999178,1,96,4232,blue,false,right,96,54,left,orange,2383,0
43181,49,535646.4849999174,1,88,4144,blue,true,left,86,88,left,blue,647,0
43181,50,538871.5749999974,1,66,4078,blue,true,left,43,66,left,blue,467,0
43181,51,541937.8499999875,0,0,4078,blue,true,right,72,79,left,orange,856,0
43181,52,545359.2299999436,1,71,4007,blue,false,right,71,13,left,orange,733,0
43181,53,548678.2249999233,0,0,4007,blue,true,left,78,53,right,orange,655,0
43181,54,551894.7799999733,0,0,4007,blue,true,right,57,90,left,orange,654,0
43181,55,555110.8799999347,0,0,4007,blue,false,left,3,12,left,blue,1360,0
43181,56,559065.9100000048,0,0,4007,blue,true,right,2,64,left,orange,1445,0
43181,57,563069.3099999335,0,0,4007,blue,true,right,99,9,left,orange,1288,0
43181,58,566946.6549999779,1,42,3965,blue,true,right,21,42,right,blue,1039,0
43181,59,570557.7449999982,0,0,3965,blue,true,left,83,72,right,orange,607,0
43181,60,573724.7900000075,0,0,3965,blue,true,left,37,11,right,orange,631,0
43181,61,576935.0899999263,1,67,3898,blue,false,right,67,81,left,orange,676,0
43181,62,580212.1949999128,0,0,3898,blue,true,left,12,14,right,orange,760,0
43181,63,583555.059999926,1,78,3820,blue,false,left,78,90,right,orange,1500,0
43181,64,587625.944999978,1,46,3774,blue,false,right,46,53,left,orange,1086,0
43181,65,591295.1149999863,1,30,3744,blue,false,right,30,42,left,orange,509,0
43181,66,594411.2999999197,0,0,3744,blue,false,right,36,65,right,blue,531,0
43181,67,597502.8999999631,0,0,3744,blue,false,left,49,49,left,blue,554,0
43181,68,600614.3900000025,0,0,3744,blue,false,left,44,10,left,blue,1299,0
43181,69,604504.4500000076,0,0,3744,blue,false,right,70,64,right,blue,686,0
43181,70,607774.8699999647,0,0,3744,blue,false,right,68,95,right,blue,547,0
43181,71,610896.2099999189,0,0,3744,blue,false,right,38,46,right,blue,609,0
43181,72,614050.3150000004,0,0,3744,blue,false,left,18,24,left,blue,522,0
43181,73,617156.6399999429,0,0,3744,blue,false,right,82,78,right,blue,619,0
43181,74,620351.9849999575,0,0,3744,blue,false,right,59,54,right,blue,647,0
43181,75,623576.7399999313,0,0,3744,blue,false,right,36,33,right,blue,801,0
43181,76,626989.0249999007,1,56,3688,blue,true,right,49,56,right,blue,681,0
43181,77,630277.6249999879,0,0,3688,blue,false,right,26,83,right,blue,636,0
43181,78,633499.1149998968,0,0,3688,blue,false,left,38,81,left,blue,684,0
43181,79,636760.5099999346,0,0,3688,blue,false,left,12,3,left,blue,1184,0
43181,80,640523.909999989,0,0,3688,blue,false,left,62,38,left,blue,626,0
43181,81,643723.3649999835,0,0,3688,blue,false,left,43,50,left,blue,553,0
43181,82,646859.6299999626,0,0,3688,blue,false,right,50,47,right,blue,1132,0
43181,83,650584.6099999035,1,35,3653,blue,true,left,41,35,left,blue,884,0
43181,84,654058.5849999916,1,9,3644,blue,false,right,9,62,left,orange,849,0
43181,85,657500.3949999809,0,0,3644,blue,false,left,60,58,left,blue,524,0
43181,86,660593.6900000088,0,0,3644,blue,false,right,88,31,right,blue,527,0
43181,87,663688.1749999011,0,0,3644,blue,false,right,56,44,right,blue,580,0
43181,88,666858.5999999195,1,15,3629,blue,true,left,31,15,left,blue,2324,0
43181,89,671787.6949999481,1,90,3539,blue,false,right,90,31,left,orange,574,0
43181,90,674971.2749999017,0,0,3539,blue,false,left,80,76,left,blue,517,0
43181,91,678066.0249999491,0,0,3539,blue,false,right,78,4,right,blue,556,0
43181,92,681208.48999999,0,0,3539,blue,false,right,60,28,right,blue,606,0
43181,93,684389.9249999085,1,99,3440,blue,true,right,56,99,right,blue,553,0
43181,94,691549.9049999053,0,0,3440,blue,false,left,31,45,left,blue,870,0
43181,95,694995.9449999733,0,0,3440,blue,false,right,55,16,right,blue,619,0
43181,96,698154.7099999152,1,89,3351,blue,true,left,12,89,left,blue,773,0
43181,97,701521.1049999343,0,0,3351,blue,false,right,49,4,right,blue,1385,0
43181,98,705484.3049999326,0,0,3351,blue,false,right,69,12,right,blue,655,0
43181,99,708709.9699999671,1,26,3325,blue,true,right,49,26,right,blue,799,0
43181,100,712097.119999933,0,0,3325,blue,false,right,75,76,right,blue,593,0
43181,101,715268.919999944,1,22,3303,blue,false,right,22,90,left,orange,2028,0
43181,102,719856.0949999373,1,23,3280,blue,true,right,26,23,right,blue,425,0
43181,103,722860.2299999911,0,0,3280,blue,false,left,11,68,left,blue,786,0
43181,104,726251.8249999266,1,82,3198,blue,true,right,71,82,right,blue,1239,0
43181,105,730087.6299999654,0,0,3198,blue,false,right,86,95,right,blue,1587,0
43181,106,734260.8699999982,0,0,3198,blue,false,left,79,88,left,blue,1804,0
43181,107,738664.6600000095,0,0,3198,blue,false,left,75,40,left,blue,893,0
43181,108,742148.2249998953,0,0,3198,blue,false,right,11,94,right,blue,1522,0
43181,109,746247.7299999446,1,44,3154,blue,true,left,53,44,left,blue,861,0
43181,110,749697.6899999427,0,0,3154,blue,false,left,85,17,left,blue,1269,0
43181,111,753538.8199998997,1,32,3122,blue,true,left,85,32,left,blue,564,0
43181,112,756693.8399999635,0,0,3122,blue,false,right,38,68,right,blue,533,0
43181,113,759794.9149999768,0,0,3122,blue,false,right,28,93,right,blue,710,0
43181,114,763060.749999946,1,13,3109,blue,false,right,13,95,left,orange,2284,0
43181,115,767937.6199999824,0,0,3109,blue,false,right,69,60,right,blue,638,0
43181,116,771165.4049999779,1,95,3014,blue,true,left,56,95,left,blue,543,0
43181,117,774284.2099999543,0,0,3014,blue,false,right,2,41,right,blue,1415,0
43181,118,778242.4199999077,0,0,3014,blue,false,right,42,5,right,blue,1221,0
43181,119,782054.5949999942,0,0,3014,blue,false,right,44,30,right,blue,1009,0
43181,120,785650.7849999471,1,79,2935,blue,false,right,79,4,left,orange,1350,0
43181,121,789596.8700000085,0,0,2935,blue,false,right,83,87,right,blue,473,0
43181,122,792662.7649998991,0,0,2935,blue,false,left,59,44,left,blue,544,0
43181,123,795794.4499999285,1,10,2925,blue,true,right,15,10,right,blue,577,0
43181,124,798970.644999994,0,0,2925,blue,false,left,60,15,left,blue,1007,0
43181,125,802551.114999922,0,0,2925,blue,false,right,73,25,right,blue,644,0
43181,126,805758.0249999883,0,0,2925,blue,false,right,43,23,right,blue,538,0
43181,127,808875.3399999114,0,0,2925,blue,false,left,22,87,left,blue,589,0
43181,128,812075.7649999578,1,77,2848,blue,true,left,27,77,left,blue,743,0
43181,129,815409.4049999258,0,0,2848,blue,false,left,99,35,left,blue,570,0
43181,130,818549.7449999675,1,39,2809,blue,true,right,49,39,right,blue,546,0
43181,131,821701.2099999702,0,0,2809,blue,false,right,83,60,right,blue,1061,0
43181,132,825340.649999911,1,54,2755,blue,true,left,61,54,left,blue,584,0
43181,133,828506.539999973,0,0,2755,blue,false,right,82,34,right,blue,1317,0
43181,134,832396.8949998962,0,0,2755,blue,false,right,96,86,right,blue,1113,0
43181,135,836086.4749999018,0,0,2755,blue,false,right,65,27,right,blue,695,0
43181,136,839367.5899999216,0,0,2755,blue,false,left,63,93,left,blue,1330,0
43181,137,843297.6550000021,0,0,2755,blue,false,right,65,40,right,blue,704,0
43181,138,846584.9099999759,0,0,2755,blue,false,right,7,69,right,blue,1162,0
43181,139,850340.0449999608,1,28,2727,blue,true,left,94,28,left,blue,537,0
43181,140,853482.0949999848,1,90,2637,blue,false,left,90,4,right,orange,1752,0
