Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
44108,1,165287.23000001628,1,37,4963,blue,true,right,44,37,right,blue,1314,0
44108,2,169133.20000004023,1,12,4951,blue,true,right,66,12,right,blue,1096,0
44108,3,172754.4250000501,0,0,4951,blue,true,right,98,9,left,orange,1225,0
44108,4,176501.1700000614,1,20,4931,blue,false,left,20,91,right,orange,910,0
44108,5,179935.85000000894,0,0,4931,blue,true,left,28,8,right,orange,1331,0
44108,6,183791.685000062,0,0,4931,blue,true,right,30,33,left,orange,1396,0
44108,7,187715.20000009332,0,0,4931,blue,true,right,27,24,left,orange,1136,0
44108,8,191371.7600000091,1,58,4873,blue,false,right,58,43,left,orange,1037,0
44108,9,194937.76500003878,1,47,4826,blue,true,right,72,47,right,blue,1463,0
44108,10,198928.990000044,1,44,4782,blue,false,right,44,44,left,orange,1105,0
44108,11,202571.34000002407,1,26,4756,blue,true,left,69,26,left,blue,1055,0
44108,12,206150.46500007156,0,0,4756,blue,true,right,6,41,left,orange,684,0
44108,13,209354.85500004143,0,0,4756,blue,true,right,88,34,left,orange,1230,0
44108,14,213104.3050000444,1,73,4683,blue,false,right,73,18,left,orange,1265,0
44108,15,216898.93500006292,1,25,4658,blue,true,left,60,25,left,blue,1791,0
44108,16,221222.24500006996,1,6,4652,blue,true,left,68,6,left,blue,784,0
44108,17,224540.62500002328,1,48,4604,blue,false,right,48,39,left,orange,1019,0
44108,18,228083.84000009391,0,0,4604,blue,true,right,35,76,left,orange,1228,0
44108,19,231834.28500010632,0,0,4604,blue,true,right,23,85,left,orange,604,0
44108,20,234965.88000003248,0,0,4604,blue,true,right,54,22,left,orange,872,0
44108,21,238360.7000000775,1,66,4538,blue,false,left,66,58,right,orange,870,0
44108,22,241758.8500001002,0,0,4538,blue,true,right,98,41,left,orange,1191,0
44108,23,245468.06500002276,0,0,4538,blue,true,left,58,80,right,orange,1585,0
44108,24,249571.65500009432,0,0,4538,blue,true,right,32,85,left,orange,1145,0
44108,25,253238.0500000436,1,83,4455,blue,false,left,83,15,right,orange,935,0
44108,26,256699.63500008453,0,0,4455,blue,true,left,18,16,right,orange,874,0
44108,27,260090.5700000003,0,0,4455,blue,true,left,56,99,right,orange,963,0
44108,28,263575.55500010494,1,75,4380,blue,true,left,23,75,left,blue,1258,0
44108,29,267369.23000006936,0,0,4380,blue,true,left,68,18,right,orange,1373,0
44108,30,271263.6300000595,0,0,4380,blue,true,right,30,16,left,orange,805,0
44108,31,274589.90500005893,0,0,4380,blue,true,left,86,37,right,orange,814,0
44108,32,277928.6500000162,0,0,4380,blue,true,right,47,44,left,orange,707,0
44108,33,281154.86000000965,1,91,4289,blue,true,left,3,91,left,blue,1200,0
44108,34,284896.1450000061,1,60,4229,blue,false,right,60,14,left,orange,587,0
44108,35,288012.20500003546,0,0,4229,blue,true,left,54,84,right,orange,807,0
44108,36,291337.98000006936,0,0,4229,blue,true,right,34,23,left,orange,609,0
44108,37,294475.3750000382,0,0,4229,blue,true,left,96,28,right,orange,1192,0
44108,38,298184.07000007574,1,83,4146,blue,false,right,83,94,left,orange,680,0
44108,39,301393.92000006046,0,0,4146,blue,true,right,63,86,left,orange,665,0
44108,40,304586.6800000658,0,0,4146,blue,true,left,99,53,right,orange,924,0
44108,41,308032.450000057,0,0,4146,blue,true,left,29,91,right,orange,671,0
44108,42,311229.87999999896,0,0,4146,blue,true,right,88,64,left,orange,905,0
44108,43,314657.59499999695,0,0,4146,blue,true,left,84,70,right,orange,709,0
44108,44,317887.5200001057,1,61,4085,blue,false,left,61,88,right,orange,584,0
44108,45,321001.77500001155,0,0,4085,blue,true,left,61,43,right,orange,757,0
44108,46,324279.9000000814,1,54,4031,blue,true,left,87,54,left,blue,1176,0
44108,47,327986.2350000767,1,5,4026,blue,false,right,5,90,left,orange,668,0
44108,48,335193.95000010263,1,44,3982,blue,true,left,71,44,left,blue,1148,0
44108,49,338869.7200000752,0,0,3982,blue,true,right,42,52,left,orange,493,0
44108,50,341884.7750000423,0,0,3982,blue,true,left,39,93,right,orange,551,0
