Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
47296,1,175303.60266271656,0,0,5000,blue,true,right,23,10,left,orange,1348,0
47296,2,179250.40257924396,0,0,5000,blue,true,right,45,97,left,orange,391,0
47296,3,182264.7023894758,0,0,5000,blue,true,right,54,62,left,orange,311,0
47296,4,185222.00235463041,1,99,4901,blue,false,left,99,16,right,orange,1477,0
47296,5,189346.20251092158,0,0,4901,blue,true,left,72,40,right,orange,1082,0
47296,6,193033.60259918356,0,0,4901,blue,true,left,98,88,right,orange,669,0
47296,7,196303.30259151073,0,0,4901,blue,true,left,6,54,right,orange,368,0
47296,8,199284.4025039818,0,0,4901,blue,true,right,64,55,left,orange,1408,0
47296,9,203310.60253222956,1,96,4805,blue,false,right,96,45,left,orange,533,0
47296,10,206475.90266941194,0,0,4805,blue,true,right,28,19,left,orange,764,0
47296,11,209831.60238512623,0,0,4805,blue,true,left,95,26,right,orange,803,0
47296,12,213239.9025306168,0,0,4805,blue,true,left,90,29,right,orange,917,0
47296,13,216776.8027364148,0,0,4805,blue,true,right,20,53,left,orange,652,0
47296,14,220040.5027707715,0,0,4805,blue,true,left,74,56,right,orange,607,0
47296,15,223246.00267522765,1,42,4763,blue,true,right,18,42,right,blue,918,0
47296,16,226782.8026943853,0,0,4763,blue,true,left,11,91,right,orange,1188,0
47296,17,230577.8027457004,1,32,4731,blue,false,right,32,31,left,orange,587,0
47296,18,233778.3026037286,0,0,4731,blue,true,right,36,65,left,orange,577,0
47296,19,236960.10274750864,1,40,4691,blue,false,left,40,30,right,orange,1449,0
47296,20,241049.702347935,0,0,4691,blue,true,left,29,26,right,orange,376,0
47296,21,244022.90266599093,1,32,4659,blue,false,left,32,36,right,orange,533,0
47296,22,247193.4027341667,0,0,4659,blue,true,right,72,81,left,orange,620,0
47296,23,250402.40232902172,1,95,4564,blue,false,left,95,54,right,orange,765,0
47296,24,253797.9025315942,1,40,4524,blue,false,right,40,59,left,orange,434,0
47296,25,256860.0026097398,0,0,4524,blue,false,left,29,24,left,blue,699,0
47296,26,260158.00264004015,0,0,4524,blue,false,left,60,51,left,blue,390,0
47296,27,263146.50267987046,0,0,4524,blue,false,left,83,65,left,blue,388,0
47296,28,266137.3026139916,0,0,4524,blue,true,right,78,98,left,orange,944,0
47296,29,269680.90261809685,1,56,4468,blue,false,right,56,51,left,orange,414,0
47296,30,272714.8023561943,0,0,4468,blue,false,left,5,20,left,blue,617,0
47296,31,275926.6027785421,0,0,4468,blue,false,left,67,2,left,blue,424,0
47296,32,278959.4024184566,0,0,4468,blue,false,left,85,84,left,blue,577,0
47296,33,282120.6027228285,0,0,4468,blue,true,right,7,49,left,orange,532,0
47296,34,285235.00267082924,0,0,4468,blue,false,left,37,47,left,blue,542,0
47296,35,288380.2024356594,1,27,4441,blue,false,right,27,91,left,orange,370,0
47296,36,291381.60260504816,1,44,4397,blue,false,right,44,42,left,orange,431,0
47296,37,294443.20272742246,1,55,4342,blue,true,right,31,55,right,blue,586,0
47296,38,297671.60236557765,0,0,4342,blue,false,left,97,70,left,blue,492,0
47296,39,300764.4025626276,0,0,4342,blue,false,left,14,9,left,blue,498,0
47296,40,303863.80237134447,0,0,4342,blue,true,right,23,51,left,orange,384,0
47296,41,306856.10266149474,1,79,4263,blue,true,left,89,79,left,blue,330,0
47296,42,309806.1026859305,1,86,4177,blue,true,left,83,86,left,blue,443,0
47296,43,312877.50252787995,0,0,4177,blue,true,left,40,62,right,orange,408,0
47296,44,315875.40251815453,1,23,4154,blue,true,right,36,23,right,blue,922,0
47296,45,319439.0027079716,0,0,4154,blue,true,right,65,61,left,orange,656,0
47296,46,322698.30234959663,0,0,4154,blue,true,right,74,67,left,orange,539,0
47296,47,325846.00238199846,0,0,4154,blue,true,right,73,41,left,orange,384,0
47296,48,332863.2027176481,1,96,4058,blue,false,right,96,54,left,orange,642,0
47296,49,336115.802560966,0,0,4058,blue,true,right,86,88,left,orange,497,0
47296,50,339196.1023975885,0,0,4058,blue,true,right,43,66,left,orange,351,0
47296,51,342149.3025299326,0,0,4058,blue,true,left,72,79,right,orange,1037,0
47296,52,345777.70246131694,1,71,3987,blue,false,left,71,13,right,orange,460,0
47296,53,348860.4023788707,0,0,3987,blue,true,left,78,53,right,orange,630,0
47296,54,352079.6024398624,0,0,3987,blue,true,left,57,90,right,orange,507,0
47296,55,355185.50265103625,1,3,3984,blue,false,left,3,12,right,orange,576,0
47296,56,358376.80244318564,0,0,3984,blue,true,left,2,64,right,orange,489,0
47296,57,361465.40262078476,0,0,3984,blue,true,left,99,9,right,orange,374,0
47296,58,364444.70259473624,0,0,3984,blue,true,right,21,42,left,orange,1316,0
47296,59,368369.1027333359,0,0,3984,blue,true,left,83,72,right,orange,699,0
47296,60,371690.6026397469,0,0,3984,blue,true,left,37,11,right,orange,442,0
47296,61,374745.3025905333,1,67,3917,blue,false,left,67,81,right,orange,681,0
47296,62,378088.20236332953,0,0,3917,blue,true,right,12,14,left,orange,541,0
47296,63,381244.10255006764,1,78,3839,blue,false,right,78,90,left,orange,535,0
47296,64,384411.5026969755,0,0,3839,blue,false,left,46,53,left,blue,578,0
47296,65,387599.60238121653,1,30,3809,blue,false,left,30,42,right,orange,418,0
47296,66,390673.9027485838,1,36,3773,blue,false,right,36,65,left,orange,1197,0
47296,67,394585.1026864192,1,49,3724,blue,false,left,49,49,right,orange,1199,0
47296,68,398466.30234568694,1,44,3680,blue,false,left,44,10,right,orange,465,0
47296,69,401566.7025546616,1,70,3610,blue,false,left,70,64,right,orange,410,0
47296,70,404620.00233605923,1,68,3542,blue,false,left,68,95,right,orange,382,0
47296,71,407646.5024355128,0,0,3542,blue,false,right,38,46,right,blue,830,0
47296,72,411081.00260925106,0,0,3542,blue,false,left,18,24,left,blue,464,0
47296,73,414146.8027510763,0,0,3542,blue,false,right,82,78,right,blue,500,0
47296,74,417249.1025964956,0,0,3542,blue,false,right,59,54,right,blue,554,0
47296,75,420396.2024864858,0,0,3542,blue,false,left,36,33,left,blue,729,0
47296,76,423722.4023681189,1,56,3486,blue,true,left,49,56,left,blue,501,0
47296,77,426856.20235941984,0,0,3486,blue,false,left,26,83,left,blue,598,0
47296,78,430056.3024483171,0,0,3486,blue,false,left,38,81,left,blue,519,0
47296,79,433174.20257543196,0,0,3486,blue,false,left,12,3,left,blue,451,0
47296,80,436223.60240858455,0,0,3486,blue,false,right,62,38,right,blue,901,0
47296,81,439720.80231416475,0,0,3486,blue,false,right,43,50,right,blue,394,0
47296,82,442715.40249860595,0,0,3486,blue,false,left,50,47,left,blue,609,0
47296,83,445931.0026825584,1,35,3451,blue,true,right,41,35,right,blue,600,0
47296,84,449158.30271124595,0,0,3451,blue,false,left,9,62,left,blue,645,0
47296,85,452401.4024174792,0,0,3451,blue,false,right,60,58,right,blue,609,0
47296,86,455595.70243297144,0,0,3451,blue,false,right,88,31,right,blue,349,0
47296,87,458538.302330048,0,0,3451,blue,false,left,56,44,left,blue,618,0
47296,88,461754.902425543,1,15,3436,blue,true,left,31,15,left,blue,530,0
47296,89,464906.8024773957,0,0,3436,blue,false,left,90,31,left,blue,408,0
47296,90,467912.8024353662,0,0,3436,blue,false,right,80,76,right,blue,715,0
47296,91,471227.60254347,0,0,3436,blue,false,left,78,4,left,blue,644,0
47296,92,474458.70233376225,0,0,3436,blue,false,left,60,28,left,blue,855,0
47296,93,477913.6024623433,1,99,3337,blue,true,left,56,99,left,blue,664,0
47296,94,485259.9027163286,0,0,3337,blue,false,left,31,45,left,blue,715,0
47296,95,488564.90261614194,0,0,3337,blue,false,right,55,16,right,blue,776,0
47296,96,491932.60273651254,1,89,3248,blue,true,right,12,89,right,blue,408,0
47296,97,494972.00247680925,0,0,3248,blue,false,left,49,4,left,blue,647,0
47296,98,498214.30264478066,0,0,3248,blue,false,right,69,12,right,blue,591,0
47296,99,501403.2023559988,1,26,3222,blue,true,right,49,26,right,blue,450,0
47296,100,504476.4026251832,0,0,3222,blue,false,left,75,76,left,blue,585,0
47296,101,507657.50243991124,0,0,3222,blue,false,left,22,90,left,blue,465,0
47296,102,510716.0026410176,1,23,3199,blue,true,left,26,23,left,blue,744,0
47296,103,514095.8023752542,1,11,3188,blue,false,left,11,68,right,orange,425,0
47296,104,517150.4026281155,0,0,3188,blue,true,right,71,82,left,orange,448,0
47296,105,520200.8023728106,0,0,3188,blue,false,left,86,95,left,blue,584,0
47296,106,523379.40240868233,0,0,3188,blue,false,right,79,88,right,blue,603,0
47296,107,526576.6024608771,0,0,3188,blue,false,left,75,40,left,blue,537,0
47296,108,529696.6025977174,0,0,3188,blue,false,left,11,94,left,blue,564,0
47296,109,532857.4026442431,1,44,3144,blue,true,left,53,44,left,blue,560,0
47296,110,536058.8027158887,0,0,3144,blue,false,right,85,17,right,blue,639,0
47296,111,539290.8027197985,1,32,3112,blue,true,right,85,32,right,blue,474,0
47296,112,542393.1025652179,0,0,3112,blue,false,left,38,68,left,blue,760,0
47296,113,545756.5024794972,0,0,3112,blue,false,right,28,93,right,blue,554,0
47296,114,548906.1026370589,0,0,3112,blue,false,left,13,95,left,blue,501,0
47296,115,552013.5027155466,0,0,3112,blue,false,right,69,60,right,blue,569,0
47296,116,555184.0027837225,1,95,3017,blue,true,left,56,95,left,blue,534,0
47296,117,558352.7024246633,0,0,3017,blue,false,right,2,41,right,blue,442,0
47296,118,561382.702703231,0,0,3017,blue,false,left,42,5,left,blue,557,0
47296,119,564533.202585695,0,0,3017,blue,false,left,44,30,left,blue,439,0
47296,120,567586.1025979618,0,0,3017,blue,false,right,79,4,right,blue,602,0
47296,121,570789.7023772579,0,0,3017,blue,false,right,83,87,right,blue,392,0
47296,122,573784.9027041107,0,0,3017,blue,false,right,59,44,right,blue,475,0
47296,123,576861.4027791285,1,10,3007,blue,true,left,15,10,left,blue,593,0
47296,124,580091.2025866724,0,0,3007,blue,false,right,60,15,right,blue,598,0
47296,125,583293.4026852952,0,0,3007,blue,false,right,73,25,right,blue,412,0
47296,126,586302.4023778932,0,0,3007,blue,false,right,43,23,right,blue,2192,0
47296,127,591082.202405359,0,0,3007,blue,false,left,22,87,left,blue,509,0
47296,128,594183.9025970821,1,77,2930,blue,true,right,27,77,right,blue,476,0
47296,129,597303.6026627165,0,0,2930,blue,false,left,99,35,left,blue,465,0
47296,130,600369.3026179013,1,39,2891,blue,true,right,49,39,right,blue,596,0
47296,131,603613.1026531866,0,0,2891,blue,false,right,83,60,right,blue,1190,0
47296,132,607403.1026580738,1,54,2837,blue,true,left,61,54,left,blue,385,0
47296,133,610415.5023431455,0,0,2837,blue,false,left,82,34,left,blue,641,0
47296,134,613661.6027614371,1,96,2741,blue,false,right,96,86,left,orange,349,0
47296,135,616647.0023912841,1,65,2676,blue,false,left,65,27,right,orange,405,0
47296,136,619689.1027724331,0,0,2676,blue,false,right,63,93,right,blue,951,0
47296,137,623237.8025208913,0,0,2676,blue,false,right,65,40,right,blue,395,0
47296,138,626224.2025509962,0,0,2676,blue,false,right,7,69,right,blue,358,0
47296,139,629184.3023662129,1,28,2648,blue,true,left,94,28,left,blue,896,0
47296,140,632708.6025136583,0,0,2648,blue,false,right,90,4,right,blue,662,0
