Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
47333,1,203734,0,0,5000,blue,true,right,23,10,left,orange,768,0
47333,2,207023,1,97,4903,blue,true,left,45,97,left,blue,69,0
47333,3,209609,1,62,4841,blue,true,left,54,62,left,blue,355,0
47333,4,212484,1,99,4742,blue,false,right,99,16,left,orange,240,0
47333,5,215242.00000000003,0,0,4742,blue,true,right,72,40,left,orange,355,0
47333,6,218113,0,0,4742,blue,true,right,98,88,left,orange,218,0
47333,7,220849.00000000003,0,0,4742,blue,true,right,6,54,left,orange,1143,0
47333,8,224508,1,55,4687,blue,true,left,64,55,left,blue,808,0
47333,9,227834,0,0,4687,blue,false,left,96,45,left,blue,838,0
47333,10,231187,1,19,4668,blue,true,left,28,19,left,blue,817,0
47333,11,234522,1,26,4642,blue,true,left,95,26,left,blue,713,0
47333,12,237760,1,29,4613,blue,true,right,90,29,right,blue,1120,0
47333,13,241404,0,0,4613,blue,true,left,20,53,right,orange,768,0
47333,14,244691,0,0,4613,blue,true,left,74,56,right,orange,553,0
47333,15,247759,0,0,4613,blue,true,right,18,42,left,orange,543,0
47333,16,250818,0,0,4613,blue,true,left,11,91,right,orange,585,0
47333,17,253920.00000000003,0,0,4613,blue,false,left,32,31,left,blue,1287,0
47333,18,257725.00000000003,0,0,4613,blue,true,right,36,65,left,orange,1101,0
47333,19,261345.00000000003,1,40,4573,blue,false,right,40,30,left,orange,600,0
47333,20,264466,0,0,4573,blue,true,right,29,26,left,orange,715,0
47333,21,267698,1,32,4541,blue,false,right,32,36,left,orange,1279,0
47333,22,271501.00000000006,0,0,4541,blue,true,left,72,81,right,orange,790,0
47333,23,274808,0,0,4541,blue,false,right,95,54,right,blue,843,0
47333,24,278169,1,40,4501,blue,false,left,40,59,right,orange,995,0
47333,25,281685,1,29,4472,blue,false,left,29,24,right,orange,733,0
47333,26,284941.00000000006,0,0,4472,blue,false,left,60,51,left,blue,987,0
47333,27,288447,0,0,4472,blue,false,left,83,65,left,blue,976,0
47333,28,291944,0,0,4472,blue,true,left,78,98,right,orange,3188,0
47333,29,297650.00000000006,0,0,4472,blue,false,right,56,51,right,blue,1055,0
47333,30,301221,1,5,4467,blue,false,right,5,20,left,orange,582,0
47333,31,304327,0,0,4467,blue,false,left,67,2,left,blue,632,0
47333,32,307475,0,0,4467,blue,false,left,85,84,left,blue,1180,0
47333,33,316685,0,0,4467,blue,true,right,7,49,left,orange,577,1
47333,34,319783,1,37,4430,blue,false,right,37,47,left,orange,941,0
47333,35,323246,1,27,4403,blue,false,right,27,91,left,orange,595,0
47333,36,326370,0,0,4403,blue,false,left,44,42,left,blue,853,0
47333,37,329743,0,0,4403,blue,true,right,31,55,left,orange,1334,0
47333,38,339109,0,0,4403,blue,false,right,97,70,right,blue,490,1
47333,39,342119,0,0,4403,blue,false,left,14,9,left,blue,578,0
47333,40,345214,0,0,4403,blue,true,right,23,51,left,orange,491,0
47333,41,348221,0,0,4403,blue,true,right,89,79,left,orange,587,0
47333,42,351327,0,0,4403,blue,true,left,83,86,right,orange,713,0
47333,43,354559,0,0,4403,blue,true,right,40,62,left,orange,483,0
47333,44,357559,0,0,4403,blue,true,right,36,23,left,orange,900,0
47333,45,360978,1,61,4342,blue,true,right,65,61,right,blue,779,0
47333,46,364287.00000000006,0,0,4342,blue,true,right,74,67,left,orange,811,0
47333,47,367615,1,41,4301,blue,true,right,73,41,right,blue,777,0
47333,48,374920,0,0,4301,blue,false,left,96,54,left,blue,1169,0
47333,49,378611,0,0,4301,blue,true,left,86,88,right,orange,649,0
47333,50,381782,0,0,4301,blue,true,left,43,66,right,orange,1067,0
47333,51,385366,0,0,4301,blue,true,right,72,79,left,orange,1093,0
47333,52,388976,0,0,4301,blue,false,left,71,13,left,blue,1020,0
47333,53,392513.00000000006,1,53,4248,blue,true,left,78,53,left,blue,924,0
47333,54,395959,1,90,4158,blue,true,right,57,90,right,blue,933,0
47333,55,399414,1,3,4155,blue,false,right,3,12,left,orange,653,0
47333,56,402589,0,0,4155,blue,true,right,2,64,left,orange,711,0
47333,57,405819,1,9,4146,blue,true,right,99,9,right,blue,778,0
47333,58,409120,0,0,4146,blue,true,left,21,42,right,orange,558,0
47333,59,412199,1,72,4074,blue,true,left,83,72,left,blue,967,0
47333,60,415691.00000000006,1,11,4063,blue,true,left,37,11,left,blue,690,0
47333,61,418901,0,0,4063,blue,false,right,67,81,right,blue,1082,0
47333,62,422500,1,14,4049,blue,true,left,12,14,left,blue,387,0
47333,63,425412.00000000006,0,0,4049,blue,false,right,78,90,right,blue,457,0
47333,64,428386,1,46,4003,blue,false,right,46,53,left,orange,1505,0
47333,65,432410,0,0,4003,blue,false,right,30,42,right,blue,655,0
47333,66,435584,0,0,4003,blue,false,left,36,65,left,blue,643,0
47333,67,438747,1,49,3954,blue,false,left,49,49,right,orange,550,0
47333,68,441825,0,0,3954,blue,false,left,44,10,left,blue,892,0
47333,69,445235,0,0,3954,blue,false,right,70,64,right,blue,547,0
47333,70,448302,0,0,3954,blue,false,left,68,95,left,blue,1392,0
47333,71,452211,0,0,3954,blue,false,right,38,46,right,blue,1225,0
47333,72,461462,1,18,3936,blue,false,left,18,24,right,orange,633,1
47333,73,464619,0,0,3936,blue,false,left,82,78,left,blue,425,0
47333,74,467560,0,0,3936,blue,false,right,59,54,right,blue,601,0
47333,75,470684,1,36,3900,blue,false,right,36,33,left,orange,617,0
47333,76,473827,0,0,3900,blue,true,left,49,56,right,orange,311,0
47333,77,476653,0,0,3900,blue,false,left,26,83,left,blue,497,0
47333,78,479672,0,0,3900,blue,false,right,38,81,right,blue,338,0
47333,79,482529,0,0,3900,blue,false,right,12,3,right,blue,657,0
47333,80,485702,1,62,3838,blue,false,right,62,38,left,orange,364,0
47333,81,488586,1,43,3795,blue,false,left,43,50,right,orange,381,0
47333,82,491490,1,50,3745,blue,false,left,50,47,right,orange,488,0
47333,83,494500,0,0,3745,blue,true,right,41,35,left,orange,907,0
47333,84,497925,1,9,3736,blue,false,right,9,62,left,orange,1126,0
47333,85,501577,0,0,3736,blue,false,right,60,58,right,blue,468,0
47333,86,504562,1,88,3648,blue,false,left,88,31,right,orange,951,0
47333,87,508033,1,56,3592,blue,false,left,56,44,right,orange,663,0
47333,88,511219,1,15,3577,blue,true,left,31,15,left,blue,899,0
47333,89,514640,0,0,3577,blue,false,right,90,31,right,blue,1272,0
47333,90,523946,1,80,3497,blue,false,left,80,76,right,orange,94,1
47333,91,526571,0,0,3497,blue,false,left,78,4,left,blue,619,0
47333,92,529706,1,60,3437,blue,false,right,60,28,left,orange,634,0
47333,93,532867,1,99,3338,blue,true,right,56,99,right,blue,417,0
47333,94,539810.0000000001,1,31,3307,blue,false,right,31,45,left,orange,638,0
