Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
47773,1,74373.15999995917,1,37,4963,blue,true,left,44,37,left,blue,1824,0
47773,2,78722.52499999013,1,12,4951,blue,true,left,66,12,left,blue,657,0
47773,3,81901.70499996748,1,9,4942,blue,true,right,98,9,right,blue,1186,0
47773,4,85612.75999993086,1,20,4922,blue,false,right,20,91,left,orange,979,0
47773,5,89117.20500001684,1,8,4914,blue,true,right,28,8,right,blue,566,0
47773,6,92217.75499999058,0,0,4914,blue,true,left,30,33,right,orange,1421,0
47773,7,96166.57999996096,0,0,4914,blue,true,left,27,24,right,orange,948,0
47773,8,99639.08999995328,1,58,4856,blue,false,right,58,43,left,orange,1771,0
47773,9,103940.32499997411,1,47,4809,blue,true,right,72,47,right,blue,1315,0
47773,10,107772.69000001252,1,44,4765,blue,false,right,44,44,left,orange,728,0
47773,11,111026.29499998875,1,26,4739,blue,true,left,69,26,left,blue,619,0
47773,12,114174.89499994554,1,41,4698,blue,true,left,6,41,left,blue,1607,0
47773,13,118312.6850000117,1,34,4664,blue,true,left,88,34,left,blue,1775,0
47773,14,122614.09499996807,1,73,4591,blue,false,left,73,18,right,orange,1426,0
47773,15,126562.96999996994,1,25,4566,blue,true,right,60,25,right,blue,870,0
47773,16,129966.93999995477,1,6,4560,blue,true,left,68,6,left,blue,565,0
47773,17,133067.3549999483,1,48,4512,blue,false,right,48,39,left,orange,1059,0
47773,18,136650.54499998223,0,0,4512,blue,true,left,35,76,right,orange,592,0
47773,19,139766.82499994058,0,0,4512,blue,true,right,23,85,left,orange,937,0
47773,20,143238.4300000267,0,0,4512,blue,true,left,54,22,right,orange,975,0
47773,21,146737.27000004146,1,66,4446,blue,false,right,66,58,left,orange,667,0
47773,22,149942.32999999076,1,41,4405,blue,true,left,98,41,left,blue,993,0
47773,23,153459.81499995105,0,0,4405,blue,true,left,58,80,right,orange,862,0
