Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
48999,1,449106.95499999565,1,37,4963,blue,true,left,44,37,left,blue,819,0
48999,2,452563.7299999944,0,0,4963,blue,true,right,66,12,left,orange,595,0
48999,3,455764.9450000026,0,0,4963,blue,true,right,98,9,left,orange,382,0
48999,4,458783.6050000042,1,20,4943,blue,false,right,20,91,left,orange,315,0
48999,5,461697.5150000071,0,0,4943,blue,true,right,28,8,left,orange,396,0
48999,6,464716.1250000063,0,0,4943,blue,true,left,30,33,right,orange,417,0
48999,7,467764.5150000171,0,0,4943,blue,true,left,27,24,right,orange,359,0
48999,8,470738.2950000174,1,58,4885,blue,false,right,58,43,left,orange,331,0
48999,9,473717.83500001766,0,0,4885,blue,true,right,72,47,left,orange,770,0
48999,10,477125.62500001513,0,0,4885,blue,false,left,44,44,left,blue,552,0
48999,11,480285.43499999796,1,26,4859,blue,true,right,69,26,right,blue,490,0
48999,12,483406.3749999914,0,0,4859,blue,true,left,6,41,right,orange,1256,0
48999,13,487285.8750000014,1,34,4825,blue,true,left,88,34,left,blue,828,0
48999,14,490762.149999995,0,0,4825,blue,false,right,73,18,right,blue,851,0
48999,15,494194.8449999909,1,25,4800,blue,true,right,60,25,right,blue,362,0
48999,16,497170.5249999941,1,6,4794,blue,true,left,68,6,left,blue,671,0
48999,17,500468.8099999912,0,0,4794,blue,false,right,48,39,right,blue,413,0
48999,18,503507.6049999916,1,76,4718,blue,true,right,35,76,right,blue,605,0
48999,19,506747.10500001675,0,0,4718,blue,true,left,23,85,right,orange,638,0
48999,20,510016.1450000014,1,22,4696,blue,true,right,54,22,right,blue,706,0
48999,21,513363.68499998935,0,0,4696,blue,false,left,66,58,left,blue,958,0
48999,22,516944.5800000103,1,41,4655,blue,true,left,98,41,left,blue,749,0
48999,23,520334.915000014,0,0,4655,blue,true,left,58,80,right,orange,963,0
48999,24,523901.0600000038,0,0,4655,blue,true,left,32,85,right,orange,758,0
48999,25,527273.4350000101,0,0,4655,blue,false,left,83,15,left,blue,533,0
48999,26,530427.8950000007,1,16,4639,blue,true,right,18,16,right,blue,1468,0
