Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
49248,1,212145,0,0,5000,blue,true,right,44,37,left,orange,605,0
49248,2,215272,1,12,4988,blue,true,left,66,12,left,blue,1033,0
49248,3,218830,1,9,4979,blue,true,left,98,9,left,blue,941,0
49248,4,222294,1,20,4959,blue,false,left,20,91,right,orange,1359,0
49248,5,226176.00000000003,1,8,4951,blue,true,left,28,8,left,blue,1336,0
49248,6,230035,0,0,4951,blue,true,left,30,33,right,orange,616,0
49248,7,233169,0,0,4951,blue,true,right,27,24,left,orange,732,0
49248,8,236422,1,58,4893,blue,false,left,58,43,right,orange,731,0
49248,9,239676.00000000003,1,47,4846,blue,true,left,72,47,left,blue,1145,0
49248,10,243346,1,44,4802,blue,false,left,44,44,right,orange,1852,0
49248,11,247721,1,26,4776,blue,true,right,69,26,right,blue,1291,0
49248,12,251537,0,0,4776,blue,true,right,6,41,left,orange,704,0
49248,13,254762,0,0,4776,blue,true,left,88,34,right,orange,671,0
49248,14,257957,1,73,4703,blue,false,left,73,18,right,orange,742,0
49248,15,261221,1,25,4678,blue,true,right,60,25,right,blue,1044,0
49248,16,264788,1,6,4672,blue,true,right,68,6,right,blue,1133,0
49248,17,268448,1,48,4624,blue,false,right,48,39,left,orange,1115,0
49248,18,272086,0,0,4624,blue,true,right,35,76,left,orange,1039,0
49248,19,275644,0,0,4624,blue,true,left,23,85,right,orange,1530,0
49248,20,279697,1,22,4602,blue,true,right,54,22,right,blue,1033,0
49248,21,283254,1,66,4536,blue,false,right,66,58,left,orange,1032,0
49248,22,286809,1,41,4495,blue,true,left,98,41,left,blue,1178,0
49248,23,290509,1,80,4415,blue,true,left,58,80,left,blue,1259,0
49248,24,294290,1,85,4330,blue,true,right,32,85,right,blue,548,0
49248,25,297362,1,83,4247,blue,false,left,83,15,right,orange,593,0
49248,26,300480,1,16,4231,blue,true,right,18,16,right,blue,1176,0
49248,27,304181,1,99,4132,blue,true,left,56,99,left,blue,1222,0
49248,28,307926,0,0,4132,blue,true,right,23,75,left,orange,1585,0
49248,29,312028,0,0,4132,blue,true,left,68,18,right,orange,485,0
49248,30,315033,0,0,4132,blue,true,right,30,16,left,orange,587,0
49248,31,318139,0,0,4132,blue,true,right,86,37,left,orange,552,0
49248,32,321215.00000000006,0,0,4132,blue,true,left,47,44,right,orange,671,0
49248,33,324406,0,0,4132,blue,true,right,3,91,left,orange,644,0
49248,34,327570,1,60,4072,blue,false,right,60,14,left,orange,995,0
49248,35,331090.00000000006,0,0,4072,blue,true,left,54,84,right,orange,952,0
49248,36,334562,0,0,4072,blue,true,left,34,23,right,orange,619,0
49248,37,337700,0,0,4072,blue,true,left,96,28,right,orange,776,0
49248,38,340995,1,83,3989,blue,false,left,83,94,right,orange,652,0
49248,39,344172,1,86,3903,blue,true,left,63,86,left,blue,878,0
49248,40,347573,0,0,3903,blue,true,left,99,53,right,orange,593,0
49248,41,350687,1,91,3812,blue,true,right,29,91,right,blue,1800,0
49248,42,355012,0,0,3812,blue,true,right,88,64,left,orange,533,0
49248,43,358065,0,0,3812,blue,true,right,84,70,left,orange,594,0
49248,44,361179.00000000006,1,61,3751,blue,false,left,61,88,right,orange,1379,0
49248,45,365084,0,0,3751,blue,true,right,61,43,left,orange,483,0
49248,46,368087,0,0,3751,blue,true,left,87,54,right,orange,877,0
49248,47,371485,1,5,3746,blue,false,right,5,90,left,orange,564,0
49248,48,378576,0,0,3746,blue,true,right,71,44,left,orange,1593,0
49248,49,382689,0,0,3746,blue,true,left,42,52,right,orange,578,0
49248,50,385788,1,93,3653,blue,true,right,39,93,right,blue,733,0
49248,51,389043,0,0,3653,blue,true,left,39,24,right,orange,745,0
49248,52,392308,1,20,3633,blue,false,left,20,10,right,orange,586,0
49248,53,395417.00000000006,0,0,3633,blue,false,left,85,43,left,blue,526,0
49248,54,398462,0,0,3633,blue,false,left,77,7,left,blue,429,0
49248,55,401410,1,90,3543,blue,true,left,95,90,left,blue,461,0
49248,56,404394,0,0,3543,blue,true,left,56,7,right,orange,571,0
49248,57,407483,0,0,3543,blue,true,left,50,69,right,orange,543,0
49248,58,410544,1,83,3460,blue,true,right,4,83,right,blue,643,0
49248,59,413710.00000000006,1,40,3420,blue,false,left,40,8,right,orange,638,0
49248,60,416871,1,86,3334,blue,true,right,47,86,right,blue,436,0
49248,61,419830,0,0,3334,blue,true,left,15,49,right,orange,685,0
49248,62,423037.00000000006,0,0,3334,blue,true,right,17,39,left,orange,586,0
49248,63,426141,1,76,3258,blue,false,left,76,97,right,orange,709,0
49248,64,429375,1,14,3244,blue,true,right,73,14,right,blue,469,0
49248,65,432366,1,29,3215,blue,true,right,67,29,right,blue,496,0
49248,66,435385,0,0,3215,blue,true,right,48,39,left,orange,631,0
49248,67,438535,0,0,3215,blue,true,right,30,99,left,orange,978,0
49248,68,442037.00000000006,1,13,3202,blue,false,right,13,20,left,orange,1022,0
49248,69,445581,0,0,3202,blue,true,left,66,59,right,orange,1721,0
49248,70,449822,0,0,3202,blue,true,right,20,60,left,orange,753,0
49248,71,453095,0,0,3202,blue,true,right,41,25,left,orange,645,0
49248,72,456258,1,76,3126,blue,false,left,76,70,right,orange,597,0
49248,73,459379,1,73,3053,blue,false,right,73,18,left,orange,717,0
49248,74,462621.00000000006,0,0,3053,blue,false,left,41,80,left,blue,579,0
49248,75,465720,1,76,2977,blue,true,left,25,76,left,blue,539,0
49248,76,468781,0,0,2977,blue,false,right,34,52,right,blue,625,0
49248,77,471925,0,0,2977,blue,false,right,30,60,right,blue,689,0
49248,78,475133.00000000006,0,0,2977,blue,false,left,91,36,left,blue,1137,0
49248,79,478790,1,70,2907,blue,false,left,70,59,right,orange,1226,0
49248,80,482541,1,47,2860,blue,true,right,64,47,right,blue,591,0
49248,81,485652,1,28,2832,blue,false,left,28,44,right,orange,765,0
49248,82,488940,1,2,2830,blue,false,right,2,80,left,orange,1741,0
49248,83,493204,1,20,2810,blue,false,right,20,39,left,orange,1438,0
49248,84,497165,0,0,2810,blue,false,left,32,61,left,blue,1099,0
49248,85,500783,0,0,2810,blue,false,right,90,61,right,blue,530,0
49248,86,503832,1,70,2740,blue,true,right,62,70,right,blue,822,0
49248,87,507175,1,17,2723,blue,false,left,17,33,right,orange,902,0
49248,88,510602.00000000006,0,0,2723,blue,false,left,74,17,left,blue,621,0
49248,89,513745,0,0,2723,blue,false,right,2,85,right,blue,652,0
49248,90,516916.00000000006,0,0,2723,blue,false,left,39,76,left,blue,709,0
49248,91,520145,0,0,2723,blue,false,left,70,20,left,blue,495,0
49248,92,523158,1,69,2654,blue,true,left,24,69,left,blue,623,0
49248,93,526304,1,52,2602,blue,true,left,59,52,left,blue,573,0
49248,94,533402,0,0,2602,blue,false,right,15,43,right,blue,876,0
49248,95,536800,1,34,2568,blue,true,right,50,34,right,blue,821,0
49248,96,540144,0,0,2568,blue,false,left,43,48,left,blue,1145,0
49248,97,543809,1,35,2533,blue,true,right,14,35,right,blue,583,0
49248,98,546915,1,42,2491,blue,true,left,12,42,left,blue,550,0
49248,99,549988,1,44,2447,blue,true,right,40,44,right,blue,548,0
49248,100,553057,0,0,2447,blue,true,right,88,50,left,orange,597,0
49248,101,556173,0,0,2447,blue,true,left,51,19,right,orange,472,0
49248,102,559164,1,59,2388,blue,true,left,44,59,left,blue,485,0
49248,103,562170,0,0,2388,blue,true,right,23,9,left,orange,516,0
49248,104,565207,0,0,2388,blue,true,right,23,76,left,orange,505,0
49248,105,568233.0000000001,0,0,2388,blue,true,left,94,47,right,orange,723,0
49248,106,571476,1,67,2321,blue,false,right,67,56,left,orange,918,0
49248,107,585950,0,0,2321,blue,true,left,50,16,right,orange,428,2
49248,108,588898,0,0,2321,blue,true,right,83,7,left,orange,473,0
49248,109,591889,0,0,2321,blue,true,right,86,41,left,orange,452,0
49248,110,594861,0,0,2321,blue,true,right,61,37,left,orange,384,0
49248,111,597764,1,82,2239,blue,false,left,82,57,right,orange,462,0
49248,112,600749,0,0,2239,blue,false,right,68,28,right,blue,502,0
49248,113,603771,0,0,2239,blue,false,right,65,76,right,blue,428,0
49248,114,606717,0,0,2239,blue,false,right,25,19,right,blue,464,0
49248,115,609700,0,0,2239,blue,false,left,67,68,left,blue,540,0
49248,116,612761,0,0,2239,blue,false,left,82,68,left,blue,520,0
49248,117,615799,0,0,2239,blue,false,left,88,19,left,blue,566,0
49248,118,618884,1,11,2228,blue,true,right,55,11,right,blue,462,0
49248,119,621868,0,0,2228,blue,true,right,74,36,left,orange,560,0
49248,120,624948,0,0,2228,blue,false,right,18,64,right,blue,473,0
49248,121,627941,1,15,2213,blue,false,right,15,3,left,orange,546,0
49248,122,631011,1,91,2122,blue,false,left,91,76,right,orange,740,0
49248,123,634275,1,66,2056,blue,false,left,66,92,right,orange,504,0
49248,124,637301,0,0,2056,blue,false,right,67,14,right,blue,773,0
49248,125,640593,1,77,1979,blue,true,right,11,77,right,blue,665,0
49248,126,643781.0000000001,1,36,1943,blue,false,right,36,20,left,orange,402,0
49248,127,646707,1,44,1899,blue,false,right,44,61,left,orange,664,0
49248,128,649894,1,4,1895,blue,false,left,4,34,right,orange,615,0
49248,129,653032,0,0,1895,blue,false,left,86,63,left,blue,616,0
49248,130,656167,0,0,1895,blue,false,left,99,43,left,blue,496,0
49248,131,659182,1,56,1839,blue,true,left,95,56,left,blue,567,0
49248,132,662272,1,89,1750,blue,false,right,89,63,left,orange,563,0
49248,133,665359,1,80,1670,blue,true,right,88,80,right,blue,447,0
49248,134,668329.0000000001,0,0,1670,blue,false,right,5,10,right,blue,346,0
49248,135,671194,1,80,1590,blue,true,left,35,80,left,blue,706,0
49248,136,674428,0,0,1590,blue,true,left,8,57,right,orange,569,0
49248,137,677517,1,47,1543,blue,true,left,78,47,left,blue,416,0
49248,138,680455,0,0,1543,blue,true,right,5,99,left,orange,550,0
49248,139,683524,0,0,1543,blue,true,right,62,67,left,orange,473,0
49248,140,686519,1,95,1448,blue,false,left,95,27,right,orange,674,0
