Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
49761,1,100375.99999999838,1,10,4990,blue,true,right,23,10,right,blue,1786,0
49761,2,104691.9999999991,0,0,4990,blue,true,left,45,97,right,orange,1367,0
49761,3,108578.99999999972,0,0,4990,blue,true,left,54,62,right,orange,1441,0
49761,4,112539.99999999905,0,0,4990,blue,false,right,99,16,right,blue,761,0
49761,5,115829.99999999993,1,40,4950,blue,true,right,72,40,right,blue,932,0
49761,6,119289.99999999905,1,88,4862,blue,true,right,98,88,right,blue,1292,0
49761,7,123112.99999999937,0,0,4862,blue,true,right,6,54,left,orange,1381,0
49761,8,127018.99999999841,1,55,4807,blue,true,left,64,55,left,blue,2509,0
49761,9,132054.0000000001,0,0,4807,blue,false,left,96,45,left,blue,505,0
49761,10,135085.99999999933,1,19,4788,blue,true,right,28,19,right,blue,759,0
49761,11,138376.9999999986,1,26,4762,blue,true,right,95,26,right,blue,411,0
49761,12,141326.9999999993,1,29,4733,blue,true,right,90,29,right,blue,519,0
49761,13,144375,1,53,4680,blue,true,right,20,53,right,blue,416,0
49761,14,147316.9999999991,0,0,4680,blue,true,left,74,56,right,orange,1121,0
49761,15,150957.99999999872,0,0,4680,blue,true,right,18,42,left,orange,428,0
49761,16,153905.99999999904,0,0,4680,blue,true,right,11,91,left,orange,505,0
49761,17,156930.99999999866,1,32,4648,blue,false,right,32,31,left,orange,748,0
49761,18,160206.00000000012,0,0,4648,blue,true,left,36,65,right,orange,466,0
49761,19,163192.9999999993,1,40,4608,blue,false,right,40,30,left,orange,1183,0
49761,20,166909.99999999985,0,0,4608,blue,true,left,29,26,right,orange,641,0
49761,21,170069.9999999997,1,32,4576,blue,false,right,32,36,left,orange,1760,0
49761,22,174356.99999999997,0,0,4576,blue,true,right,72,81,left,orange,1231,0
49761,23,178108.99999999854,1,95,4481,blue,false,right,95,54,left,orange,511,0
49761,24,181147.99999999924,1,40,4441,blue,false,right,40,59,left,orange,1100,0
49761,25,184777.00000000006,0,0,4441,blue,false,left,29,24,left,blue,1816,0
49761,26,189112.99999999936,0,0,4441,blue,false,left,60,51,left,blue,1490,0
49761,27,193121.9999999994,0,0,4441,blue,false,right,83,65,right,blue,1115,0
49761,28,196754.99999999919,0,0,4441,blue,true,left,78,98,right,orange,979,0
49761,29,200252.99999999878,0,0,4441,blue,false,right,56,51,right,blue,931,0
49761,30,203702.99999999953,1,5,4436,blue,false,left,5,20,right,orange,750,0
49761,31,206983.99999999854,0,0,4436,blue,false,right,67,2,right,blue,897,0
49761,32,210402.00000000006,1,85,4351,blue,false,left,85,84,right,orange,771,0
49761,33,213706.00000000012,0,0,4351,blue,true,right,7,49,left,orange,838,0
49761,34,217068.9999999995,1,37,4314,blue,false,right,37,47,left,orange,1266,0
49761,35,221405.99999999904,1,27,4287,blue,false,right,27,91,left,orange,542,0
49761,36,224475.99999999875,1,44,4243,blue,false,right,44,42,left,orange,849,0
49761,37,227855.99999999977,0,0,4243,blue,true,right,31,55,left,orange,1072,0
49761,38,231445.9999999999,0,0,4243,blue,false,right,97,70,right,blue,1587,0
49761,39,235554.9999999985,0,0,4243,blue,false,left,14,9,left,blue,775,0
49761,40,238849.00000000017,0,0,4243,blue,true,left,23,51,right,orange,1002,0
49761,41,242369.99999999898,1,79,4164,blue,true,right,89,79,right,blue,1963,0
49761,42,246858.00000000017,0,0,4164,blue,true,left,83,86,right,orange,1290,0
49761,43,250666.99999999948,0,0,4164,blue,true,left,40,62,right,orange,1039,0
49761,44,254231.99999999997,1,23,4141,blue,true,right,36,23,right,blue,774,0
49761,45,257531.99999999924,1,61,4080,blue,true,left,65,61,left,blue,1256,0
49761,46,261331.00000000012,1,67,4013,blue,true,right,74,67,right,blue,820,0
49761,47,264679.0000000001,1,41,3972,blue,true,right,73,41,right,blue,1046,0
49761,48,272264.9999999994,0,0,3972,blue,false,right,96,54,right,blue,3847,0
49761,49,279120.9999999992,0,0,3972,blue,true,right,86,88,left,orange,2621,0
49761,50,284259.99999999837,0,0,3972,blue,true,right,43,66,left,orange,868,0
49761,51,287645.99999999884,0,0,3972,blue,true,right,72,79,left,orange,1374,0
49761,52,291538.99999999884,0,0,3972,blue,false,left,71,13,left,blue,703,0
49761,53,294759.99999999837,1,53,3919,blue,true,left,78,53,left,blue,926,0
49761,54,298211.99999999953,0,0,3919,blue,true,right,57,90,left,orange,845,0
49761,55,301577.99999999953,1,3,3916,blue,false,right,3,12,left,orange,659,0
49761,56,304766.9999999998,0,0,3916,blue,true,left,2,64,right,orange,1671,0
49761,57,308959.9999999991,1,9,3907,blue,true,left,99,9,left,blue,859,0
49761,58,312345.99999999953,0,0,3907,blue,true,right,21,42,left,orange,1540,0
49761,59,316411.00000000006,1,72,3835,blue,true,left,83,72,left,blue,1485,0
49761,60,320422.99999999884,1,11,3824,blue,true,right,37,11,right,blue,1410,0
49761,61,324364.99999999977,1,67,3757,blue,false,left,67,81,right,orange,1584,0
49761,62,328476.99999999895,0,0,3757,blue,true,right,12,14,left,orange,1301,0
49761,63,332300.9999999995,1,78,3679,blue,false,right,78,90,left,orange,966,0
49761,64,335800.9999999995,1,46,3633,blue,false,right,46,53,left,orange,1356,0
49761,65,339697.0000000001,1,30,3603,blue,false,left,30,42,right,orange,1435,0
49761,66,343661.00000000006,1,36,3567,blue,false,left,36,65,right,orange,1028,0
49761,67,347501.00000000023,0,0,3567,blue,false,left,49,49,left,blue,1727,0
49761,68,351763.9999999992,0,0,3567,blue,false,right,44,10,right,blue,1004,0
49761,69,355286.9999999984,0,0,3567,blue,false,right,70,64,right,blue,1742,0
49761,70,359550.9999999995,0,0,3567,blue,false,left,68,95,left,blue,1128,0
49761,71,363197.9999999985,1,38,3529,blue,false,left,38,46,right,orange,2435,0
49761,72,368165.99999999924,0,0,3529,blue,false,right,18,24,right,blue,1871,0
49761,73,372559.9999999995,0,0,3529,blue,false,right,82,78,right,blue,1062,0
49761,74,376145.99999999884,0,0,3529,blue,false,left,59,54,left,blue,768,0
49761,75,379453.9999999997,0,0,3529,blue,false,right,36,33,right,blue,986,0
49761,76,382968.9999999991,1,56,3473,blue,true,right,49,56,right,blue,890,0
49761,77,386386.99999999884,0,0,3473,blue,false,left,26,83,left,blue,520,0
49761,78,389426.99999999965,0,0,3473,blue,false,right,38,81,right,blue,599,0
49761,79,392551.99999999965,0,0,3473,blue,false,left,12,3,left,blue,680,0
49761,80,395760.9999999986,0,0,3473,blue,false,right,62,38,right,blue,495,0
49761,81,398781.99999999924,0,0,3473,blue,false,left,43,50,left,blue,576,0
49761,82,401876.00000000023,0,0,3473,blue,false,left,50,47,left,blue,643,0
49761,83,405036.9999999984,1,35,3438,blue,true,left,41,35,left,blue,442,0
49761,84,408460.9999999993,0,0,3438,blue,false,left,9,62,left,blue,509,0
49761,85,411489.99999999977,0,0,3438,blue,false,left,60,58,left,blue,521,0
49761,86,414528.9999999986,0,0,3438,blue,false,right,88,31,right,blue,605,0
49761,87,417653.9999999986,0,0,3438,blue,false,right,56,44,right,blue,564,0
49761,88,420735.99999999895,1,15,3423,blue,true,left,31,15,left,blue,569,0
49761,89,423832.9999999987,0,0,3423,blue,false,left,90,31,left,blue,481,0
49761,90,426831.9999999985,0,0,3423,blue,false,right,80,76,right,blue,763,0
49761,91,430112.99999999936,0,0,3423,blue,false,right,78,4,right,blue,596,0
49761,92,433227.9999999992,0,0,3423,blue,false,left,60,28,left,blue,591,0
49761,93,436338.99999999994,1,99,3324,blue,true,left,56,99,left,blue,743,0
49761,94,443619.99999999895,1,31,3293,blue,false,right,31,45,left,orange,1839,0
49761,95,447987.99999999936,0,0,3293,blue,false,right,55,16,right,blue,1156,0
49761,96,451662.99999999866,0,0,3293,blue,true,right,12,89,left,orange,632,0
49761,97,454814.9999999987,0,0,3293,blue,false,left,49,4,left,blue,569,0
49761,98,457905.99999999907,0,0,3293,blue,false,right,69,12,right,blue,852,0
49761,99,461766.9999999998,1,26,3267,blue,true,left,49,26,left,blue,1210,0
49761,100,465510.9999999986,0,0,3267,blue,false,right,75,76,right,blue,1460,0
49761,101,469491,1,22,3245,blue,false,right,22,90,left,orange,1029,0
49761,102,473082.9999999987,1,23,3222,blue,true,right,26,23,right,blue,1509,0
49761,103,477118.9999999988,1,11,3211,blue,false,right,11,68,left,orange,566,0
49761,104,480210.9999999993,0,0,3211,blue,true,right,71,82,left,orange,1216,0
49761,105,483945.9999999999,1,86,3125,blue,false,left,86,95,right,orange,1424,0
49761,106,487896.999999999,1,79,3046,blue,false,right,79,88,left,orange,1072,0
49761,107,491501.00000000023,0,0,3046,blue,false,right,75,40,right,blue,1058,0
49761,108,495081.0000000001,1,11,3035,blue,false,right,11,94,left,orange,799,0
49761,109,498415.99999999924,0,0,3035,blue,true,right,53,44,left,orange,999,0
49761,110,501933.9999999993,0,0,3035,blue,false,right,85,17,right,blue,812,0
49761,111,505746.9999999994,1,32,3003,blue,true,left,85,32,left,blue,855,0
49761,112,509129.9999999992,1,38,2965,blue,false,left,38,68,right,orange,846,0
49761,113,512502.9999999988,1,28,2937,blue,false,right,28,93,left,orange,867,0
49761,114,515902.9999999984,1,13,2924,blue,false,left,13,95,right,orange,1126,0
49761,115,519556.9999999989,0,0,2924,blue,false,left,69,60,left,blue,934,0
49761,116,523009,0,0,2924,blue,true,right,56,95,left,orange,1063,0
49761,117,526590.0000000001,1,2,2922,blue,false,right,2,41,left,orange,614,0
