"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"H10022",1,1,1,1,10,23,1
"H10022",2,2,1,0,97,45,1
"H10022",2,3,1,0,62,54,1
"H10022",1,4,0,0,16,99,1
"H10022",1,5,1,1,40,72,1
"H10022",1,6,1,1,88,98,1
"H10022",2,7,1,0,54,6,1
"H10022",1,8,1,1,55,64,1
"H10022",1,9,0,0,45,96,1
"H10022",1,10,1,1,19,28,1
"H10022",2,11,1,0,26,95,1
"H10022",1,12,1,1,29,90,1
"H10022",2,13,1,0,53,20,1
"H10022",1,14,1,1,56,74,1
"H10022",2,15,1,0,42,18,1
"H10022",2,16,1,0,91,11,1
"H10022",1,17,0,0,31,32,1
"H10022",2,18,1,0,65,36,1
"H10022",1,19,0,0,30,40,1
"H10022",1,20,1,1,26,29,1
"H10022",2,21,0,1,36,32,1
"H10022",2,22,1,0,81,72,1
"H10022",2,23,0,1,54,95,1
"H10022",1,24,0,0,59,40,1
"H10022",2,25,0,1,24,29,1
"H10022",1,26,0,0,51,60,1
"H10022",2,27,0,1,65,83,1
"H10022",2,28,1,0,98,78,1
"H10022",1,29,0,0,51,56,1
"H10022",2,30,0,1,20,5,1
"H10022",1,31,0,0,2,67,1
"H10022",2,32,0,1,84,85,1
"H10022",2,33,1,0,49,7,1
"H10022",1,34,0,0,47,37,1
"H10022",2,35,0,1,91,27,1
"H10022",2,36,0,1,42,44,1
"H10022",2,37,1,0,55,31,1
"H10022",2,38,0,1,70,97,1
"H10022",1,39,0,0,9,14,1
"H10022",2,40,1,0,51,23,1
"H10022",1,41,1,1,79,89,1
"H10022",1,42,1,1,86,83,1
"H10022",2,43,1,0,62,40,1
"H10022",1,44,1,1,23,36,1
"H10022",1,45,1,1,61,65,1
"H10022",2,46,1,0,67,74,1
"H10022",2,47,1,0,41,73,1
"H10022",1,48,0,0,54,96,1
"H10022",2,49,1,0,88,86,1
"H10022",2,50,1,0,66,43,1
"H10022",1,51,1,1,79,72,1
"H10022",1,52,0,0,13,71,1
"H10022",1,53,1,1,53,78,1
"H10022",2,54,1,0,90,57,1
"H10022",2,55,0,1,12,3,1
"H10022",2,56,1,0,64,2,1
"H10022",1,57,1,1,9,99,1
"H10022",2,58,1,0,42,21,1
"H10022",1,59,1,1,72,83,1
"H10022",1,60,1,1,11,37,1
"H10022",2,61,0,1,81,67,1
"H10022",1,62,1,1,14,12,1
"H10022",2,63,0,1,90,78,1
"H10022",2,64,0,1,53,46,1
"H10022",1,65,0,0,42,30,1
"H10022",2,66,0,1,65,36,1
"H10022",1,67,0,0,49,49,1
"H10022",1,68,0,0,10,44,1
"H10022",1,69,0,0,64,70,1
"H10022",2,70,0,1,95,68,1
"H10022",2,71,0,1,46,38,-1
"H10022",1,72,0,0,24,18,-1
"H10022",1,73,0,0,78,82,-1
"H10022",1,74,0,0,54,59,-1
"H10022",2,75,0,1,33,36,-1
"H10022",1,76,1,1,56,49,-1
"H10022",2,77,0,1,83,26,-1
"H10022",2,78,0,1,81,38,-1
"H10022",1,79,0,0,3,12,-1
"H10022",1,80,0,0,38,62,-1
"H10022",2,81,0,1,50,43,-1
"H10022",1,82,0,0,47,50,-1
"H10022",1,83,1,1,35,41,-1
"H10022",2,84,0,1,62,9,-1
"H10022",1,85,0,0,58,60,-1
"H10022",1,86,0,0,31,88,-1
"H10022",1,87,0,0,44,56,-1
"H10022",1,88,1,1,15,31,-1
"H10022",2,89,0,1,31,90,-1
"H10022",2,90,0,1,76,80,-1
"H10022",1,91,0,0,4,78,-1
"H10022",1,92,0,0,28,60,-1
"H10022",2,93,1,0,99,56,-1
"H10022",2,94,0,1,45,31,-1
"H10022",1,95,0,0,16,55,-1
