"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"10061",1,1,1,1,37,44,-1
"10061",1,2,1,1,12,66,-1
"10061",1,3,1,1,9,98,-1
"10061",1,4,0,0,91,20,-1
"10061",1,5,1,1,8,28,-1
"10061",1,6,1,1,33,30,-1
"10061",1,7,1,1,24,27,-1
"10061",2,8,0,1,43,58,-1
"10061",1,9,1,1,47,72,-1
"10061",1,10,0,0,44,44,-1
"10061",2,11,1,0,26,69,-1
"10061",1,12,1,1,41,6,-1
"10061",1,13,1,1,34,88,-1
"10061",1,14,0,0,18,73,-1
"10061",1,15,1,1,25,60,-1
"10061",2,16,1,0,6,68,-1
"10061",2,17,0,1,39,48,-1
"10061",2,18,1,0,76,35,-1
"10061",2,19,1,0,85,23,-1
"10061",1,20,1,1,22,54,-1
"10061",1,21,0,0,58,66,-1
"10061",1,22,1,1,41,98,-1
"10061",1,23,1,1,80,58,-1
"10061",2,24,1,0,85,32,-1
"10061",2,25,0,1,15,83,-1
"10061",2,26,1,0,16,18,-1
"10061",1,27,1,1,99,56,-1
"10061",2,28,1,0,75,23,-1
"10061",1,29,1,1,18,68,-1
"10061",2,30,1,0,16,30,-1
"10061",1,31,1,1,37,86,-1
"10061",2,32,1,0,44,47,-1
"10061",2,33,1,0,91,3,-1
"10061",1,34,0,0,14,60,-1
"10061",1,35,1,1,84,54,-1
"10061",1,36,1,1,23,34,-1
"10061",2,37,1,0,28,96,-1
"10061",1,38,0,0,94,83,-1
"10061",2,39,1,0,86,63,-1
"10061",2,40,1,0,53,99,-1
"10061",2,41,1,0,91,29,-1
"10061",1,42,1,1,64,88,-1
"10061",2,43,1,0,70,84,-1
"10061",1,44,0,0,88,61,-1
"10061",1,45,1,1,43,61,-1
"10061",2,46,1,0,54,87,-1
"10061",1,47,0,0,90,5,-1
"10061",2,48,1,0,44,71,-1
"10061",2,49,1,0,52,42,-1
"10061",1,50,1,1,93,39,-1
"10061",2,51,1,0,24,39,-1
"10061",1,52,0,0,10,20,-1
"10061",2,53,0,1,43,85,-1
"10061",2,54,0,1,7,77,-1
"10061",2,55,1,0,90,95,-1
"10061",2,56,1,0,7,56,-1
"10061",2,57,1,0,69,50,-1
"10061",2,58,1,0,83,4,-1
"10061",1,59,0,0,8,40,-1
"10061",2,60,1,0,86,47,-1
"10061",2,61,1,0,49,15,-1
"10061",1,62,1,1,39,17,-1
"10061",2,63,0,1,97,76,-1
"10061",1,64,1,1,14,73,-1
"10061",2,65,1,0,29,67,-1
"10061",2,66,1,0,39,48,-1
"10061",2,67,1,0,99,30,-1
"10061",1,68,0,0,20,13,-1
"10061",1,69,1,1,59,66,-1
"10061",1,70,1,1,60,20,-1
"10061",2,71,1,0,25,41,1
"10061",2,72,0,1,70,76,1
"10061",1,73,0,0,18,73,1
"10061",1,74,0,0,80,41,1
"10061",2,75,1,0,76,25,1
"10061",2,76,0,1,52,34,1
"10061",2,77,0,1,60,30,1
"10061",2,78,0,1,36,91,1
"10061",1,79,0,0,59,70,1
"10061",2,80,1,0,47,64,1
"10061",1,81,0,0,44,28,1
"10061",2,82,0,1,80,2,1
"10061",1,83,0,0,39,20,1
"10061",1,84,0,0,61,32,1
"10061",1,85,0,0,61,90,1
"10061",1,86,1,1,70,62,1
"10061",1,87,0,0,33,17,1
"10061",1,88,0,0,17,74,1
"10061",2,89,0,1,85,2,1
